greensight;Green Dreams;Vervoyant;;;Verdevidente;;;;;;;;;x
brownbear_desc;A Brown Bear always follows this character.;Un ours brun accompagne constamment ce personnage.;;;Un Oso Pardo siempre sigue a este personaje;;;;;;;;;x
EVTDESCskinchanger.1;I am plagued by strange dreams at night. I don’t know what to do... they seem so real!;La nuit, je suis tourmenté par d'étranges rêves. Je ne sais pas quoi faire… ils semblent si réels !;;;Cada noche tengo sueños extraños, no se lo que hacer... ¡pero parecen tan reales!;;;;;;;;;x
EVTOPTAskinchanger.1;I should ask someone.;Je devrais en parler à quelqu'un.;;;Debería preguntarle a alguien;;;;;;;;;x
EVTDESCskinchanger.2;Your [From.GetRootRelation] [FROM.GetTitledFirstName] says [FROM.GetSheHe] is having strange dreams at night.;Votre [From.GetRootRelation] [FROM.GetTitledFirstName] dit que [FROM.GetSheHe] fait d'étranges rêves durant la nuit.;;;Vuestr[From.GetOA] [From.GetRootRelation] [FROM.GetTitledFirstName] dice que tiene sueños extraños por la noche, parece preocupad[From.GetOA].;;;;;;;;;x
EVTOPTAskinchanger.2;Dreams are dreams. They aren't real.;Les rêves sont des rêves. Ils ne sont pas réels.;;;Explicarle que los sueños, sueños son, y que no son reales;;;;;;;;;x
EVTOPTBskinchanger.2;Tell me what you saw.;Dites-moi ce que vous avez vu;;;Dime lo que viste.;;;;;;;;;x
EVTOPTCskinchanger.2;It is a gift from the Old Gods!;C'est un don des Anciens Dieux !;;;¡Es un regalo de los Antiguos Dioses!;;;;;;;;;x
EVTDESCskinchanger.3;My [From.GetRootRelation] says it’s just nonsense.;Mon(a) [From.GetRootRelation] dit que cela n'a pas de sens. ;;;Mi [From.GetRootRelation] piensa que esto es un sinsentido. Debería de dejar de preocupar a los de mi alrededor con estas tonterías.;;;;;;;;;x
EVTOPTAskinchanger.3;I feel disappointed...;Je suis déçu…;;;Estoy decepcionado…;;;;;;;;;x
EVTDESCskinchanger.4;My [From.GetRootRelation] sat with me and listened to my dreams. Maybe there's more to them?;Mon(a) [From.GetRootRelation] s'est assis avec moi et m'a écouté raconter ;;;Mi [From.GetRootRelation] se sentó conmigo y me escuchó mientras dormía, ¿puede que sea algo más que un sueño?;;;;;;;;;x
EVTOPTAskinchanger.4;This makes me feel happy.;Cela me rend heureux.;;;Esto me hace feliz.;;;;;;;;;x
EVTDESCskinchanger.5;My [From.GetRootRelation] explained to me about the Old Gods... and about the children of the forest, who had people who could dream the future. I should take my dreams more seriously.;Mon(a) [From.GetRootRelation] m'a parlé des Anciens Dieux… et des Enfants de la Forêt, dont certains pouvaient rêver du futur. Je devrais prendre mes rêves plus au sérieux. ;;;Mi [From.GetRootRelation] me contó historias de los Antiguos Dioses y los niños del bosque quienes podían soñar el futuro. Tengo que tomarme estos sueños más seriamente.;;;;;;;;;x
EVTDESCskinchanger.6;Yesterday, while I was outside, I noticed a wolf following me. It was a lone wolf, which is odd. The poor thing must be hungry. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un loup qui me suivait. C'était un loup solitaire, ce qui était étrange. La pauvre bête devait être affamée. Je pouvais presque le ressentir…;;;Ayer mientras paseaba fuera de palacio vi que un lobo me seguía, un lobo extrañamente solitario. La pobre bestia debía estar famélica, casi podía sentirlo...;;;;;;;;;x
EVTOPTAskinchanger.6;Maybe I should go back tomorrow, and see if it's still there.;Peut-être devrais-je y retourner demain pour voir s'il est toujours là.;;;Quizás pueda volver mañana a ver si lo vuelvo a ver.;;;;;;;;;x
EVTDESCskinchanger.7;Yesterday, while I was outside, I noticed a crow following me. The poor thing must be hungry. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un corbeau qui me suivait. La pauvre bête devait être affamée. Je pouvais presque le ressentir…;;;Ayer mientras paseaba fuera de palacio vi que un cuervo negro me seguía. El pobre parecía estar famélico, casi podía sentirlo...;;;;;;;;;x
EVTOPTAskinchanger.7;Maybe I should feed it some corn?;Peut-être devrais-je lui donner un peu de grain ?;;;Debería de llevarle un poco de maíz, sentí que estaba hambriento.;;;;;;;;;x
EVTDESCskinchanger.8;Yesterday, while I was outside, I noticed an eagle following me. The poor thing must be hungry. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un aigle qui me suivait. La pauvre bête devait être affamée. Je pouvais presque le ressentir…;;;Ayer mientras paseaba fuera de palacio vi que un águila me seguía. La pobre parecía estar famélica, casi podía sentirlo...;;;;;;;;;x
EVTOPTAskinchanger.8;Maybe I should feed it some corn?;Peut-être devrais-je lui donner un peu de grain ?;;;Quizás pueda volver mañana a ver si la vuelvo a ver.;;;;;;;;;x
EVTDESCskinchanger.9;Yesterday, while I was outside, I noticed a shadow cat following me. The poor thing must be hungry. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un chat qui me suivait. C'était chat sauvage, au poil très sombre. La pauvre bête devait être affamée. Je pouvais presque le ressentir…;;;Ayer mientras paseaba fuera de palacio vi que un gatosombra me seguía, un gatosombra extrañamente solitario. La pobre bestia debía estar famélica, casi podía sentirlo...;;;;;;;;;x
EVTOPTAskinchanger.9;Maybe I should go back tomorrow, and see if it's still there.;Peut-être devrais-je y retourner demain pour voir s'il est toujours là.;;;Quizás pueda volver mañana a ver si lo vuelvo a ver.;;;;;;;;;x
EVTDESCskinchanger.10;Yesterday, while I was outside, I noticed a boar following me. The poor thing must be hungry. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un sanglier qui me suivait. C'était étrange. La pauvre bête devait être affamée. Je pouvais presque le ressentir…;;;Ayer mientras paseaba fuera de palacio vi que un jabalí me seguía, un jabalí extrañamente solitario. La pobre bestia debía estar famélica, casi podía sentirlo...;;;;;;;;;x
EVTOPTAskinchanger.10;Maybe I should go back tomorrow, and see if it's still there.;Peut-être devrais-je y retourner demain pour voir s'il est toujours là.;;;Quizás pueda volver mañana a ver si lo vuelvo a ver.;;;;;;;;;x
EVTDESCskinchanger.11;Yesterday, while I was outside, I noticed a snow bear following me. It didn't seem aggresive, and I wasn't scared of him either. I don't think he means any harm to me. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un ours qui me suivait. C'était un ours blanc, ce qui était étrange. La pauvre bête devait être affamée. Je pouvais presque le ressentir…;;;Ayer mientras paseaba fuera de palacio vi que un oso blanco me seguía, un oso blanco extrañamente solitario. La pobre bestia debía estar famélica, casi podía sentirlo...;;;;;;;;;x
EVTOPTAskinchanger.11;Maybe I should go back tomorrow, and see if it's still there.;Peut-être devrais-je y retourner demain pour voir s'il est toujours là.;;;Quizás pueda volver mañana a ver si lo vuelvo a ver.;;;;;;;;;x
EVTDESCskinchanger.12;Yesterday, while I was outside, I noticed a direwolf following me. It was a lone wolf, which is odd. The poor thing must be hungry. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un loup qui me suivait. C'était un loup énorme, je ne pensais pas qu'il en existait d'aussi gros ! La pauvre bête devait être affamée. Je pouvais presque le ressentir…;;;Ayer mientras paseaba fuera de palacio vi que un lobo me seguía, un lobo enorme... ¡No sabía que podían ser tan grandes! La pobre bestia debía estar famélica, casi podía sentirlo...;;;;;;;;;x
EVTOPTAskinchanger.12;Maybe I should go back tomorrow, and see if it's still there.;Peut-être devrais-je y retourner demain pour voir s'il est toujours là.;;;Quizás pueda volver mañana a ver si lo vuelvo a ver.;;;;;;;;;x
EVTDESCskinchanger.13;Yesterday, while I was outside, I noticed a dog following me. It looked abandoned and lonely, the poor thing must be hungry. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un chien qui me suivait. La pauvre bête devait être affamée. Je pouvais presque le ressentir...;;;Ayer mientras paseaba fuera de palacio vi que un perro me seguía. El pobre parecía estar famélico, casi podía sentirlo...;Ayer mientras paseaba fuera de palacio vi que un lobo me seguía, un lobo extrañamente solitario;;;;;;;;x
EVTOPTAskinchanger.13;Maybe I should go back tomorrow, and see if it's still there.;Peut-être devrais-je y retourner demain pour voir s'il est toujours là.;;;Quizás pueda volver mañana a ver si lo vuelvo a ver.;;;;;;;;;x
EVTDESCskinchanger.14;Yesterday, while I was outside, I noticed a brown bear following me. It didn't seem aggresive, and I wasn't scared of him either. I don't think he means any harm to me. I can almost feel it...;Hier, alors que je marchais dans la forêt, j'ai remarqué un ours qui me suivait. C'était un ours brun. La pauvre bête devait être affamée. Je pouvais presque le ressentir...;;;Ayer mientras paseaba fuera de palacio vi que un oso pardo me seguía, un oso pardo extrañamente solitario. La pobre bestia debía estar famélica, casi podía sentirlo...;;;;;;;;;x
EVTOPTAskinchanger.14;Maybe I should go back tomorrow, and see if it's still there.;Peut-être devrais-je y retourner demain pour voir s'il est toujours là.;;;Quizás pueda volver mañana a ver si lo vuelvo a ver.;;;;;;;;;x
suspected_skinchanger;Suspected Skinchanger;Possible Zoman;;;Posible Cambiapieles;;;;;;;;;x
suspected_skinchanger_desc;This character is a suspected skinchanger;Ce personnage pourrait être un Zoman;;;Este personaje podría ser un cambiapieles;;;;;;;;;x
EVTTOOLTIPskinchanger.1;I will ask my Guardian...;Je demanderai à mon Tuteur...;;;Preguntaré a mi tutor…;;;;;;;;;x
EVTDESCskinchanger.15;The peasant shifts from side to side in your hall, obviously nervous to be in your presence. 'It was a skinchanger, [Root.PrimaryTitle.GetFOA],' he says, 'I saw it with me own two eyes, I swear, may the Gods strike me down if I lie! They can control the wild beasts. I was lucky to escape with my life!';Le paysan ne tient pas en place dans votre grande salle,  visiblement nerveux d'être en votre présence. '[Root.GetSheHeCap] est un change-peau, [Root.PrimaryTitle.GetFOA],' dit-il, 'Je l'ai vu de mes propres yeux, je le jure, que les Dieux me terrassent si je mens ! [Root.GetSheHeCap] peut contrôler les animaux sauvages. J'ai eu de la chance de m'échapper et d'être encore en vie !';;;El campesino no se tenía en pie en vuestra gran sala, visiblemente nervioso de estar en tu presencia. '[Root.GetSheHeCap] es un cambiapieles, [Root.PrimaryTitle.GetFOA],' dijo, '¡Lo he visto con mis propios ojos, lo juro, que los Dioses me lleven si miento! [Root.GetSheHeCap] puede controlar a los animales salvajes. ¡Tuve la suerte de escapar y estar todavía vivo!';;;;;;;;;x
EVTOPTAskinchanger.15;Bring this skinchanger before me!;Amenez ce change-peau devant moi!;;;¡Traed a ese cambiapieles ante mí!;;;;;;;;;x
EVTDESCskinchanger.16;The skinchanger is surprisingly pleasant. 'I apologize, [Root.PrimaryTitle.GetFOA],' [skinchanger.GetSheHe] says, 'the smallfolk are a superstitious lot. It's possible I might have frightened them. I meant them no harm, I swear it. If you would spare me, [Root.PrimaryTitle.GetFOA], I would gladly offer you my services!';Le change-peau est étonnamment plaisant. 'Je tiens à m'excuser, [Root.PrimaryTitle.GetFOA],' dit-[Root.GetSheHe],  'les gens du commun sont très superstitieux. Il est possible que je les ai effrayés. Je jure que je ne leur ai jamais voulu aucun mal. Si vous m'épargnez, [Root.PrimaryTitle.GetFOA], je vous offrirais volontiers mes services !';;;El cambiapieles es sorprendentemente agradable. 'Pido disculpas, [Root.PrimaryTitle.GetFOA],' dijo, 'los campesinos son muy supersticiosos. Es posible que estén atemorizados, pero juro que nunca les he hecho ningún mal. ¡Si me salva, [Root.PrimaryTitle.GetFOA], le ofrecería vuluntariamente mis servicios!';;;;;;;;;x
EVTOPTAskinchanger.16;Very well, you may stay here in [Root.Capital.GetName];Très bien. Vous pouvez rester ici à [Root.Capital.GetName] et devenir mon serviteur. ;;;Muy bien. Podéis quedaros aquí en [Root.Capital.GetName] para servirme.;;;;;;;;;x
EVTOPTBskinchanger.16;Words are wind. Leave my realm, warg. Now.;Les mots sont du vent. Quittez mon domaine immédiatement. Ou j'ajouterais ta fourrure à mes trophées de chasse!;;;Las palabras se las lleva el viento. Salid de mis tierras inmediatamente. ¡O añadiré vuestra cabellera a mis trofeos de caza!;;;;;;;;;x
EVTOPTCskinchanger.16;Liar! Off with [skinchanger.GetHerHis] head!;Menteur ! Apportez moi sa tête !;;;¡Mentiroso! ¡Traedme su cabeza!;;;;;;;;;x
EVTOPTDskinchanger.16;You expect me to believe this? Bring me my sword!;Espères-tu que je vais te croire ? Amenez moi mon épée !;;;¿Esperáis que os crea? ¡Traedme mi espada!;;;;;;;;;x
EVTTOOLTIPskinchanger.17;receives a visit from a very strange guest.;reçoit la visite d'un étrange invité.;;;recibís la visita de un invitado muy extraño.;;;;;;;;;x
plagued_by_wolfs;Plagued by Wolves;Tourmentée par les loups;;;Plagado de lobos;;;;;;;;;x
plagued_by_wolfs_desc;This province is plagued by a very large pack of wolves;Cette province est tourmentée par une très grande meute de loups.;;;Esta provincia está plagada por una gran manada de lobos.;;;;;;;;;x
EVTDESCskinchanger.17;A young [skinchanger.GetManWoman] arrives at your court, and claims [skinchanger.GetSheHe] is a skinchanger. 'I've come from the court of [From.GetTitledFirstName],' [skinchanger.GetSheHe] says, 'That fool refused my services and banished me from [From.GetHerHis] realm. I hope you will show better judgment, and allow me your hospitality?';Un(e) jeune [From.GetManWoman] arrive à votre cour, et proclame qu'[From.GetSheHe] est un(e) change-peau. 'Je viens de la cour de [From.GetTitledFirstName],' dit-[From.GetSheHe], 'Cet imbécile a refusé mes services et m'a banni de son domaine. J'espère que vous vous montrerez meilleur juge et m'offrirez l'hospitalité.';;;Un joven llega a vuestra corte diciendo que es un cambiapieles. 'Vengo de la corte de [From.GetTitledFirstName],' dijo, 'Ese imbécil rechazó mis servicios y me desterró de sus dominios. Espero que vos mostréis más juicio y me ofrezcáis hospitalidad.';;;;;;;;;x
EVTOPTAskinchanger.17;What kind of fool would turn away a skinchanger? You may stay, for now.;Quel genre d'imbécile laisserait filer sa chance d'accueilir un change-peau ? Vous pouvez rester, pour l'instant.;;;¿Qué clase de imbécil dejaría pasar la oportunidad de acoger a un cambiapieles? Podéis quedaros, de momento.;;;;;;;;;x
EVTDESCskinchanger.18;A familiar-looking peasant stands in your hall, shifting from side to side. 'You have to help us, [Root.PrimaryTitle.GetFOA]! The wolves are so cunning, and there are so many. We'll all be dead within the month if you don't do something!';Un paysan à l'air familier se tient debout au centre de votre grande salle, il semble nerveux. 'Vous d'vez nous aider, [Root.PrimaryTitle.GetFOA] ! Les loups sont si rusés et si nombreux. Dans un mois on s'ra tous crever si n'faîtes pas queq' chose !';;;Un campesino de rostro familiar está de pie en el centro de la gran sala, parece nervioso. '¡Debéis ayudarnos, [Root.PrimaryTitle.GetFOA]! Los lobos son muy astutos y son demasiados. ¡Dentro de un mes todos estaremos muertos si no hacéis nada para evitarlo!';;;;;;;;;x
EVTOPTAskinchanger.18;[Root.job_marshal.GetTitledFirstName], put together a hunting party and bring these wolves down.;[Root.job_marshal.GetTitledFirstName], préparez une battue et tuez moi ces loups. ;;;[Root.job_marshal.GetTitledFirstName], preparad una batida de caza y matad a esos lobos.;;;;;;;;;x
EVTOPTBskinchanger.18;I'll hunt these wolves down myself.;Je vais mener la battue en personne.;;;Yo mismo encabezaré la batida de caza.;;;;;;;;;x
EVTOPTCskinchanger.18;You're afraid of a few animals? Get out of my sight!;Vous êtes effrayé par quelques animaux ? Hors de ma vue !;;;¿Os asustan unos cuantos animales? ¡Fuera de mi vista!;;;;;;;;;x
EVTDESCskinchanger.19;You march through the woods, spear in hand, listening for the slightest sound. Something cracks behind you, and you whirl to come face-to-face with the biggest wolf you've ever seen. It rushes for you, jaws wide - but your spear pierces its neck first. As it stumbles to the ground, it looks up at you, eyes blazing with almost human intelligence - and almost human fury.;Vous progressez dans les bois, lance à la main, à l'affût du moindre bruit. Soudain vous entendez une branche casser derrière vous. Vous vous retournez brusquement et faites face au plus grand loup que vous n'ayez jamais vu. Il se précipite sur vous, son énorme gueule prête à vous arrachez la tête. Vous parvenez à lui enfoncer votre lance dans son cou quelques secondes avant qu'il ne vous morde. Il perd beaucoup de sang et trébuche maladroitement. Il lève les yeux vers vous, et vous pouvez y percevoir une lueur d'intelligence presque humaine, tout comme sa fureur. ;;;Avanzáis por el bosque, lanza en mano, atento a cualquier sonido. De repente escucháis una rama romperse detrás vuestra. Os dáis la vuelta rápidamente y véis al lobo más grande de vuestra vida. Se precipita hacia vos con sus fauces preparadas para arrancaros la cabeza. Os las arregláis para hundir vuestra lanza en su cuello un segundo antes de que os muerda. Pierde mucha sangre y tropieza torpemente. Levanta los ojos hacia vos, y podéis percibir una inteligencia casi humana, al igual que su furia. ;;;;;;;;;x
EVTOPTAskinchanger.19;No, no... it couldn't be...;Non, non… Cela n'est pas possible…;;;No, no... Eso no es posible...;;;;;;;;;x
EVTDESCskinchanger.20;Your hunting party splits up as you enter the woods. Come nightfall, you start to turn back when something leaps at you from the trees. An enormous wolf knocks you from your horse, and nearly takes your life before you manage to drive your sword into its belly. It howls as it dies, glaring at you with almost human intelligence - and almost human fury.;Votre battue commence et votre groupe se sépare à l'orée du bois. A la tombée du jour, alors que vous vous décidez à revenir, quelque chose surgit des arbres et saute sur vous. Un loup énorme massacre votre cheval et manque de vous tuer avant que vous ne réussissiez à lui planter votre épée dans le ventre. Il hurle tout en agonisant. Vous remarquez la lueur d'intelligence presque humaine dans ses yeux, comparable à sa fureur.;;;La batida comienza y el grupo se separa en el linde del bosque. Al atardecer, cuando ibais a regresar, algo surge de los árboles y salta a por vos. Un lobo enorme masacra a vuestro caballo e intenta lo mismo con vos, pero conseguís clavarle la espada en el vientre. El lobo lanza aullido agónico y cae al suelo. Notáis una inteligencia casi humana en sus ojos.;;;;;;;;;x
EVTOPTAskinchanger.20;No, no... it couldn't be...;Non, non… Cela n'est pas possible…;;;No, no... Eso no es posible...;;;;;;;;;x
EVTDESCskinchanger.22;'We got the leader', [Root.job_marshal.GetTitledFirstName] says, 'they'll trouble us no more. It was the biggest wolf I'd ever seen, and the cleverest too. It almost seemed like it... hated us. Specifically, I mean.';"""Nous avons eu le chef de meute"" a dit [Root.job_marshal.GetTitledFirstName], ""ils ne nous troubleront plus. C'était le plus grand loup que j'ai jamais vu, il était également le plus intelligent. C'était presque comme s'il... nous haïssait. Particulièrement je veux dire.""";;;"""Tenemos al jefe de la manada"" dijo [Root.job_marshal.GetTitledFirstName], ""No nos molestarán más. Era el lobo más grande que jamás he visto, y el más inteligente. Era..como si nos odiara. Particularmente a nosotros quiero decir.""";;;;;;;;;x
EVTOPTAskinchanger.22;Whatever it wanted, it's dead now.;Quoiqu'il voulait, il est mort désormais.;;;Fuera lo que fuera, está muerto.;;;;;;;;;x
EVTDESCskinchanger.21;You've heard that the wolf pack has finally stopped terrorizing the peasants.;Vous avez appris que la meute de loups a finalement arrêté de terroriser les paysans.;;;Habéis escuchado que la manada de lobos ha dejado de aterrorizar a los campesinos.;;;;;;;;;x
EVTOPTAskinchanger.21;And they thought they needed my help!;Et ils pensaient qu'ils avaient besoin de mon aide !;;;¡Y pensaban que necesitaban mi ayuda!;;;;;;;;;x
EVTDESCskinchanger.23;Ever since you have come to serve [Root.Liege.GetTitledFirstNameWithDynastyAndTitleNoRegnal], you have found [Root.Liege.Spouse.GetTitledFirstName] increasingly irrestible. You may have sworn your fealty to your liege, but oaths and vows are things of men, not beasts.;Depuis que vous êtes venu servir [Root.Liege.GetTitledFirstNameWithDynastyAndTitleNoRegnal], vous avez trouvé [Root.Liege.Spouse.GetTitledFirstName] de plus en plus irrésistible. Vous avez beau avoir juré fidélité à votre seigneur, serments et voeux sont choses d'hommes, pas de bêtes.;;;Desde que vinisteis a servir a [Root.Liege.GetTitledFirstNameWithDynastyAndTitleNoRegnal], encontráis a [Root.Liege.Spouse.GetTitledFirstName] cada vez más irresistible. Habéis jurado lealtad a vuestro señor, pero juramentos y votos son cosas de hombres, no de bestias.;;;;;;;;;x
EVTOPTAskinchanger.23;Our love will burn away the winter!;Notre amour enflammera l'hiver lui-même !;;;¡Nuestro amor encenderá el invierno!;;;;;;;;;x
EVTTOOLTIPskinchanger.24;will be yours!;sera votre !;;;¡será vuestra!;;;;;;;;;x
EVTDESCskinchanger.24;[Root.Spouse.GetFirstName]'s skinchanger, [From.GetFirstName], a striking young [From.GetManWoman], slips into your chambers late one night. 'My [Root.GetLordLady],' [From.GetSheHe] says, 'I have long admired you, standing in the shadow of that wretched [Root.Spouse.GetManWoman] you call your love. I beg of you, be MY love, and I will show you a world of which you have never dreamed...';Une nuit, le change-peau de [Root.Spouse.GetFirstName], [From.GetFirstName], un(e) jeune [From.GetManWoman] saisissant(e), se glisse dans votre chambre. 'Mon(a) [Root.GetLordLady],' dit-[From.GetSheHe], 'Je vous ai longtemps admiré dans l'ombre misérable de [Root.Spouse.GetManWoman] que vous appelez votre amour. Je vous prie d'être MON amour et je vous promets de faire découvrir un monde dont vous n'auriez jamais osé rêver...';;;Una noche, el cambiapieles de [Root.Spouse.GetFirstName], [From.GetFirstName], un llamativo joven [From.GetManWoman], se cuela en vuestra habitación. 'Mi [Root.GetLordLady],' dijo, 'Hace mucho tiempo que os admiro tras la sombra miserable de lo que llámais amor. Os ruego que seáis mi amor y os prometo descubriros un mundo del que nunca habríais osado soñar...';;;;;;;;;x
EVTOPTAskinchanger.24;I thought you'd never ask!;Je pensais que vous ne demanderiez jamais !;;;¡Pensé que nunca lo preguntaríais!;;;;;;;;;x
EVTOPTBskinchanger.24;What kind of [Root.GetManWoman] do you take me for?!;Pour quel genre de [Root.GetManWoman] me prenez vous ?! ;;;¡¿Por qué tipo de [Root.GetManWoman] me tomáis?! ;;;;;;;;;x
EVTOPTCskinchanger.24;Oh, dear. I'm afraid you've made a terrible mistake.;Oh, mon(a) cher(e), je crains que vous n'ayez fait une terrible erreur...;;;Oh, querido, creo que habéis cometido un terrible error...;;;;;;;;;x
EVTTOOLTIPskinchanger.25;would be furious if [This.GetSheHe] ever found out...;[This.GetSheHe] va être furieux(se) si [This.GetSheHe] le découvre…;;;[This.GetSheHe] se enfadará si lo descubre...;;;;;;;;;x
EVTDESCskinchanger.25;You'd thought to pay your [From.GetRootRelation] a surprise visit in the morning, but as you open your door, you are shocked to see [From.GetHerHim] in the arms of another [FromFrom.GetManWoman] - your skinchanger, [FromFrom.GetFirstName]!;Vous aviez pensé faire une surprise à votre [From.GetRootRelation] en lui rendant visite au matin, mais alors que vous pénétrez dans la chambre, vous êtes choqué de le(a) découvrir dans les bras d'un(e) autre [FromFrom.GetManWoman] - votre change-peau, [FromFrom.GetFirstName] !;;;Habíais pensado dar una sorpresa a vuestra [From.GetRootRelation] visitándola por la mañana, ¡pero al entrar en la habitación la sorprendéis en los brazos del campiapieles, [FromFrom.GetFirstName]!;;;;;;;;;x
EVTOPTAskinchanger.25;[Root.Spouse.GetFirstName], what's the meaning of this?!;[Root.Spouse.GetFirstName], qu'est-ce que ça veut dire ?! ;;;[Root.Spouse.GetFirstName], ¿qué significa esto?! ;;;;;;;;;x
EVTOPTBskinchanger.25;[FromFrom.GetFirstName], you traitor, how dare you break your vows?!;[FromFrom.GetFirstName], vous êtes un(e) traitre(sse), comment osez-vous briser vos vœux?!;;;[FromFrom.GetFirstName], sois una traidora, ¿cómo osáis romper vuestros votos?;;;;;;;;;x
EVTOPTCskinchanger.25;I... see. So that's how it's going to be. I'll be in my chambers.;Je vois… C'est donc ainsi que cela se passe. Je serai dans ma chambre.;;;Ya veo… Así que es así como ocurre esto. Estaré en mi habitación.;;;;;;;;;x
EVTTOOLTIPskinchanger.26;will be pleased.;sera satisfait.;;;estrará satisfecho;;;;;;;;;x
EVTDESCskinchanger.26;You awaken to find your skinchanger, [FromFrom.GetFirstName], in the stocks, and your [From.GetRootRelation] standing guard, sitting on the steps to the keep and calmly eating an apple. 'Can you believe,' [From.GetSheHe] says, '[FromFrom.GetSheHe] actually tried to seduce me?';En vous réveillant vous avez trouvé votre change-peau, [FromFrom.GetFirstName], la tête dans un carcan, et votre [From.GetRootRelation] montant la garde, assis(e) sur les marches de la tour en mangeant calmement une pomme. 'Pouvez-vous le croire' dit-[From.GetSheHe], '[FromFrom.GetSheHe] a essayé de me séduire?';;;Al levantaros habéis encontrado la cabeza de vuestro campiapieles, [FromFrom.GetFirstName], en el cepo, y vuestra [From.GetRootRelation] montando guardia, sentada sobre los escalones de la torre y comiendo tranquilamente una manzana. '¿Podéis creer' dijo, 'que ha intentado seducirme?';;;;;;;;;x
EVTOPTAskinchanger.26;Nobody could steal a [From.GetManWoman] as loyal as you, [From.GetFirstName].;Personne ne pourrait voler un(e) [From.GetManWoman] aussi fidèle que vous, [From.GetFirstName].;;;Nadie podría tener una esposa más fiel que vos, [From.GetFirstName].;;;;;;;;;x
EVTTOOLTIPskinchanger.27;falls in love with you.;tombe amoureux(se) de vous. ;;;se enamora de vos.;;;;;;;;;x
EVTDESCskinchanger.27;You spend a night of wild passion with [From.GetFirstName]. When you finally awaken, however, the door is wide open, and [From.Spouse.GetTitledFirstName] stands over the bed, a look of fury on [From.Spouse.GetHerHis] face.;Vous passez une nuit de passion sauvage avec [From.GetFirstName]. Lorsque vous vous réveillez enfin, la porte est grande ouverte et [From.Spouse.GetTitledFirstName] est debout devant le lit, un regard furieux sur le visage. ;;;Pasáis una noche de pasión salvaje con [From.GetFirstName]. Cuando al fin os despertáis, la puerta está abierta y [From.Spouse.GetTitledFirstName] está junto a la cama mirándoos furioso a la cara.;;;;;;;;;x
