#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_dosh_khaleen;The Dosh Khaleen;Le Dosh Khaleen;;;El Dosh Khaleen;;;;;;;;;x
nomadic_duke_female_dothraki;Ka;Ka;;;Khasessi;;;;;;;;;x
nomadic_duke_foa_dothraki;My Ko;Mon Ko;;;Khas;;;;;;;;;x
nomadic_duke_foa_female_dothraki;My Ka;Ma Ka;;;Khasessi;;;;;;;;;x
nomadic_duke_title_ruler_consort_dothraki;Ko;Ko;;;Khas;;;;;;;;;x
nomadic_duke_title_ruler_consort_female_dothraki;Ka;Ka;;;Khasessi;;;;;;;;;x
nomadic_duchy_dothraki;Khas;Khas;;;Khas;;;;;;;;;x
nomadic_duchy_of_dothraki;Khas of;Khas de;;;Khas de;;;;;;;;;x
nomadic_count_dothraki;Ko;Ko;;;Ko;;;;;;;;;x
nomadic_count_female_dothraki;Ka;Ka;;;Ka;;;;;;;;;x
nomadic_count_foa_dothraki;My Ko;Mon Ko;;;Ko;;;;;;;;;x
nomadic_count_foa_female_dothraki;My Ka;Ma Ka;;;Ka;;;;;;;;;x
nomadic_count_title_ruler_consort_dothraki;Ko;Ko;;;Ko;;;;;;;;;x
nomadic_count_title_ruler_consort_female_dothraki;Ka;Ka;;;Ka;;;;;;;;;x
nomadic_county_dothraki;Khas;Khas;;;Ko;;;;;;;;;x
nomadic_county_of_dothraki;Khas of;Khas de;;;Ko de;;;;;;;;;x
nomadic_baron_dothraki;Ko;Ko;;;Jaqqa Rhan;;;;;;;;;x
nomadic_baron_female_dothraki;Ka;Ka;;;Jaqqa Rhanessi;;;;;;;;;x
nomadic_baron_foa_dothraki;My Ko;Mon Ko;;;Jaqqa Rhan;;;;;;;;;x
nomadic_baron_foa_female_dothraki;My Ka;Ma Ka;;;Jaqqa Rhanessi;;;;;;;;;x
nomadic_baron_title_ruler_consort_dothraki;Ko;Ko;;;Jaqqa Rhan;;;;;;;;;x
nomadic_baron_title_ruler_consort_female_dothraki;Ka;Ka;;;Jaqqa Rhanessi;;;;;;;;;x
nomadic_barony_dothraki;Khas;Khas;;;Jaqqa;;;;;;;;;x
nomadic_barony_of_dothraki;Khas of;Khas de;;;Jaqqa de;;;;;;;;;x
tribal_emperor_dothraki;Khal;Khal;;;Gran Khal;;;;;;;;;x
tribal_emperor_dothraki;Khaleesi;Khaleesi;;;Gran Khaleesi;;;;;;;;;x
tribal_emperor_foa_dothraki;Great Khal;Grand Khal;;;Gran Khal;;;;;;;;;x
tribal_emperor_foa_female_dothraki;Khaleesi;Khaleesi;;;Gran Khaleesi;;;;;;;;;x
tribal_emperor_title_ruler_consort_dothraki;Khal;Khal;;;Gran Khal;;;;;;;;;x
tribal_emperor_title_ruler_consort_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
tribal_emperor_title_queen_mother_female_dothraki;Dosh Khaleen;Dosh Khaleen;;;Dosh Khaleen;;;;;;;;;x
tribal_empire_dothraki;Great Khalasar of;Grand Khalasar de;;;Gran Khalasar;;;;;;;;;x
tribal_empire_of_dothraki;Great Khalasar;Grand Khalasar;;;Gran Khalasar de;;;;;;;;;x
tribal_title_prince_dothraki;Khalakka;Khalakka;;;Khalakka;;;;;;;;;x
tribal_title_prince_female_dothraki;Khalakki;Khalakki;;;Khalakki;;;;;;;;;x
tribal_title_prince_AGOT_dothraki;Khalakka;Khalakka;;;Khalakka;;;;;;;;;x
tribal_title_prince_AGOT_female_dothraki;Khalakki;Khalakki;;;Khalakki;;;;;;;;;x
tribal_king_dothraki;Khal;Khal;;;Khal;;;;;;;;;x
tribal_king_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
tribal_king_foa_dothraki;Great Khal;Grand Khal;;;Khal;;;;;;;;;x
tribal_king_foa_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
tribal_king_title_ruler_consort_dothraki;Khal;Khal;;;Khal;;;;;;;;;x
tribal_king_title_ruler_consort_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
tribal_king_title_queen_mother_female_dothraki;Dosh Khaleen;Dosh Khaleen;;;Dosh Khaleen;;;;;;;;;x
tribal_kingdom_dothraki;Khalasar;Khalasar;;;Khalasar;;;;;;;;;x
tribal_kingdom_of_dothraki;Khalasar of;Khalasar de;;;Khalasar de;;;;;;;;;x
tribal_duke_dothraki;Ko;Ko;;;Khas;;;;;;;;;x
tribal_duke_female_dothraki;Ka;Ka;;;Khasessi;;;;;;;;;x
tribal_duke_foa_dothraki;My Ko;Mon Ko;;;Khas;;;;;;;;;x
tribal_duke_foa_female_dothraki;My Ka;Ma Ka;;;Khasessi;;;;;;;;;x
tribal_duke_title_ruler_consort_dothraki;Ko;Ko;;;Khas;;;;;;;;;x
tribal_duke_title_ruler_consort_female_dothraki;Ka;Ka;;;Khasessi;;;;;;;;;x
tribal_duchy_dothraki;Khas;Khas;;;Khas;;;;;;;;;x
tribal_duchy_of_dothraki;Khas of;Khas de;;;Khas de;;;;;;;;;x
tribal_count_dothraki;Ko;Ko;;;Ko;;;;;;;;;x
tribal_count_female_dothraki;Ka;Ka;;;Ka;;;;;;;;;x
tribal_count_foa_dothraki;My Ko;Mon Ko;;;Ko;;;;;;;;;x
tribal_count_foa_female_dothraki;My Ka;Ma Ka;;;Ka;;;;;;;;;x
tribal_count_title_ruler_consort_dothraki;Ko;Ko;;;Ko;;;;;;;;;x
tribal_count_title_ruler_consort_female_dothraki;Ka;Ka;;;Ka;;;;;;;;;x
tribal_county_dothraki;Khas;Khas;;;Ko;;;;;;;;;x
tribal_county_of_dothraki;Khas of;Khas de;;;Ko de;;;;;;;;;x
tribal_baron_dothraki;Ko;Ko;;;Jaqqa Rhan;;;;;;;;;x
tribal_baron_female_dothraki;Ka;Ka;;;Jaqqa Rhanessi;;;;;;;;;x
tribal_baron_foa_dothraki;My Ko;Mon Ko;;;Jaqqa Rhan;;;;;;;;;x
tribal_baron_foa_female_dothraki;My Ka;Ma Ka;;;Jaqqa Rhanessi;;;;;;;;;x
tribal_baron_title_ruler_consort_dothraki;Ko;Ko;;;Jaqqa Rhan;;;;;;;;;x
tribal_baron_title_ruler_consort_female_dothraki;Ka;Ka;;;Jaqqa Rhanessi;;;;;;;;;x
tribal_barony_dothraki;Khas;Khas;;;Jaqqa;;;;;;;;;x
tribal_barony_of_dothraki;Khas of;Khas de;;;Jaqqa de;;;;;;;;;x
emperor_dothraki;Khal;Khal;;;Gran Khal;;;;;;;;;x
emperor_female_dothraki;Khaleesi;Khaleesi;;;Gran Khaleesi;;;;;;;;;x
emperor_foa_dothraki;Great Khal;Grand Khal;;;Gran Khal;;;;;;;;;x
emperor_foa_female_dothraki;Khaleesi;Khaleesi;;;Gran Khaleesi;;;;;;;;;x
emperor_title_ruler_consort_dothraki;Khal;Khal;;;Gran Khal;;;;;;;;;x
emperor_title_ruler_consort_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
emperor_title_queen_mother_female_dothraki;Dosh Khaleen;Dosh Khaleen;;;Dosh Khaleen;;;;;;;;;x
#empire_of_dothraki;Great Khalasar of;Grand Khalasar de;;;Gran Khalasar de;;;;;;;;;x
#empire_dothraki;Great Khalasar;Grand Khalasar;;;Gran Khalasar;;;;;;;;;x
king_dothraki;Khal;Khal;;;Khal;;;;;;;;;x
king_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
king_foa_dothraki;Great Khal;Grand Khal;;;Khal;;;;;;;;;x
king_foa_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
king_title_ruler_consort_dothraki;Khal;Khal;;;Khal;;;;;;;;;x
king_title_ruler_consort_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
king_title_queen_mother_female_dothraki;Dosh Khaleen;Dosh Khaleen;;;Dosh Khaleen;;;;;;;;;x
#kingdom_dothraki;Khalasar;Khalasar;;;Khalasar;;;;;;;;;x
#kingdom_of_dothraki;Khalasar of;Khalasar de;;;Khalasar de;;;;;;;;;x
title_prince_dothraki;Khalakka;Khalakka;;;Khalakka;;;;;;;;;x
title_prince_female_dothraki;Khalakki;Khalakki;;;Khalakki;;;;;;;;;x
title_prince_AGOT_dothraki;Khalakka;Khalakka;;;Khalakka;;;;;;;;;x
title_prince_AGOT_female_dothraki;Khalakki;Khalakki;;;Khalakki;;;;;;;;;x
duke_dothraki;Ko;Ko;;;Khas;;;;;;;;;x
duke_female_dothraki;Ka;Ka;;;Khasessi;;;;;;;;;x
duke_foa_dothraki;My Ko;Mon Ko;;;Khas;;;;;;;;;x
duke_foa_female_dothraki;My Ka;Ma Ka;;;Khasessi;;;;;;;;;x
duke_title_ruler_consort_dothraki;Ko;Ko;;;Khas;;;;;;;;;x
duke_title_ruler_consort_female_dothraki;Ka;Ka;;;Khasessi;;;;;;;;;x
#duchy_dothraki;Khas;Khas;;;Khas;;;;;;;;;x
#duchy_of_dothraki;Khas of;Khas de;;;Khas de;;;;;;;;;x
count_dothraki;Ko;Ko;;;Ko;;;;;;;;;x
count_female_dothraki;Ka;Ka;;;Ka;;;;;;;;;x
count_foa_dothraki;My Ko;Mon Ko;;;Ko;;;;;;;;;x
count_foa_female_dothraki;My Ka;Ma Ka;;;Ka;;;;;;;;;x
count_title_ruler_consort_dothraki;Ko;Ko;;;Ko;;;;;;;;;x
count_title_ruler_consort_female_dothraki;Ka;Ka;;;Ka;;;;;;;;;x
#county_dothraki;Khas;Khas;;;Ko;;;;;;;;;x
#county_of_dothraki;Khas of;Khas de;;;Ko de;;;;;;;;;x
emperor_job_castellan_dothraki;Khal Akataki;Khal Akataki;;;Khal Akataki;;;;;;;;;x
emperor_job_chancellor_dothraki_group;Astolatak;Astolatak;;;Astolatak;;;;;;;;;x
job_castellan_dothraki;Khal Akataki;Khal Akataki;;;Khal Akataki;;;;;;;;;x
job_marshal_dothraki;Dothrak Ataki;Dothrak Ataki;;;Dothrak Ataki;;;;;;;;;x
job_chancellor_dothraki_group;Astolatak;Astolatak;;;Astolatak;;;;;;;;;x
job_treasurer_dothraki_group;Jeratak;Jeratak;;;Jeratak;;;;;;;;;x
job_spymaster_dothraki_group;Fonolatak;Fonolatak;;;Fonolatak;;;;;;;;;x
job_physician_dothraki_group;Koalak;Koalak;;;Koalak;;;;;;;;;x
nomadic_job_castellan_dothraki;Khal Akataki;Khal Akataki;;;Khal Akataki;;;;;;;;;x
nomadic_job_marshal_dothraki;Dothrak Ataki;Dothrak Ataki;;;Dothrak Ataki;;;;;;;;;x
nomadic_job_chancellor_dothraki_group;Astolatak;Astolatak;;;Astolatak;;;;;;;;;x
nomadic_job_treasurer_dothraki_group;Jeratak;Jeratak;;;Jeratak;;;;;;;;;x
nomadic_job_spymaster_dothraki_group;Fonolatak;Fonolatak;;;Fonolatak;;;;;;;;;x
nomadic_job_physician_dothraki_group;Koalak;Koalak;;;Koalak;;;;;;;;;x
tribal_job_castellan_dothraki;Khal Akataki;Khal Akataki;;;Khal Akataki;;;;;;;;;x
tribal_job_marshal_dothraki;Dothrak Ataki;Dothrak Ataki;;;Dothrak Ataki;;;;;;;;;x
tribal_job_chancellor_dothraki_group;Astolatak;Astolatak;;;Astolatak;;;;;;;;;x
tribal_job_treasurer_dothraki_group;Jeratak;Jeratak;;;Jeratak;;;;;;;;;x
tribal_job_spymaster_dothraki_group;Fonolatak;Fonolatak;;;Fonolatak;;;;;;;;;x
tribal_job_physician_dothraki_group;Koalak;Koalak;;;Koalak;;;;;;;;;x
d_dothraki_domain;The Dothraki Sea;La Mer Dothrak;;;El Mar Dothraki;;;;;;;;;x
city_duke_dothraki_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
city_duke_foa_dothraki_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
city_duchy_dothraki_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
city_duchy_of_dothraki_domain_culture;Domain of;Domaine de;;;Dominio de;;;;;;;;;x
duke_dothraki_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
duke_foa_dothraki_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
duchy_dothraki_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
duchy_of_dothraki_domain_culture;Domain of;Domaine de;;;Dominio de;;;;;;;;;x
city_count_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
city_count_foa_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
city_county_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
city_county_of_dothraki_domain_culture;Dothraki Domain of;Domaine dothraki de;;;Dominio Dothraki de;;;;;;;;;x
count_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
count_foa_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
county_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
county_of_dothraki_domain_culture;Dothraki Domain of;Domaine dothraki de;;;Dominio Dothraki de;;;;;;;;;x
city_baron_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
city_baron_foa_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
city_barony_dothraki_domain_culture;Dothraki Village;Village dothraki;;;Aldea Dothraki;;;;;;;;;x
city_barony_of_dothraki_domain_culture;Dothraki Village of;Village dothraki de;;;Aldea Dothraki de;;;;;;;;;x
baron_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
baron_foa_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
barony_dothraki_domain_culture;Dothraki Camp;Camp dothraki;;;Campamento Dothraki ;;;;;;;;;x
barony_of_dothraki_domain_culture;Dothraki Camp of;Camp dothraki de;;;Campamento Dothraki de;;;;;;;;;x
dothraki_domain;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
temple_baron_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
temple_baron_foa_dothraki_domain_culture;Dothraki Domain;Domaine dothraki;;;Dominio Dothraki ;;;;;;;;;x
temple_barony_dothraki_domain_culture;Dothraki Shrine;Lieu saint dothraki;;;Santuario Dothraki ;;;;;;;;;x
temple_barony_of_dothraki_domain_culture;Dothraki Shrine of;Lieu saint dothraki de;;;Santuario Dothraki de;;;;;;;;;x
opinion_bloodrider;Bloodrider;Sang-coureur;;;Jinete de Sangre;;;;;;;;;x
d_vaes_dothrak;Vaes Dothrak;Vaes Dothrak;;;Vaes Dothrak;;;;;;;;;x
c_vaes_dothrak;Vaes Dothrak;Vaes Dothrak;;;Vaes Dothrak;;;;;;;;;x
b_vaes_dothrak;Vaes Dothrak;Vaes Dothrak;;;Vaes Dothrak;;;;;;;;;x
b_vaes_dothrak2;Vaes Dothrak;Vaes Dothrak;;;Vaes Dothrak;;;;;;;;;x
b_vaes_dothrak3;Vaes Dothrak;Vaes Dothrak;;;Vaes Dothrak;;;;;;;;;x
b_vaes_dothrak4;Vaes Dothrak;Vaes Dothrak;;;Vaes Dothrak;;;;;;;;;x
b_vaes_dothrak5;Vaes Dothrak;Vaes Dothrak;;;Vaes Dothrak;;;;;;;;;x
b_vaes_dothrak6;Vaes Dothrak;Vaes Dothrak;;;Vaes Dothrak;;;;;;;;;x
c_rhaesh_karlinat;Rhaesh Karlinat;Rhaesh Karlinat;;;Rhaesh Karlinat;;;;;;;;;x
b_rhaesh_karlinat;Rhaesh Karlinat;Rhaesh Karlinat;;;Rhaesh Karlinat;;;;;;;;;x
b_rhaesh_karlinat2;Rhaesh Karlinat;Rhaesh Karlinat;;;Rhaesh Karlinat;;;;;;;;;x
b_rhaesh_karlinat3;Rhaesh Karlinat;Rhaesh Karlinat;;;Rhaesh Karlinat;;;;;;;;;x
b_rhaesh_karlinat4;Rhaesh Karlinat;Rhaesh Karlinat;;;Rhaesh Karlinat;;;;;;;;;x
c_rhaesh_tehin;Rhaesh Tehin;Rhaesh Tehin;;;Rhaesh Tehin;;;;;;;;;x
b_rhaesh_tehin;Rhaesh Tehin;Rhaesh Tehin;;;Rhaesh Tehin;;;;;;;;;x
b_rhaesh_tehin2;Rhaesh Tehin;Rhaesh Tehin;;;Rhaesh Tehin;;;;;;;;;x
b_rhaesh_tehin3;Rhaesh Tehin;Rhaesh Tehin;;;Rhaesh Tehin;;;;;;;;;x
b_rhaesh_tehin4;Rhaesh Tehin;Rhaesh Tehin;;;Rhaesh Tehin;;;;;;;;;x
d_northern_steppe;Northern Steppe;Steppe Septentrionale;;;Estepa Norte;;;;;;;;;x
c_vaes_lotar;Vaes Lotar;Vaes Lotar;;;Vaes Lotar;;;;;;;;;x
b_vaes_lotar;Vaes Lotar;Vaes Lotar;;;Vaes Lotar;;;;;;;;;x
b_vaes_lotar2;Vaes Lotar;Vaes Lotar;;;Vaes Lotar;;;;;;;;;x
b_vaes_lotar3;Vaes Lotar;Vaes Lotar;;;Vaes Lotar;;;;;;;;;x
c_rhaesh_eveth;Rhaesh Eveth;Rhaesh Eveth;;;Rhaesh Eveth;;;;;;;;;x
b_rhaesh_eveth;Rhaesh Eveth;Rhaesh Eveth;;;Rhaesh Eveth;;;;;;;;;x
b_rhaesh_eveth2;Rhaesh Eveth;Rhaesh Eveth;;;Rhaesh Eveth;;;;;;;;;x
b_rhaesh_eveth3;Rhaesh Eveth;Rhaesh Eveth;;;Rhaesh Eveth;;;;;;;;;x
b_rhaesh_eveth4;Rhaesh Eveth;Rhaesh Eveth;;;Rhaesh Eveth;;;;;;;;;x
c_rhaesh_negwin;Rhaesh Negwin;Rhaesh Negwin;;;Rhaesh Negwin;;;;;;;;;x
b_rhaesh_negwin;Rhaesh Negwin;Rhaesh Negwin;;;Rhaesh Negwin;;;;;;;;;x
b_rhaesh_negwin2;Rhaesh Negwin;Rhaesh Negwin;;;Rhaesh Negwin;;;;;;;;;x
b_rhaesh_negwin3;Rhaesh Negwin;Rhaesh Negwin;;;Rhaesh Negwin;;;;;;;;;x
b_rhaesh_negwin4;Rhaesh Negwin;Rhaesh Negwin;;;Rhaesh Negwin;;;;;;;;;x
d_krazaaj_zasque;Krazaaj Zasqa;Krazaaj Zasqa;;;Krazaaj Zasqa;;;;;;;;;x
c_vaes_krazaaj;Vaes Krazaaj;Vaes Krazaaj;;;Vaes Krazaaj;;;;;;;;;x
b_vaes_krazaaj;Vaes Krazaaj;Vaes Krazaaj;;;Vaes Krazaaj;;;;;;;;;x
b_vaes_krazaaj2;Vaes Krazaaj;Vaes Krazaaj;;;Vaes Krazaaj;;;;;;;;;x
b_vaes_krazaaj3;Vaes Krazaaj;Vaes Krazaaj;;;Vaes Krazaaj;;;;;;;;;x
c_vaes_tawakof;Vaes Tawakof;Vaes Tawakof;;;Vaes Tawakof;;;;;;;;;x
b_vaes_tawakof;Vaes Tawakof;Vaes Tawakof;;;Vaes Tawakof;;;;;;;;;x
b_vaes_tawakof2;Vaes Tawakof;Vaes Tawakof;;;Vaes Tawakof;;;;;;;;;x
b_vaes_tawakof3;Vaes Tawakof;Vaes Tawakof;;;Vaes Tawakof;;;;;;;;;x
d_krazaaj_niqe;Krazaaj Niqe;Krazaaj Niqe;;;Krazaaj Niqe;;;;;;;;;x
c_krazaaj_niqe;Krazaaj Niqe;Krazaaj Niqe;;;Krazaaj Niqe;;;;;;;;;x
b_krazaaj_niqe;Krazaaj Niqe;Krazaaj Niqe;;;Krazaaj Niqe;;;;;;;;;x
b_krazaaj_niqe2;Krazaaj Niqe;Krazaaj Niqe;;;Krazaaj Niqe;;;;;;;;;x
b_krazaaj_niqe3;Krazaaj Niqe;Krazaaj Niqe;;;Krazaaj Niqe;;;;;;;;;x
c_olta_vizhadi;Olta Vizhadi;Olta Vizhadi;;;Olta Vizhadi;;;;;;;;;x
b_olta_vizhadi;Olta Vizhadi;Olta Vizhadi;;;Olta Vizhadi;;;;;;;;;x
b_olta_vizhadi2;Olta Vizhadi;Olta Vizhadi;;;Olta Vizhadi;;;;;;;;;x
b_olta_vizhadi3;Olta Vizhadi;Olta Vizhadi;;;Olta Vizhadi;;;;;;;;;x
d_southern_steppe;Southern Steppe;Steppe Méridionale;;;Estepa Sur;;;;;;;;;x
c_rhaesh_najaheya;Rhaesh Najahheya;Rhaesh Najahheya;;;Rhaesh Najahheya;;;;;;;;;x
b_rhaesh_najaheya;Rhaesh Najahheya;Rhaesh Najahheya;;;Rhaesh Najahheya;;;;;;;;;x
b_rhaesh_najaheya2;Rhaesh Najahheya;Rhaesh Najahheya;;;Rhaesh Najahheya;;;;;;;;;x
b_rhaesh_najaheya3;Rhaesh Najahheya;Rhaesh Najahheya;;;Rhaesh Najahheya;;;;;;;;;x
c_rhaesh_cheyao;Rhaesh Cheyao;Rhaesh Cheyao;;;Rhaesh Cheyao;;;;;;;;;x
b_rhaesh_cheyao;Rhaesh Cheyao;Rhaesh Cheyao;;;Rhaesh Cheyao;;;;;;;;;x
b_rhaesh_cheyao2;Rhaesh Cheyao;Rhaesh Cheyao;;;Rhaesh Cheyao;;;;;;;;;x
b_rhaesh_cheyao3;Rhaesh Cheyao;Rhaesh Cheyao;;;Rhaesh Cheyao;;;;;;;;;x
c_rhaesh_lame;Rhaesh Lame;Rhaesh Lame;;;Rhaesh Lame;;;;;;;;;x
b_rhaesh_lame;Rhaesh Lame;Rhaesh Lame;;;Rhaesh Lame;;;;;;;;;x
b_rhaesh_lame2;Rhaesh Lame;Rhaesh Lame;;;Rhaesh Lame;;;;;;;;;x
b_rhaesh_lame3;Rhaesh Lame;Rhaesh Lame;;;Rhaesh Lame;;;;;;;;;x
d_rhaesh_jim;Rhaesh Jim;Rhaesh Jim;;;Rhaesh Jim;;;;;;;;;x
c_rhaesh_jano;Rhaesh Jano;Rhaesh Jano;;;Rhaesh Jano;;;;;;;;;x
b_rhaesh_jano;Rhaesh Jano;Rhaesh Jano;;;Rhaesh Jano;;;;;;;;;x
b_rhaesh_jano2;Rhaesh Jano;Rhaesh Jano;;;Rhaesh Jano;;;;;;;;;x
b_rhaesh_jano3;Rhaesh Jano;Rhaesh Jano;;;Rhaesh Jano;;;;;;;;;x
b_rhaesh_jano4;Rhaesh Jano;Rhaesh Jano;;;Rhaesh Jano;;;;;;;;;x
c_rhaesh_dalfe;Rhaesh Dalfe;Rhaesh Dalfe;;;Rhaesh Dalfe;;;;;;;;;x
b_rhaesh_dalfe;Rhaesh Dalfe;Rhaesh Dalfe;;;Rhaesh Dalfe;;;;;;;;;x
b_rhaesh_dalfe2;Rhaesh Dalfe;Rhaesh Dalfe;;;Rhaesh Dalfe;;;;;;;;;x
b_rhaesh_dalfe3;Rhaesh Dalfe;Rhaesh Dalfe;;;Rhaesh Dalfe;;;;;;;;;x
b_rhaesh_dalfe4;Rhaesh Dalfe;Rhaesh Dalfe;;;Rhaesh Dalfe;;;;;;;;;x
c_rhaesh_jim;Rhaesh Jim;Rhaesh Jim;;;Rhaesh Jim;;;;;;;;;x
b_rhaesh_jim;Rhaesh Jim;Rhaesh Jim;;;Rhaesh Jim;;;;;;;;;x
b_rhaesh_jim2;Rhaesh Jim;Rhaesh Jim;;;Rhaesh Jim;;;;;;;;;x
b_rhaesh_jim3;Rhaesh Jim;Rhaesh Jim;;;Rhaesh Jim;;;;;;;;;x
d_rhaesh_evronee;Rhaesh Evronee;Rhaesh Evronee;;;Rhaesh Evronee;;;;;;;;;x
c_rhaesh_os;Rhaesh Os;Rhaesh Os;;;Rhaesh Os;;;;;;;;;x
b_rhaesh_os;Rhaesh Os;Rhaesh Os;;;Rhaesh Os;;;;;;;;;x
b_rhaesh_os2;Rhaesh Os;Rhaesh Os;;;Rhaesh Os;;;;;;;;;x
b_rhaesh_os3;Rhaesh Os;Rhaesh Os;;;Rhaesh Os;;;;;;;;;x
c_rhaesh_hranna;Rhaesh Hranna;Rhaesh Hranna;;;Rhaesh Hranna;;;;;;;;;x
b_rhaesh_hranna;Rhaesh Hranna;Rhaesh Hranna;;;Rhaesh Hranna;;;;;;;;;x
b_rhaesh_hranna2;Rhaesh Hranna;Rhaesh Hranna;;;Rhaesh Hranna;;;;;;;;;x
b_rhaesh_hranna3;Rhaesh Hranna;Rhaesh Hranna;;;Rhaesh Hranna;;;;;;;;;x
