#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nomadic_duke_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Gran Jhat;;;;;;;;;x
nomadic_duchy_jogos_nhai;Jhah;Jha;;;Gran Jhat;;;;;;;;;x
nomadic_duchy_of_jogos_nhai;Jhah of;Jha de;;;Gran Jhat de;;;;;;;;;x
nomadic_count_jogos_nhai;Jha;Jha;;;Jhat;;;;;;;;;x
nomadic_count_female_jogos_nhai;Jhi;Jhi;;;Jhat;;;;;;;;;x
nomadic_count_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Jhat;;;;;;;;;x
nomadic_count_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Jhat;;;;;;;;;x
nomadic_count_title_ruler_consort_jogos_nhai;Jha;Jha;;;Jhat;;;;;;;;;x
nomadic_count_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Jhat;;;;;;;;;x
nomadic_county_jogos_nhai;Jhah;Jhah;;;Jhat;;;;;;;;;x
nomadic_county_of_jogos_nhai;Jhah of;Jhah de;;;Jhat de;;;;;;;;;x
nomadic_baron_jogos_nhai;Jha;Jha;;;Jha;;;;;;;;;x
nomadic_baron_female_jogos_nhai;Jhi;Jhi;;;Jha;;;;;;;;;x
nomadic_baron_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Jha;;;;;;;;;x
nomadic_baron_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Jhi;;;;;;;;;x
nomadic_baron_title_ruler_consort_jogos_nhai;Jha;Jha;;;Jha;;;;;;;;;x
nomadic_baron_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Jha;;;;;;;;;x
nomadic_barony_jogos_nhai;Jhah;Jhah;;;Jhah;;;;;;;;;x
nomadic_barony_of_jogos_nhai;Jhah of;Jhah de;;;Jhah de;;;;;;;;;x
tribal_emperor_jogos_nhai;Jhattar;Jhattar;;;Gran Jhattar;;;;;;;;;x
tribal_emperor_jogos_nhai;Jhattar;Jhattar;;;Gran Jhattar;;;;;;;;;x
tribal_emperor_foa_jogos_nhai;Jhattar;Jhattar;;;Mi Gran Jhattar;;;;;;;;;x
tribal_emperor_foa_female_jogos_nhai;Jhattar;Jhattar;;;Mi Gran Jhattar;;;;;;;;;x
tribal_emperor_title_ruler_consort_jogos_nhai;Jhat;Jhat;;;Gran Jhattar;;;;;;;;;x
tribal_emperor_title_ruler_consort_female_jogos_nhai;Jhati;Jhati;;;Gran Jhattar;;;;;;;;;x
tribal_emperor_title_queen_mother_female_jogos_nhai;Nu Jhatani;Nu Jhatani;;;Nu Jhattar;;;;;;;;;x
tribal_empire_jogos_nhai;Great Jhahanoc of;Grand Jhahanoc de;;;Gran Jhattar de;;;;;;;;;x
tribal_empire_of_jogos_nhai;Great Jhahanoc;Grand Jhahanoc;;;Gran Jhattar;;;;;;;;;x
tribal_title_prince_jogos_nhai;Jhavua;Jhavua;;;Jhavua;;;;;;;;;x
tribal_title_prince_female_jogos_nhai;Jhachua;Jhachua;;;Jhachua;;;;;;;;;x
tribal_title_prince_AGOT_jogos_nhai;Jhavua;Jhavua;;;Jhavua;;;;;;;;;x
tribal_title_prince_AGOT_female_jogos_nhai;Jhachua;Jhachua;;;Jhachua;;;;;;;;;x
tribal_king_jogos_nhai;Jhat;Jhat;;;Jhattar;;;;;;;;;x
tribal_king_female_jogos_nhai;Jhati;Jhati;;;Jhattar;;;;;;;;;x
tribal_king_foa_jogos_nhai;Jhat;Jhat;;;Mi Jhattar;;;;;;;;;x
tribal_king_foa_female_jogos_nhai;Jhati;Jhati;;;Mi Jhattar;;;;;;;;;x
tribal_king_title_ruler_consort_jogos_nhai;Jhat;Jhat;;;Jhattar;;;;;;;;;x
tribal_king_title_ruler_consort_female_jogos_nhai;Jhati;Jhati;;;Jhattar;;;;;;;;;x
tribal_king_title_queen_mother_female_jogos_nhai;Nu Jhatani;Nu Jhatani;;;Nu Jhattar;;;;;;;;;x
tribal_kingdom_jogos_nhai;Jhahanoc;Jhahanoc;;;Jhattar;;;;;;;;;x
tribal_kingdom_of_jogos_nhai;Jhahanoc of;Jhahanoc de;;;Jhattar de;;;;;;;;;x
tribal_duke_jogos_nhai;Jha;Jha;;;Gran Jhat;;;;;;;;;x
tribal_duke_female_jogos_nhai;Jhi;Jhi;;;Gran Jhat;;;;;;;;;x
tribal_duke_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Gran Jhat;;;;;;;;;x
tribal_duke_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Gran Jhat;;;;;;;;;x
tribal_duke_title_ruler_consort_jogos_nhai;Jha;Jha;;;Gran Jhat;;;;;;;;;x
tribal_duke_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Gran Jhat;;;;;;;;;x
tribal_duchy_jogos_nhai;Jhah;Jhah;;;Gran Jhat;;;;;;;;;x
tribal_duchy_of_jogos_nhai;Jhah of;Jhah de;;;Gran Jhat de;;;;;;;;;x
tribal_count_jogos_nhai;Jha;Jha;;;Jhat;;;;;;;;;x
tribal_count_female_jogos_nhai;Jhi;Jhi;;;Jhat;;;;;;;;;x
tribal_count_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Jhat;;;;;;;;;x
tribal_count_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Jhat;;;;;;;;;x
tribal_count_title_ruler_consort_jogos_nhai;Jha;Jha;;;Jhat;;;;;;;;;x
tribal_count_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Jhat;;;;;;;;;x
tribal_county_jogos_nhai;Jhah;Jhah;;;Jhat;;;;;;;;;x
tribal_county_of_jogos_nhai;Jhah of;Jhah de;;;Jhat de;;;;;;;;;x
tribal_baron_jogos_nhai;Jha;Jha;;;Jha;;;;;;;;;x
tribal_baron_female_jogos_nhai;Jhi;Jhi;;;Jha;;;;;;;;;x
tribal_baron_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Jha;;;;;;;;;x
tribal_baron_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Jhi;;;;;;;;;x
tribal_baron_title_ruler_consort_jogos_nhai;Jha;Jha;;;Jha;;;;;;;;;x
tribal_baron_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Jha;;;;;;;;;x
tribal_barony_jogos_nhai;Jhah;Jhah;;;Jhah;;;;;;;;;x
tribal_barony_of_jogos_nhai;Jhah of;Jhah de;;;Jhah de;;;;;;;;;x
emperor_jogos_nhai;Jhattar;Jhattar;;;Gran Jhattar;;;;;;;;;x
emperor_female_jogos_nhai;Jhattar;Jhattar;;;Gran Jhattar;;;;;;;;;x
emperor_foa_jogos_nhai;Jhattar;Jhattar;;;Mi Gran Jhattar;;;;;;;;;x
emperor_foa_female_jogos_nhai;Jhattar;Jhattar;;;Mi Gran Jhattar;;;;;;;;;x
emperor_title_ruler_consort_jogos_nhai;Jhatan;Jhatan;;;Gran Jhattar;;;;;;;;;x
emperor_title_ruler_consort_female_jogos_nhai;Jhatani;Jhatani;;;Gran Jhattar;;;;;;;;;x
emperor_title_queen_mother_female_jogos_nhai;Nu Jhatani;Nu Jhatani;;;Nu Jhattar;;;;;;;;;x
#empire_of_jogos_nhai;Great Jhahanoc of;Grand Jhahanoc de;;;Gran Jhattar de;;;;;;;;;x
#empire_jogos_nhai;Great Jhahanoc;Grand Jhahanoc;;;Gran Jhattar;;;;;;;;;x
king_jogos_nhai;Jhat;Jhat;;;Jhattar;;;;;;;;;x
king_female_jogos_nhai;Jhati;Jhati;;;Jhattar;;;;;;;;;x
king_foa_jogos_nhai;Jhat;Jhat;;;Mi Jhattar;;;;;;;;;x
king_foa_female_jogos_nhai;Jhati;Jhati;;;Mi Jhattar;;;;;;;;;x
king_title_ruler_consort_jogos_nhai;Jhatan;Jhatan;;;Jhattar;;;;;;;;;x
king_title_ruler_consort_female_jogos_nhai;Jhatani;Jhatani;;;Jhattar;;;;;;;;;x
king_title_queen_mother_female_jogos_nhai;Nu Jhatani;Nu Jhatani;;;Nu Jhattar;;;;;;;;;x
#kingdom_jogos_nhai;Jhahanoc;Jhahanoc;;;Jhattar;;;;;;;;;x
#kingdom_of_jogos_nhai;Jhahanoc of;Jhahanoc de;;;Jhattar de;;;;;;;;;x
title_prince_jogos_nhai;Jhavua;Jhavua;;;Jhavua;;;;;;;;;x
title_prince_female_jogos_nhai;Jhachua;Jhachua;;;Jhachua;;;;;;;;;x
title_prince_AGOT_jogos_nhai;Jhavua;Jhavua;;;Jhavua;;;;;;;;;x
title_prince_AGOT_female_jogos_nhai;Jhachua;Jhachua;;;Jhachua;;;;;;;;;x
duke_jogos_nhai;Jha;Jha;;;Gran Jhat;;;;;;;;;x
duke_female_jogos_nhai;Jhi;Jhi;;;Gran Jhat;;;;;;;;;x
duke_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Gran Jhat;;;;;;;;;x
duke_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Gran Jhat;;;;;;;;;x
duke_title_ruler_consort_jogos_nhai;Jha;Jha;;;Gran Jhat;;;;;;;;;x
duke_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Gran Jhat;;;;;;;;;x
#duchy_jogos_nhai;Jhah;Jhah;;;Gran Jhat;;;;;;;;;x
#duchy_of_jogos_nhai;Jhah of;Jhah de;;;Gran Jhat de;;;;;;;;;x
count_jogos_nhai;Jha;Jha;;;Jhat;;;;;;;;;x
count_female_jogos_nhai;Jhi;Jhi;;;Jhat;;;;;;;;;x
count_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Jhat;;;;;;;;;x
count_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Jhat;;;;;;;;;x
count_title_ruler_consort_jogos_nhai;Jha;Jha;;;Jhat;;;;;;;;;x
count_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Jhat;;;;;;;;;x
#county_jogos_nhai;Jhah;Jhah;;;Jhat;;;;;;;;;x
#county_of_jogos_nhai;Jhah of;Jhah de;;;Jhat de;;;;;;;;;x
#job_castellan_jogos_nhai;First Rider;Premier Chevaucheur;;;Primer Jinete;;;;;;;;;x
#job_marshal_jogos_nhai;Zorse Master;Maître Zéquion;;;Capitán de Cebrallos;;;;;;;;;x
#job_chancellor_jogos_nhai_group;Lawspeaker;Diseur-de-Lois;;;Letrado;;;;;;;;;x
#job_treasurer_jogos_nhai_group;Steward;Intendant;;;Comerciante;;;;;;;;;x
#job_spymaster_jogos_nhai_group;Chief Scout;Chef des Eclaireurs;;;Jefe de los Exploradores;;;;;;;;;x
#job_physician_jogos_pagan; ; ; ; ;;;;;;;;;;x
nomadic_job_castellan_jogos_nhai;First Rider;Premier Chevaucheur;;;Primer Jinete;;;;;;;;;x
nomadic_job_marshal_jogos_nhai;Zorse Master;Maître Zéquion;;;Capitán de Cebrallos;;;;;;;;;x
nomadic_job_chancellor_jogos_nhai_group;Lawspeaker;Diseur-de-Lois;;;Letrado;;;;;;;;;x
nomadic_job_treasurer_jogos_nhai_group;Steward;Intendant;;;Comerciante;;;;;;;;;x
nomadic_job_spymaster_jogos_nhai_group;Chief Scout;Chef des Eclaireurs;;;Jefe de los Exploradores;;;;;;;;;x
#nomadic_job_physician_jogos_pagan; ; ; ; ; ;;;;;;;;;x
tribal_job_castellan_jogos_nhai;First Rider;Premier Chevaucheur;;;Primer Jinete;;;;;;;;;x
tribal_job_marshal_jogos_nhai;Zorse Master;Maître Zéquion;;;Capitán de Cebrallos;;;;;;;;;x
tribal_job_chancellor_jogos_nhai_group;Lawspeaker;Diseur-de-Lois;;;Letrado;;;;;;;;;x
tribal_job_treasurer_jogos_nhai_group;Steward;Intendant;;;Comerciante;;;;;;;;;x
tribal_job_spymaster_jogos_nhai_group;Chief Scout;Chef des Eclaireurs;;;Jefe de los Exploradores;;;;;;;;;x
#tribal_job_physician_jogos_pagan; ; ; ; ; ;;;;;;;;;x
#city_job_physician_jogos_pagan; ; ; ; ; ;;;;;;;;;x
#LP_job_physician_jogos_pagan; ; ; ; ; ;;;;;;;;;x
d_jogos_domain;Plains of the Jogos Nhai;Plaines des Jogos Nhai;;;Llanuras de los Jogos Nhai;;;;;;;;;x
jogos_nhai_domain;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominios de Jogos Nhai;;;;;;;;;x
city_duke_jogos_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
city_duke_foa_jogos_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
city_duchy_jogos_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
city_duchy_of_jogos_domain_culture;Domain of;Domaine de;;;Dominio de;;;;;;;;;x
duke_jogos_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
duke_foa_jogos_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
duchy_jogos_domain_culture;Domain;Domaine;;;Dominio;;;;;;;;;x
duchy_of_jogos_domain_culture;Domain of;Domaine de;;;Dominio de;;;;;;;;;x
city_count_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
city_count_foa_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
city_county_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
city_county_of_jogos_domain_culture;Jogos Nhai Domain of;Domaine Jogos Nhai de;;;Dominio Jogos Nhai de;;;;;;;;;x
count_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
count_foa_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
county_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
county_of_jogos_domain_culture;Jogos Nhai Domain of;Domaine Jogos Nhai de;;;Dominio Jogos Nhai de;;;;;;;;;x
city_baron_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
city_baron_foa_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
city_barony_jogos_domain_culture;Jogos Nhai Village;Village Jogos Nhai;;;Pueblo Jogos Nhai;;;;;;;;;x
city_barony_of_jogos_domain_culture;Jogos Nhai Village of;Village Jogos Nhai de;;;Pueblo Jogos Nhai de;;;;;;;;;x
baron_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
baron_foa_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
barony_jogos_domain_culture;Jogos Nhai Camp;Camp Jogos Nhai;;;Campo Jogos Nhai;;;;;;;;;x
barony_of_jogos_domain_culture;Jogos Nhai Camp of;Camp Jogos Nhai de;;;Campo Jogos Nhai de;;;;;;;;;x
jogos_domain;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
temple_baron_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
temple_baron_foa_jogos_domain_culture;Jogos Nhai Domain;Domaine Jogos Nhai;;;Dominio Jogos Nhai;;;;;;;;;x
temple_barony_jogos_domain_culture;Jogos Nhai Shrine;Lieu saint Jogos Nhai;;;Santuario Jogos Nhai;;;;;;;;;x
temple_barony_of_jogos_domain_culture;Jogos Nhai Shrine of;Lieu saint Jogos Nhai de;;;Santuario Jogos Nhai de;;;;;;;;;x
k_jkhalasar_1;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
k_jkhalasar_2;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
k_jkhalasar_3;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_1;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_2;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_3;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_4;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_5;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_6;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_7;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_8;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_9;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_jkha_10;The Jogos Nhai;Les Jogos Nhai;;;Los Jogos Nhai;;;;;;;;;x
d_central_plains;Central Plains;Plaines centrales;;;Llanuras Centrales;;;;;;;;;x
c_halashir;Halashir;Halashir;;;Halashir;;;;;;;;;x
b_halashir;Halashir;Halashir;;;Halashir;;;;;;;;;x
b_halashir2;Halashir;Halashir;;;Halashir;;;;;;;;;x
b_halashir3;Halashir;Halashir;;;Halashir;;;;;;;;;x
c_kazga;Kazga;Kazga;;;Kazga;;;;;;;;;x
b_kazga;Kazga;Kazga;;;Kazga;;;;;;;;;x
b_kazga2;Kazga;Kazga;;;Kazga;;;;;;;;;x
b_kazga3;Kazga;Kazga;;;Kazga;;;;;;;;;x
c_qemosor;Qemosor;Qemosor;;;Qemosor;;;;;;;;;x
b_qemosor;Qemosor;Qemosor;;;Qemosor;;;;;;;;;x
b_qemosor2;Qemosor;Qemosor;;;Qemosor;;;;;;;;;x
b_qemosor3;Qemosor;Qemosor;;;Qemosor;;;;;;;;;x
c_athzalar;Athzalar;Athzalar;;;Athzalar;;;;;;;;;x
b_athzalar;Athzalar;Athzalar;;;Athzalar;;;;;;;;;x
b_athzalar2;Athzalar;Athzalar;;;Athzalar;;;;;;;;;x
b_athzalar3;Athzalar;Athzalar;;;Athzalar;;;;;;;;;x
d_west_plains;West Plains;Plaines occidentales;;;Llanuras del Oeste;;;;;;;;;x
c_akkovarat;Akkovarat;Akkovarat;;;Akkovarat;;;;;;;;;x
b_akkovarat;Akkovarat;Akkovarat;;;Akkovarat;;;;;;;;;x
b_akkovarat2;Akkovarat;Akkovarat;;;Akkovarat;;;;;;;;;x
b_akkovarat3;Akkovarat;Akkovarat;;;Akkovarat;;;;;;;;;x
c_chafaan;Chafaan;Chafaan;;;Chafaan;;;;;;;;;x
b_chafaan;Chafaan;Chafaan;;;Chafaan;;;;;;;;;x
b_chafaan2;Chafaan;Chafaan;;;Chafaan;;;;;;;;;x
b_chafaan3;Chafaan;Chafaan;;;Chafaan;;;;;;;;;x
c_e_steel_road;Eastern Steel Road;Route d'Acier Orientale;;;Camino del Acero Oriental;;;;;;;;;x
b_e_steel_road;Eastern Steel Road;Route d'Acier Orientale;;;Camino del Acero Oriental;;;;;;;;;x
b_e_steel_road2;Eastern Steel Road;Route d'Acier Orientale;;;Camino del Acero Oriental;;;;;;;;;x
b_e_steel_road3;Eastern Steel Road;Route d'Acier Orientale;;;Camino del Acero Oriental;;;;;;;;;x
d_north_plains;North Plains;Plaines Nordiques;;;Llanuras del Norte;;;;;;;;;x
c_leviathan_sound;Leviathan Sound;Léviathan;;;Ensenada del Leviatán;;;;;;;;;x
b_leviathan_sound;Leviathan Sound;Léviathan;;;Ensenada del Leviatán;;;;;;;;;x
b_leviathan_sound2;Leviathan Sound;Léviathan;;;Ensenada del Leviatán;;;;;;;;;x
b_leviathan_sound3;Leviathan Sound;Léviathan;;;Ensenada del Leviatán;;;;;;;;;x
c_affazhat;Affazhat;Affazhat;;;Affazhat;;;;;;;;;x
b_affazhat;Affazhat;Affazhat;;;Affazhat;;;;;;;;;x
b_affazhat2;Affazhat;Affazhat;;;Affazhat;;;;;;;;;x
b_affazhat3;Affazhat;Affazhat;;;Affazhat;;;;;;;;;x
c_embonhor;Embonhor;Embonhor;;;Embonor;;;;;;;;;x
b_embonhor;Embonhor;Embonhor;;;Embonor;;;;;;;;;x
b_embonhor2;Embonhor;Embonhor;;;Embonor;;;;;;;;;x
b_embonhor3;Embonhor;Embonhor;;;Embonor;;;;;;;;;x
c_ithkoil;Ithkoil;Ithkoil;;;Ithkoil;;;;;;;;;x
b_ithkoil;Ithkoil;Ithkoil;;;Ithkoil;;;;;;;;;x
b_ithkoil2;Ithkoil;Ithkoil;;;Ithkoil;;;;;;;;;x
b_ithkoil3;Ithkoil;Ithkoil;;;Ithkoil;;;;;;;;;x
d_east_plains;East Plains;Plaines orientales;;;Llanuras del Este;;;;;;;;;x
c_drekat;Drekat;Drekat;;;Drekat;;;;;;;;;x
b_drekat;Drekat;Drekat;;;Drekat;;;;;;;;;x
b_drekat2;Drekat;Drekat;;;Drekat;;;;;;;;;x
b_drekat3;Drekat;Drekat;;;Drekat;;;;;;;;;x
c_bleeding_shore;The Bleeding Shore;Le Rivage Sanglant;;;Costa Sangrante;;;;;;;;;x
b_bleeding_shore;The Bleeding Shore;Le Rivage Sanglant;;;Costa Sangrante;;;;;;;;;x
b_bleeding_shore2;The Bleeding Shore;Le Rivage Sanglant;;;Costa Sangrante;;;;;;;;;x
b_bleeding_shore3;The Bleeding Shore;Le Rivage Sanglant;;;Costa Sangrante;;;;;;;;;x
c_chomokh;Chomokh;Chomokh;;;Chomokh;;;;;;;;;x
b_chomokh;Chomokh;Chomokh;;;Chomokh;;;;;;;;;x
b_chomokh2;Chomokh;Chomokh;;;Chomokh;;;;;;;;;x
b_chomokh3;Chomokh;Chomokh;;;Chomokh;;;;;;;;;x
c_feshith;Feshith;Feshith;;;Feshith;;;;;;;;;x
b_feshith;Feshith;Feshith;;;Feshith;;;;;;;;;x
b_feshith2;Feshith;Feshith;;;Feshith;;;;;;;;;x
b_feshith3;Feshith;Feshith;;;Feshith;;;;;;;;;x
d_south_plains;South Plains;Plaines méridionales;;;Llanuras del Sur;;;;;;;;;x
c_lanqoyi;Lanqoyi;Lanqoyi;;;Lanqoyi;;;;;;;;;x
b_lanqoyi;Lanqoyi;Lanqoyi;;;Lanqoyi;;;;;;;;;x
b_lanqoyi2;Lanqoyi;Lanqoyi;;;Lanqoyi;;;;;;;;;x
b_lanqoyi3;Lanqoyi;Lanqoyi;;;Lanqoyi;;;;;;;;;x
c_moskat;Moskat;Moskat;;;Moskat;;;;;;;;;x
b_moskat;Moskat;Moskat;;;Moskat;;;;;;;;;x
b_moskat2;Moskat;Moskat;;;Moskat;;;;;;;;;x
b_moskat3;Moskat;Moskat;;;Moskat;;;;;;;;;x
c_nesolat;Nesolat;Nesolat;;;Nesolat;;;;;;;;;x
b_nesolat;Nesolat;Nesolat;;;Nesolat;;;;;;;;;x
b_nesolat2;Nesolat;Nesolat;;;Nesolat;;;;;;;;;x
b_nesolat3;Nesolat;Nesolat;;;Nesolat;;;;;;;;;x
k_jhogwin;Jhogwin;Jhogwin;;;Jhogwin;;;;;;;;;x
d_jhogwin;Jhogwin;Jhogwin;;;Jhogwin;;;;;;;;;x
c_thallur;Zhallur;Zhallur;;;Zhallur;;;;;;;;;x
b_thallur;Zhallur;Zhallur;;;Zhallur;;;;;;;;;x
b_thallur2;Zhallur;Zhallur;;;Zhallur;;;;;;;;;x
b_thallur3;Zhallur;Zhallur;;;Zhallur;;;;;;;;;x
c_jhogur;Jhogur;Jhogur;;;Jhogur;;;;;;;;;x
b_jhogur;Jhogur;Jhogur;;;Jhogur;;;;;;;;;x
b_jhogur2;Jhogur;Jhogur;;;Jhogur;;;;;;;;;x
b_jhogur3;Jhogur;Jhogur;;;Jhogur;;;;;;;;;x
c_asthaor;Asthaor;Asthaor;;;Asthaor;;;;;;;;;x
b_asthaor;Asthaor;Asthaor;;;Asthaor;;;;;;;;;x
b_asthaor2;Asthaor;Asthaor;;;Asthaor;;;;;;;;;x
b_asthaor3;Asthaor;Asthaor;;;Asthaor;;;;;;;;;x
d_howling_hills;Howling Hills;Collines Hurlantes;;;Colinas Rugientes;;;;;;;;;x
c_howling_point;Howling Point;Collines Hurlantes;;;Punta Rugiente;;;;;;;;;x
b_howling_point;Howling Point;Collines Hurlantes;;;Punta Rugiente;;;;;;;;;x
