stillborn;Stillborn;Mort-né;;;Mortinato;;;;;;;;;x;
EVTOPTB405;I suppose she had no choice...;Je suppose qu'elle n'avait pas d'autres choix…;;;Supongo que no habrá tenido otra opción.;;;;;;;;;x;
EVTDESC406;[From.GetFirstName] claims she has started to show signs of pregnancy after your last night of lovemaking, but she says she will drink some moon tea to prevent any scandalous birth.;[From.GetFirstName] dit qu'elle a perçu les signes d'une grossesse après la dernière nuit passée avec vous, mais qu'elle a bu du thé de lune pour prévenir toute naissance scandaleuse. ;;;[From.GetFirstName] dice que ha notado síntomas de embarazo tras la última noche que pasastéis juntos, pero que ha bebido té de la luna para evitar un nacimiento escandaloso.;;;;;;;;;x;
EVTDESC406B;Your [From.GetRootRelation] [From.GetFirstName] says the pregnancy of your illicit child has proved difficult, so she will drink some moon tea to prevent any complications.;[From.GetFirstName] dit qu'elle a perçu les signes d'une grossesse après la dernière nuit passée avec vous, mais qu'elle a bu du thé de lune pour prévenir toute naissance scandaleuse. ;;;[From.GetFirstName] dice que ha notado síntomas de embarazo tras la última noche que pasastéis juntos, pero que ha bebido té de la luna para evitar un nacimiento escandaloso.;;;;;;;;;x;
EVTOPTA406;At least the secret is safe.;Au moins le secret ne sera pas connu.;;;Al menos el secreto no será conocido.;;;;;;;;;x;
EVTDESC407;[From.GetFirstName] claims she started to show signs of pregnancy after your last night of lovemaking, but that she plans to pass the child off as her husband's.;[From.GetFirstName] dit qu'elle a perçu les signes d'une grossesse après la dernière nuit passée avec vous et qu'elle veut faire passer l'enfant pour celui de son mari. ;;;[From.GetFirstName] dice que ha notado síntomas de embarazo tras la última noche que pasastéis juntos y quiere hacer pasar el niño como si fuese de su marido.;;;;;;;;;x;
EVTOPTA407;At least the secret is safe.;Au moins le secret ne sera pas connu.;;;Al menos el secreto no será conocido.;;;;;;;;;x;
EVTDESC381;It was long and hard night - and in the end, it seems, for nothing. Little [From.GetFirstName] never lived.;Ce fut une longue et dure nuit. Triste également, puisque [From.GetFirstName] n'a pas vécu.;;;Fue una dura y larga noche. También triste, ya que [From.GetFirstName] nunca vivirá.;;;;;;;;;x;
EVTOPTA381;Words fail me...;Les mots me manquent…;;;Me faltan las palabras...;;;;;;;;;x;
EVTOPTA381B;The moontea worked as planned;Le thé de lune a fonctionné comme il était prévu;;;El té de la luna ha funcionado como estaba previsto;;;;;;;;;x;
EVTOPTB381;I want all the midwives and wet nurses questioned!;Je veux que l'on questionne toutes les nourrisses et sage-femmes !;;;Quiero que se interrogue a todas las nodrizas y parteras!;;;;;;;;;x;
TOOLTIP381CRUEL;You have the midwives, wet nurses and all their family tortured to death under questioning\n;Les nourrisses, les sage-femmes et leurs familles sont torturés à mort\n;;;Quiero que todas las nodrizas y parteras y sus familias sean interrogadas hasta la muerte!\n;;;;;;;;;x;
EVTDESC382;We have had disturbing news from [From.Capital.GetName] of another atrocity commited by your [From.GetRootRelation] [From.GetTitledFirstName]. Apparently [FromFrom.Mother.GetTitledFirstName] bore him a stillborn child, which triggered a terrible rage. He ordered all the midwives and wet nurses, as well as all their family, be put into the dungeon and severely questioned. It is reported none survived the horrific torture.;Nous avons reçu des nouvelles très inquiétantes en provenance de [From.Capital.GetName], il s'agit de nouvelles atrocités commises par votre [From.GetRootRelation] [From.GetTitledFirstName]. Apparemment [FromFrom.Mother.GetTitledFirstName] a donné naissance à un enfant mort-né, ce qui l'a fait entrer dans une terrible rage. Il a ordonné que toutes les nourrisses, sage-femmes et leurs familles soient arrêtés et sévèrement interrogés. Il semble qu'aucun d'entre eux n'a survécu aux tortures.;;;Hemos recibido noticias muy inquietantes de [From.Capital.GetName], se trata de nuevas atrocidades cometidas por tu [From.GetRootRelation] [From.GetTitledFirstName]. Al parecer, [FromFrom.Mother.GetTitledFirstName] dió a luz a un mortinato, y enloqueció. Ordenó que todas las parteras y nodrizas y sus familias fuerab detenidas y severamente interrogadas. Parece que nadie ha sobrevivido a las torturas.;;;;;;;;;x;
EVTOPTA382;He is truly mad;Il est vraiment fou.;;;Está verdaderamente loco.;;;;;;;;;x;
plot_investigate_legitimacy_title;Investigate [This.GetTitledFirstNameWithDynasty]'s Legitimacy;Enquêter sur la légitimité de [This.GetTitledFirstNameWithDynasty];;;Investigar la legitimidad de [This.GetTitledFirstNameWithDynasty];;;;;;;;;x;
plot_investigate_legitimacy_desc;[From.GetTitledFirstName] suspects that [This.Father.GetTitledFirstName] may not be [This.GetTitledFirstName]'s real father, and intends to prove it.;[From.GetTitledFirstName] suspecte que [This.Father.GetTitledFirstName] pourrait ne pas être le père de [This.GetTitledFirstName] et il a l'intention de le prouver. ;;;[From.GetTitledFirstName] sospecha que [This.Father.GetTitledFirstName] podría no ser el padre de [This.GetTitledFirstName] y tiene la inteción de probarlo.;;;;;;;;;x;
EVTDESCPIL0;You've been studying [Root.PlotTarget.GetTitledFirstName] for some time now, and have begun to confirm your suspicions. [Root.PlotTarget.GetSheHeCap] seems so different from [Root.PlotTarget.GetHerHis] alleged father. How could [Root.PlotTarget.GetSheHe] truly be [Root.PlotTarget.Father.GetTitledFirstName]'s child?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. [Root.PlotTarget.GetSheHeCap] ressemble si peu à son soi-disant père. Comment pourrait-[Root.PlotTarget.GetSheHe] être son enfant ? ;;;Has observado durante mucho tiempo a [Root.PlotTarget.GetTitledFirstName] y confirmas tus sopechas. [Root.PlotTarget.GetSheHeCap] no se parece en nada a su supuesto padre. Cómo podría [Root.PlotTarget.GetSheHe] ser su hijo? ;;;;;;;;;x;
EVTDESCPIL0B;You've been studying [Root.PlotTarget.GetTitledFirstName] for some time now, and, after consulting the book of lineages, have begun to confirm your suspicions. [Root.PlotTarget.GetSheHeCap] seems so different from [Root.PlotTarget.GetHerHis] alleged father. How could [Root.PlotTarget.GetSheHe] truly be [Root.PlotTarget.Father.GetTitledFirstName]'s child?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. [Root.PlotTarget.GetSheHeCap] ressemble si peu à son soi-disant père. Comment pourrait-[Root.PlotTarget.GetSheHe] être son enfant ? ;;;Has observado durante mucho tiempo a [Root.PlotTarget.GetTitledFirstName] y confirmas tus sopechas. [Root.PlotTarget.GetSheHeCap] no se parece en nada a su supuesto padre. Cómo podría [Root.PlotTarget.GetSheHe] ser su hijo? ;;;;;;;;;x;
EVTOPTAPIL0;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTDESCPIL1;You've been keeping one watchful eye on the subject of your investigation, and you've begun to confirm your suspicions. They seem to be nothing like their alleged father.;Vous avez poursuivi vos investigations et elles semblent tous les jours confirmer un peu plus vos soupçons. [Root.PlotTarget.GetTitledFirstName] n'ont rien en commun avec leur 'père'. ;;;Continúas tus investigaciones y poco a poco vas confirmando tus sospechas. [Root.PlotTarget.GetTitledFirstName] no tiene nada en común con su 'padre'. ;;;;;;;;;x;
EVTDESCPIL1B;You've been keeping one watchful eye on the subject of your investigation, and, after consulting the book of lineages, you've begun to confirm your suspicions. They seem to be nothing like their alleged father.;Vous avez poursuivi vos investigations et elles semblent tous les jours confirmer un peu plus vos soupçons. [Root.PlotTarget.GetTitledFirstName] n'ont rien en commun avec leur 'père'. ;;;Continúas tus investigaciones y poco a poco vas confirmando tus sospechas. [Root.PlotTarget.GetTitledFirstName] no tiene nada en común con su 'padre'. ;;;;;;;;;x;
EVTOPTAPIL1;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTTOOLTIPPIL1;completely lacks [This.GetHerHis] father's nature.\n;est complètement différent(e) de son père.;;;es completamente diferente a su padre.;;;;;;;;;x;
EVTTOOLTIPPIL2;will want to know what you've learned.;veut savoir ce que vous avez appris.;;;quiere saber lo que habéis averiguado.;;;;;;;;;x;
EVTDESCPIL2;[From.GetTitledFirstName] comes to you with the results of the investigation. [From.GetSheHeCap] points out that [Root.PlotTarget.GetTitledFirstName] seems to lack the distinguishing features of [Root.PlotTarget.GetHerHis] alleged father.;[From.GetTitledFirstName] vient à vous avec les résultats de son enquête. [From.GetSheHeCap] fait remarquer que [Root.PlotTarget.GetTitledFirstName] semble ne partager aucune des grands traits de son 'père'. ;;;[From.GetTitledFirstName] regresa con los resultados de su investigación. Indica que [Root.PlotTarget.GetTitledFirstName] no parece compartir ningún rasgo de su 'padre'. ;;;;;;;;;x;
EVTOPTAPIL2;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTDESCPIL3;You've been studying [Root.PlotTarget.GetTitledFirstName] for some time now, and have begun to confirm your suspicions. Something about [Root.PlotTarget.GetHerHim] doesn't add up - [Root.PlotTarget.GetSheHe] doesn't get it from [Root.PlotTarget.GetHerHis] mother, and [Root.PlotTarget.GetSheHe] CERTAINLY doesn't get it from [Root.PlotTarget.GetHerHis] 'father.' Where could it come from?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. Quelque chose à propos de(') [Root.PlotTarget.GetHerHim] qui ne va pas. [Root.PlotTarget.GetSheHe] ne l'a pas hérité de sa mère et certainement pas de son soi-disant 'père'. D'où cela peut-t-il venir ? ;;;Has observado durante mucho tiempo a [Root.PlotTarget.GetTitledFirstName] y confirmas tus sopechas. Alguna cosa no cuadra, [Root.PlotTarget.GetSheHe] no la ha heredado de su madre ni tampoco de su supuesto padre. De dónde le ha podido venir?;;;;;;;;;x;
EVTDESCPIL3B;You've been studying [Root.PlotTarget.GetTitledFirstName] for some time now, and, after consulting the book of lineages, have begun to confirm your suspicions. Something about [Root.PlotTarget.GetHerHim] doesn't add up - [Root.PlotTarget.GetSheHe] doesn't get it from [Root.PlotTarget.GetHerHis] mother, and [Root.PlotTarget.GetSheHe] CERTAINLY doesn't get it from [Root.PlotTarget.GetHerHis] 'father'. Where could it come from?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. Quelque chose à propos de(') [Root.PlotTarget.GetHerHim] qui ne va pas. [Root.PlotTarget.GetSheHe] ne l'a pas hérité de sa mère et certainement pas de son soi-disant 'père'. D'où cela peut-t-il venir ? ;;;Has observado durante mucho tiempo a [Root.PlotTarget.GetTitledFirstName] y confirmas tus sopechas. Alguna cosa no cuadra, [Root.PlotTarget.GetSheHe] no la ha heredado de su madre ni tampoco de su supuesto padre. De dónde le ha podido venir?;;;;;;;;;x;
EVTOPTAPIL3;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTDESCPIL4;You've been keeping one watchful eye on the subject of your investigation, and you've begun to confirm your suspicions. Something about them doesn't add up - they don't get it from their mother, and they CERTAINLY don't get it from their 'father.' What could it be?;Vous avez poursuivi vos investigations et elles semblent tous les jours confirmer un peu plus vos soupçons. Il y a quelque chose chose chez eux qui ne va pas. Ils ne l'ont pas hérité de leur mère et certainement pas de leur soi-disant 'père'. Qu'est-ce que cela peut-être ?;;;Has seguido investigando durante mucho tiempo y confirmas tus sopechas. Alguna cosa no cuadra, no lo han heredado de su madre ni tampoco de su supuesto padre. De dónde les ha podido venir?;;;;;;;;;x;
EVTDESCPIL4B;You've been keeping one watchful eye on the subject of your investigation, and, after consulting the book of lineages, you've begun to confirm your suspicions. Something about them doesn't add up - they don't get it from their mother, and they CERTAINLY don't get it from their 'father'. What could it be?;Vous avez poursuivi vos investigations et elles semblent tous les jours confirmer un peu plus vos soupçons. Il y a quelque chose chose chez eux qui ne va pas. Ils ne l'ont pas hérité de leur mère et certainement pas de leur soi-disant 'père'. Qu'est-ce que cela peut-être ?;;;Has seguido investigando durante mucho tiempo y confirmas tus sopechas. Alguna cosa no cuadra, no lo han heredado de su madre ni tampoco de su supuesto padre. De dónde les ha podido venir?;;;;;;;;;x;
EVTOPTAPIL4;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTTOOLTIPPIL4;seems different from both [This.GetHerHis] parents.\n;semble différent de ses deux parents. ;;;parece diferente a sus padres.;;;;;;;;;x;
EVTTOOLTIPPIL5;will want to know what you've learned.;veut savoir ce que vous avez appris.;;;quiere saber lo que habéis averiguado.;;;;;;;;;x;
EVTDESCPIL5;[From.GetTitledFirstName] comes to you with the results of the investigation. [From.GetSheHeCap] points out that [Root.PlotTarget.GetTitledFirstName] has distinguishing features that couldn't have come from [Root.PlotTarget.GetHerHis] mother OR [Root.PlotTarget.GerHerHis] alleged father.;[From.GetTitledFirstName] vient à vous avec les résultats de son enquête. [From.GetSheHeCap] fait remarquer que [Root.PlotTarget.GetTitledFirstName] semble ne partager aucun des grands traits de sa mère et de son père.;;;[From.GetTitledFirstName] regresa con los resultados de su investigación. Indica que [Root.PlotTarget.GetTitledFirstName] no parece compartir ningún rasgo de su 'padre'.;;;;;;;;;x;
EVTOPTAPIL5;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTDESCPIL6;You've been studying [Root.PlotTarget.GetTitledFirstName] for some time now, and have begun to confirm your suspicions. It all seems perfectly obvious in hindsight, of course. [Root.PlotTarget.GetSheHeCap] looks NOTHING like [Root.PlotTarget.GetHerHis] alleged father. How could you have not see it before?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. Tout semble désormais évident. [Root.PlotTarget.GetSheHeCap] ne ressemble pas du tout à son soi-disant 'père'. Comment n'avez-vous pas pu vous en apercevoir plus tôt ?;;;Has observado durante mucho tiempo a [Root.PlotTarget.GetTitledFirstName] y confirmas tus sopechas. Todo parece evidente. [Root.PlotTarget.GetSheHeCap] no se parece en nada a su supuesto padre. Cómo podría [Root.PlotTarget.GetSheHe] ser su hijo? Cómo no te habías dado cuenta antes?;;;;;;;;;x;
EVTDESCPIL6B;You've been studying [Root.PlotTarget.GetTitledFirstName] for some time now, and, after consulting the book of lineages, have begun to confirm your suspicions. It all seems perfectly obvious in hindsight, of course. [Root.PlotTarget.GetSheHeCap] looks NOTHING like [Root.PlotTarget.GetHerHis] alleged father. How could you have not see it before?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. Tout semble désormais évident. [Root.PlotTarget.GetSheHeCap] ne ressemble pas du tout à son soi-disant 'père'. Comment n'avez-vous pas pu vous en apercevoir plus tôt ?;;;Has observado durante mucho tiempo a [Root.PlotTarget.GetTitledFirstName] y confirmas tus sopechas. Todo parece evidente. [Root.PlotTarget.GetSheHeCap] no se parece en nada a su supuesto padre. Cómo podría [Root.PlotTarget.GetSheHe] ser su hijo? Cómo no te habías dado cuenta antes?;;;;;;;;;x;
EVTOPTAPIL6;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTDESCPIL7;You've been keeping one watchful eye on the subject of your investigation, and you've begun to confirm your suspicions. It all seems perfectly obvious in hindsight, of course. They look NOTHING like their alleged father. How could you have not seen it before?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. Tout semble désormais évident. Ils ne ressemblent pas du tout à leur soi-disant 'père'. Comment n'avez-vous pas pu vous en apercevoir plus tôt ?;;;Has seguido investigando durante mucho tiempo y confirmas tus sopechas. Todo parece evidente. No se parecen en nada a su supuesto padre. Cómo podrían ser sus hijos? Cómo no te habías dado cuenta antes?;;;;;;;;;x;
EVTDESCPIL7B;You've been keeping one watchful eye on the subject of your investigation, and, after consulting the book of lineages, you've begun to confirm your suspicions. It all seems perfectly obvious in hindsight, of course. They look NOTHING like their alleged father. How could you have not seen it before?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. Tout semble désormais évident. Ils ne ressemblent pas du tout à leur soi-disant 'père'. Comment n'avez-vous pas pu vous en apercevoir plus tôt ?;;;Has seguido investigando durante mucho tiempo y confirmas tus sopechas. Todo parece evidente. No se parecen en nada a su supuesto padre. Cómo podrían ser sus hijos? Cómo no te habías dado cuenta antes?;;;;;;;;;x;
EVTOPTAPIL7;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTTOOLTIPPIL7;looks nothing like [This.GetHerHis] father!\n;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. En fouillant dans les archives vous êtes tombé sur une lettre, écrite par [Root.PlotTarget.Father.GetTitledFirstName] et destinée à [Root.PlotTarget.Mother.GetTitledFirstName]. Elle date de neuf mois avant la naissance de [Root.PlotTarget.GetFirstName] ! Comment [Root.PlotTarget.Father.GetFirstName] peut-il être le véritable père si il n'était pas présent lorsque l'enfant fut conçu ? ;;;no se parece en nada a su padre!\n;;;;;;;;;x;
EVTTOOLTIPPIL8;will want to know what you've learned.;veut savoir ce que vous avez appris.;;;quiere saber lo que habéis averiguado.;;;;;;;;;x;
EVTDESCPIL8;[From.GetTitledFirstName] comes to you with the results of the investigation. [From.GetSheHeCap] points out that [Root.PlotTarget.GetTitledFirstName] looks nothing like [Root.PlotTarget.GetHerHis] alleged father! Of course! It's so obvious in hindsight!;[From.GetTitledFirstName] vient à vous avec les résultats de son enquête. [From.GetSheHeCap] fait remarquer que [Root.PlotTarget.GetTitledFirstName] ne ressemble pas du tout à son soi-disant 'père ! Mais bien sûr ! C'est si évident en y repensant !;;;[From.GetTitledFirstName] regresa con los resultados de su investigación. Indica que [Root.PlotTarget.GetTitledFirstName] no parece compartir ningún rasgo de su 'padre'. Seguro! Es muy evidente!;;;;;;;;;x;
EVTOPTAPIL8;The seed is strong...;La graine est vigoureuse…;;;La semilla es fuerte...;;;;;;;;;x;
EVTDESCPIL9;You've been studying [Root.PlotTarget.GetTitledFirstName] for some time now, and have begun to confirm your suspicions. Digging through some old records, you found a letter - one written by [Root.PlotTarget.Father.GetTitledFirstName] to [Root.PlotTarget.Mother.GetTitledFirstName], six months before [Root.PlotTarget.GetFirstName]'s birth! How could [Root.PlotTarget.Father.GetFirstName] possibly be [Root.PlotTarget.GetHerHis] real father if he was away when [Root.PlotTarget.GetSheHe] was conceived?;Vous avez longuement observé [Root.PlotTarget.GetTitledFirstName] ce qui n'a fait que confirmer vos soupçons. En fouillant dans les archives vous êtes tombé sur une lettre, écrite par [Root.PlotTarget.Father.GetTitledFirstName] et destinée à [Root.PlotTarget.Mother.GetTitledFirstName]. Elle date de neuf mois avant la naissance de [Root.PlotTarget.GetFirstName] ! Comment [Root.PlotTarget.Father.GetFirstName] peut-il être le véritable père si il n'était pas présent lorsque l'enfant fut conçu ? ;;;Has observado durante mucho tiempo a [Root.PlotTarget.GetTitledFirstName] y confirmas tus sopechas. Ojeando los archivos topaste con una carta, escrita por [Root.PlotTarget.Father.GetTitledFirstName] y destinada a [Root.PlotTarget.Mother.GetTitledFirstName]. Datada nueve meses antes del nacimiento de [Root.PlotTarget.GetFirstName]! Cómo [Root.PlotTarget.Father.GetFirstName] puede ser el padre si no estaba presente cuando el niño fue concebido?;;;;;;;;;x;
EVTOPTAPIL9;Very suspicious, indeed!;Très suspect en effet !;;;Muy sospechoso!;;;;;;;;;x;
EVTDESCPIL10;While carrying out your investigation, you uncovered some old letters, addressed from the subject's father to their mother - and dated six months before their birth! What an odd coincidence that is.;Alors que vous pousuiviez vos investigations, vous avez découvert d'anciennes lettres du père adressées à la mère et datant de 9 mois avant leur naissance ! Quelle curieuse coïncidence. ;;;Mientras investigabas, descubriste cartas antiguas del padre dirigidas a la madre datadas 9 meses antes de el nacimiento! Que curiosa coincidencia.;;;;;;;;;x;
EVTOPTAPIL10;Very suspicious, indeed!;Très suspect en effet !;;;Muy sospechoso!;;;;;;;;;x;
EVTTOOLTIPPIL10;was conceived in mysterious circumstances.\n;a été conçu dans de mystérieuses circonstances.\n;;;fue concebido en circunstancias misteriosas.\n;;;;;;;;;x;
EVTTOOLTIPPIL11;will want to know what you've learned.;veut savoir ce que vous avez appris.;;;quiere saber lo que habéis averiguado.;;;;;;;;;x;
EVTDESCPIL11;[From.GetTitledFirstName] comes to you with the results of the investigation. [From.GetSheHeCap] claims to have found an old letter, one written by [Root.PlotTarget.Father.GetTitledFirstName] to [Root.PlotTarget.Mother.GetTitledFirstName] six months before [Root.PlotTarget.GetFirstName]'s birth! Such a letter would put the circumstances of [Root.PlotTarget.GetHerHis] conception in a new light entirely.;[From.GetTitledFirstName] vient à vous avec les résultats de son enquête. [From.GetSheHeCap] dit avoir trouvé une vieille lettre, écrite par [Root.PlotTarget.Father.GetTitledFirstName] à [Root.PlotTarget.Mother.GetTitledFirstName] neuf mois avant la naissance de [Root.PlotTarget.GetFirstName] ! Une telle lettre pourrait apporter un nouvel éclairage sur la conception de l'enfant.;;;[From.GetTitledFirstName] regresa con los resultados de su investigación. Dice haber encontrado una carta antigua, escrita por [Root.PlotTarget.Father.GetTitledFirstName] a [Root.PlotTarget.Mother.GetTitledFirstName] nueve meses antes del nacimineto de [Root.PlotTarget.GetFirstName]! Esta carta podría aportar detalles sobre la concepción del niño.;;;;;;;;;x;
EVTOPTAPIL11;Very suspicious, indeed!;Très suspect en effet !;;;Muy sospechoso!;;;;;;;;;x;
pil_fabricate_conception_decision_1;Fabricate Evidence of Illegitimacy;Fabriquer des preuves d'illégitimité;;;Fabricar pruebas de ilegitimidad;;;;;;;;;x;
pil_fabricate_conception_decision_1_desc;Your investigation is not proceeding as quickly as you'd hoped. Perhaps a little bit of forgery might speed things up. Of course, anyone who sees through the fake is never going to believe anything else you might have to say.;Votre enquête ne va pas aussi vite que vous l'espériez. Peut-être que quelques faux accélèreraient les choses. Bien sûr, si quelqu'un venait à découvrir la véritable nature de ces documents, il ne croirait plus un mot venant de vous. ;;;La investigación no va tan rápida como esperabas. Tal vez falsear algún documento acelere las cosas. Por supuesto, si alguien descubre tu engaño, nadie creerá una palabra de ti.;;;;;;;;;x;
pil_fabricate_conception_decision_2;Fabricate Evidence of Illegitimacy;Fabriquer des preuves d'illégitimité;;;Fabricar pruebas de ilegitimidad;;;;;;;;;x;
pil_fabricate_conception_decision_2_desc;Your investigation is not proceeding as quickly as you'd hoped. Perhaps a little bit of forgery might speed things up. Of course, anyone who sees through the fake is never going to believe anything else you might have to say.;Votre enquête ne va pas aussi vite que vous l'espériez. Peut-être que quelques faux accélèreraient les choses. Bien sûr, si quelqu'un venait à découvrir la véritable nature de ces documents, il ne croirait plus un mot venant de vous. ;;;La investigación no va tan rápida como esperabas. Tal vez falsear algún documento acelere las cosas. Por supuesto, si alguien descubre tu engaño, nadie creerá una palabra de ti.;;;;;;;;;x;
pil_fabricate_conception_decision_3;Fabricate Evidence of Illegitimacy;Fabriquer des preuves d'illégitimité;;;Fabricar pruebas de ilegitimidad;;;;;;;;;x;
pil_fabricate_conception_decision_3_desc;Your investigation is not proceeding as quickly as you'd hoped. Perhaps a little bit of forgery might speed things up. Of course, anyone who sees through the fake is never going to believe anything else you might have to say.;Votre enquête ne va pas aussi vite que vous l'espériez. Peut-être que quelques faux accélèreraient les choses. Bien sûr, si quelqu'un venait à découvrir la véritable nature de ces documents, il ne croirait plus un mot venant de vous. ;;;La investigación no va tan rápida como esperabas. Tal vez falsear algún documento acelere las cosas. Por supuesto, si alguien descubre tu engaño, nadie creerá una palabra de ti.;;;;;;;;;x;
pil_fabricate_conception_decision_4;Fabricate Evidence of Illegitimacy;Fabriquer des preuves d'illégitimité;;;Fabricar pruebas de ilegitimidad;;;;;;;;;x;
pil_fabricate_conception_decision_4_desc;Your investigation is not proceeding as quickly as you'd hoped. Perhaps a little bit of forgery might speed things up. Of course, anyone who sees through the fake is never going to believe anything else you might have to say.;Votre enquête ne va pas aussi vite que vous l'espériez. Peut-être que quelques faux accélèreraient les choses. Bien sûr, si quelqu'un venait à découvrir la véritable nature de ces documents, il ne croirait plus un mot venant de vous. ;;;La investigación no va tan rápida como esperabas. Tal vez falsear algún documento acelere las cosas. Por supuesto, si alguien descubre tu engaño, nadie creerá una palabra de ti.;;;;;;;;;x;
pil_fabricate_conception_decision_5;Fabricate Evidence of Illegitimacy;Fabriquer des preuves d'illégitimité;;;Fabricar pruebas de ilegitimidad;;;;;;;;;x;
pil_fabricate_conception_decision_5_desc;Your investigation is not proceeding as quickly as you'd hoped. Perhaps a little bit of forgery might speed things up. Of course, anyone who sees through the fake is never going to believe anything else you might have to say.;Votre enquête ne va pas aussi vite que vous l'espériez. Peut-être que quelques faux accélèreraient les choses. Bien sûr, si quelqu'un venait à découvrir la véritable nature de ces documents, il ne croirait plus un mot venant de vous. ;;;La investigación no va tan rápida como esperabas. Tal vez falsear algún documento acelere las cosas. Por supuesto, si alguien descubre tu engaño, nadie creerá una palabra de ti.;;;;;;;;;x;
