EVTDESCsiege_agot.2D;[Root.PrimaryTitle.GetFOA], I am pleased to report the successful siege of [FromFrom.GetName]. [siege_location_owner.GetTitledFirstNameWithDynastyNoRegnal] could not be found however.\n\nYours Humbly\n[From.GetTitledFirstNameNoRegnal];[Root.PrimaryTitle.GetFOA], je suis heureux de vous apprendre que j'ai fais des prisonniers ayant une grande valeur après votre prise de [FromFrom.GetName]. Je vous les envoie devant vous pour que vous les jugiez.\n\nVotre humble serviteur\n[From.GetTitledFirstName];;;[Root.PrimaryTitle.GetFOA], me complace informarle que capturé prisioneros de alto valor después de nuestro exitoso asedio a [FromFrom.GetName]. Por la presente, se los entrego para que los juzgue.\n\nVuestro humilde\n[From.GetTitledFirstName];;;;;;;;;;x
EVTOPTAsiege_agot.2;Clap [siege_location_owner.GetTitledFirstNameNoRegnal] in irons and leave the rest;Mettez le chef aux fers et laissez les autres ici.;;;Encarcelar a su líder y dejar libres a los demás.;;;;;;;;;;x
EVTOPTBsiege_agot.2;Imprison the entire family in the dungeons;Saisissez-vous de toute sa famille.;;;Encadenar a toda la familia.;;;;;;;;;;x
EVTOPTBsiege_agot.2B;Have [siege_location_owner.GetHerHis] family put in the dungeon then!;Nous allons prendre sa famille avec nous dans ce cas.;;;Nos llevaremos a su familia con nosotros.;;;;;;;;;;x
EVTOPTBsiege_agot.2C;Good work [From.PrimaryTitle.GetFOA], send them to my dungeon!;Menez les dans mes cachots !;;;Enviadlos a mis mazmorras!;;;;;;;;;;x
EVTOPTCsiege_agot.2A;Take them all into house arrest;;;;Llévalos a todos al arresto domiciliario;;;;;;;;;;x
EVTOPTCsiege_agot.2B;Take [siege_location_owner.GetHerHis] family into house arrest;;;;Llevar a la familia [siege_location_owner.GetHerHis] al arresto domiciliario;;;;;;;;;;x
EVTOPTCsiege_agot.2C;Take them all into house arrest [From.PrimaryTitle.GetFOA];;;;Llévalos a todos al arresto domiciliario [From.PrimaryTitle.GetFOA];;;;;;;;;;x
TOOLTIPsiege_agot.2HOUSEARREST;All captured prisoners shall be put into §Yhouse arrest§!, increasing their opinion of you by §G10§!;;;;ARRESTO DOMICILIARIO: ¡Todos los prisioneros capturados se pondrán en "arresto domiciliario"! ¡Aumentando su opinión acerca de ti por §G10§!;;;;;;;;;;x
EVTOPTDsiege_agot.2;Leave them all be.;Ces gens nous sont inutiles, laissez-les partir.;;;Esas personas no nos sirven, dejadlas marchar.;;;;;;;;;;x
EVTOPTDsiege_agot.2B;[siege_location_owner.GetHerHisCap] family shall be left in peace;Laissez-les partir.;;;Déjalos marchar.;;;;;;;;;;x
EVTOPTDsiege_agot.2C;Leave them all be [From.PrimaryTitle.GetFOA];Ces gens nous sont inutiles, laissez-les partir.;;;Esas personas no nos sirven, dejadlas marchar.;;;;;;;;;;x
TOOLTIPsiege_agot.2LEAVEBE;All captured persons are §Yreleased§!, increasing their opinion of you by §G10§!;;;;¡Todas las personas capturadas son §Yliberadas§ !, aumentando su opinión acerca de ti en §G10§!;;;;;;;;;;x
EVTOPTEsiege_agot.2;There is no-one of value here;;;;No hay nadie de valor aquí;;;;;;;;;;x
EVTOPTFsiege_agot.2;Liberated!;Libéré !;;;Liberado!;;;;;;;;;;x
EVTOPTAsiegewin4;Their leader is no where to be found, [Root.PrimaryTitle.GetFOA].  Shall we ask their family along with us?;Nous n'arrivons pas à le trouver, [Root.PrimaryTitle.GetFOA]. Devons-nous demander à sa famille de venir avec nous?;;;No encontramos a su líder, [Root.PrimaryTitle.GetFOA]. ¿Deberíamos traer a la familia con nosotros?;;;;;;;;;;x
EVTOPTAsiegewin5;Let them all go, I'm feeling merciful today.;Laissez-les partir, je me sens d'humeur miséricordieuse aujourd'hui.;;;Déjalos ir, me siento misericoridoso hoy.;;;;;;;;;;x
EVTDESCsiegeprestige;[Root.PrimaryTitle.GetFOA], the keep has fallen!;La tour est tombée, messire !;;;[Root.PrimaryTitle.GetFOA], la torre ha caído.;;;;;;;;;;x
EVTTOOLTIPenemynothere;If the enemy is not defending, this does nothing.;Si l'ennemi ne se défend pas, cela ne vaut rien.;;;Si el enemigo no se defiende, esto no vale de nada.;;;;;;;;;;x
EVTOPTAsiegewinprestige;My name will live for ever!;Mon nom vivra pour l'éternité !;;;¡Mi nombre vivirá para siempre!;;;;;;;;;;x
EVTOPTAsiegewinbanner;Another banner to hang proudly in my hall.;Une autre bannière à accrocher fièrement dans ma grande salle.;;;Otro estandarte para colgar orgullosamente en mi salón.;;;;;;;;;;x
EVTDESCWAYsearchdungeons;Yes, [Root.PrimaryTitle.GetFOA], we will search the dungeons at once!;Oui [Root.PrimaryTitle.GetFOA], nous allons nous rendre dans les cachots !;;;Si, [Root.PrimaryTitle.GetFOA], buscaremos en las mazmorras.;;;;;;;;;;x
EVTOPWAYprisonrelease01;Release all prisoners.;Relâchez tous les prisonniers.;;;Liberar a todos los prisioneros.;;;;;;;;;;x
EVTOPWAYprisonrelease02;Release anybody with whom we have common cause.;Relâchez toutes les personnes qui soutiennent notre cause.;;;Liberar a cualquiera que apoye nuestra causa.;;;;;;;;;;x
EVTOPWAYprisonrelease03;Release only my relatives. Some of these other fellows look like they are here for a good reason...;Relâchez seulement mes parents. Les autres semblent être ici pour de bonnes raisons…;;;Liberar solo a mis parientes. Los otros prisioneros parecen que tienen razones para estar aquí.;;;;;;;;;;x
EVTOPWAYprisonrelease04;Whomever these people are, they smell like they belong here...;Qui que soient ces gens, il semble que leur place se trouvent ici…;;;Quienesquiera que sean esas personas, huelen como si vivieran aquí.;;;;;;;;;;x
EVTDESCWAYsiegepulseflee;[Root.PrimaryTitle.GetFOA], an enemy host approaches intent on encicling the castle.  What shall we do?;[Root.PrimaryTitle.GetFOA], une armée ennemie approche avec l'intention d'encercler le château. Que devons-nous faire ?;;;[Root.PrimaryTitle.GetFOA], un ejército enemigo se acerca con la intención de asediar el castillo.;;;;;;;;;;x
EVTNAMEWAYsiegepulseflee;Fight or Flee?;Faut-il se battre ou fuir ?;;;¿Pelear o huir?;;;;;;;;;;x
EVTOPTWAYsiegepulseflee01;This castle is impregnable. We will be safest here.;Ce château est imprenable, nous serons plus en sécurité ici.;;;El castillo es impenetrable. Estaremos seguros aquí.;;;;;;;;;;x
EVTOPTWAYsiegepulseflee02;Send my family into hiding, I cannot risk them being captured.;Envoyez ma famille se cacher. Je ne peux pas prendre le risque de les voir capturés.;;;Mandar a mi familia a esconderse, no puedo arriesgarme a que sean capturados.;;;;;;;;;;x
EVTOPTWAYsiegepulseflee03;I will take my family and hide until it is safe. You stay here to defend the keep...;Je vais prendre ma famille et la cacher jusqu'à ce que cela soit plus sûr. Vous autres, restez ici pour défendre le fort…;;;Me llevaré a mi familia y nos esconderemos hasta que sea seguro. Vosotros, quedaos y defended el castillo!;;;;;;;;;;x
EVTNAMEWAYsiegeescape;An opportunity presents itself!;Une occasion se présente !;;;¡Se presenta una oportunidad!;;;;;;;;;;x
EVTDESCWAYsiegeescape;[Root.PrimaryTitle.GetFOA], the situation looks dire. If no relief comes soon you could fall into the hands of the enemy. The time to escape is now...we may not get another chance!;[Root.PrimaryTitle.GetFOA], la situation empire d'heure en heure. Sans arrivé de renforts, j'ai bien peur que vous ne tombiez entre les mains de nos ennemis. Nous devons nous échapper immédiatement… nous n'aurons peut-être pas d'autre autre chance !;;;[Root.PrimaryTitle.GetFOA], la situación parece grave. Si los refuerzos no llegan pronto, podrías caer en las manos del enemigo. Debemos escapar ahora mismo! ¡No creo que tengamos más oportunidades!;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt01;Slip out a postern door at midnight.;Vous échapper par la porterne à minuit.;;;Salir por una poterna a medianoche.;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt02;Brave the sewers.;Passer par les égoûts.;;;Salir a través de las alcantarillas.;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt03;Just give me a rope...;Donnez-moi juste une corde…;;;Sólo dadme una cuerda...;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt04;I think it's better that we wait...I just hope we get another chance.;Je pense qu'il est préférable d'attendre… J'espère seulement avoir une autre chance.;;;Es mejor que esperemos, a lo mejor podemos tener otra oportunidad.;;;;;;;;;;x
EVTDESCRWAYnotifyofcapture1;Just as I thought I had made it to freedom, a group of armed men appear under the banner of my foe. Exhausted from my escape, it is all I can do to croak the word 'yield.';Au moment même où je pensais m'être échappé, un groupe d'hommes armés et portant la bannière de mon ennemi apparait. Epuisé par ma tentative d'évasion, j'ai à peine la force de murmurer 'je me rends'.;;;Justo cuando pensé que alcanzaría la libertad, un grupo de hombres armados aparecen bajo el estandarte de mi enemigo. Agotado por mi escape, todo lo que puedo hacer es murmurar 'me rindo'.;;;;;;;;;;x
EVTDESCRWAYnotifyofcapture2;[Root.PrimaryTitle.GetFOA], we've caught the enemy commander sneaking out the castle!;[Root.PrimaryTitle.GetFOA], nous avons capturé le commandant ennemi alors qu'il tentait de s'échapper furtivement du château !;;;[Root.PrimaryTitle.GetFOA], hemos encontrado al comandante enemigo escapándose del castillo!;;;;;;;;;;x
EVTNAMEWAYnotifyofoutcome;Escape Attempt;Tentative de fuite;;;Intento de fuga;;;;;;;;;;x
EVTTOOLTIPsiegecapturedenemy;[Root.GetTitledName] is imprisoned by the enemy.;[Root.GetTitledName] est emprisonné par l'ennemi.;;;[Root.GetTitledName] fue aprisionado por el enemigo.;;;;;;;;;;x
EVTTOOLTIPsiegeescaped;[Root.GetTitledName] escapes to the countryside!;[Root.GetTitledName] a fuit dans la campagne ! ;;;¡[Root.GetTitledName] escapó al campo!;;;;;;;;;;x
EVTOPWAYsiegecapture01;Take them back to my castle dungeons immediately!;Ramenez-les dans les cachots de mon château ! Immédiatement !;;;¡Llévenlos a las mazmorras de mi castillo inmediatamente!;;;;;;;;;;x
EVTOPWAYsiegecapture02;Damn you all to hell!;Que les Sept Enfers vous emportent !;;;¡Que ardan en los Siete Infiernos!;;;;;;;;;;x
EVTDESCRWAYnotifyofescape01;In the dead of night, as a low mist hung about the curtain wall, you creep out a postern door and float across the moat on an inflated sheepskin. It's only by the ineptitude of the enemy watch that you stagger, dripping wet, through the siege lines and to the safety of a nearby wood. Thanks be to God! ... Although any family left behind is likely angry with us...;Au cœur de la nuit, alors que la brume envahit les courtines, vous vous faufilez jusqu'à la poterne et rampez jusqu'aux douves que vous traversez, flottant sur une peau de mouton. L'incompétence des gardes ennemis vous permet de traverser silencieusement les lignes de siège et de gagner la sécurité du couvert du bois. Bénis soient les dieux... même si les membres de votre famille laissés derrière risque de vous en vouloir. ;;;En la oscuridad de la noche, con un cortina de niebla sobre el muro, te arrastras a través de un postigo y flotas sobre el pozo en una capa de piel de oveja inflada. La ineptitud de la guardia enemiga te permite pasar tambaleandote, empapado, a través de las líneas de asedio enemigas y llegas a la seguridad de un bosque cercano. ¡Gracias a los Dioses! ... Aunque cualquier familiar dejado atrás estará enfadado con nosotros...;;;;;;;;;;x
EVTDESCRWAYnotifyofescape02;Your steward leads you down into the store rooms to a passage you didn't even know existed. Beyond it, a dismal tunnel full of death and decay, and you are only too glad to reach the moat and relatively fresh water. I hope I never have to do that again! It only now occurs to me that any family left behind is likely angry with me for leaving them in the hands of the enemy.;Votre intendant vous conduit jusqu'aux réserves dans les sous-sols du château. Il vous montre un passage dont vous n'imaginiez même pas l'existence. Laissant derrière vous l'intendant, vous vous faufilez dans l'étroit tunnel sombre. Le cheminement est difficile, vous devez souvent ramper dans la boue et les immondices. Au bout d'un moment vous finissez par déboucher sur les douves. L'eau fraîche est une bénédiction après un tel enfer, vous vous laissez dériver jusqu'à un petit bois où vous êtes désormais en sécurité. Alors que vous sortez de l'eau, mouillé et crotté, vous vous rendez soudainement compte que les membres de votre famille restés dans le château n'apprécieront pas que vous les ayez laissés aux mains de l'ennemi.;;;Tu castellano te guía desde el almacén hasta un pasaje que no sabías que existía. Tras él, un túnel lleno de muerte y decadencia, aguantas la respiración y las arcadas hasta alcanzar el foso y su agua relativamente fresca. ¡Espero no tener que hacer esto de nuevo! Aunque cualquier familiar dejado atrás estará enfadado conmigo por haberlos dejado en las manos del enemigo.;;;;;;;;;;x
EVTDESCRWAYnotifyofescape03;They said only a lunatic would attempt climbing down the southeast wall, and certainly the enemy agreed! A near thing, too, when my foot slipped on that patch of moss. My brush with death over with, and safety assured, it only now occurs to me that any family left behind will see this as a desertion, not a bold deed of heroism...;Ils disaient que seul un fou tenterait de descendre par le mur sud. Vos ennemis devaient en penser autant, puisqu'aucun d'entre eux ne vous attend au bas du mur. Alors que vous enlevez la corde avec laquelle vous êtes descendu en rappel, vous vous rendez compte que les membres de famille que vous avez laissé derrière vous verront là non pas un acte de bravoure mais une vulgaire désertion... ;;;Dicen que solo un lunático podría intentar bajar el muro sureste, ¡y ciertamente el enemigo está de acuerdo! Cuando mi pie resbaló con el musgo, pensé que mi final había llegado, tras conseguir descender, la seguridad estaba asegurada. Cualquier familiar dejado atrás estará enfadado conmigo por haberlos dejado en las manos del enemigo y pensarán que esto es una vulgar deserción y no un audaz acto de heroísmo.;;;;;;;;;;x
EVTTOOLWAYfamilyhatesyou;is imprisoned by the enemy and any family members left behind in the castle aren't too happy about it.;est emprisonné par l'ennemi et tous les membres de sa famille restés dans le château n'apprécie guère sa tentative d'évasion.;;;Eres apresado por el enemigo y todos los miembroa de tu familia dejados en el castillo no estarán muy contento contigo.;;;;;;;;;;x
EVTDESCswapletterenemy;[FROM.GetTitledName] would like to arrange a prisoner exchange.;[FROM.GetTitledName] voudrait organiser un échange de prisonnier. ;;;[FROM.GetTitledName] quiere hacer un intercambio de prisioneros.;;;;;;;;;;x
EVTDESCswapletterroot;[Root.PrimaryTitle.GetFOA], shall we send letters out requesting a meet for prisoner exchange?;[Root.PrimaryTitle.GetFOA], devons-nous envoyer un message demandant une entrevue pour l'échange de prisonniers ?;;;[Root.PrimaryTitle.GetFOA], ¿deberíamos enviar una carta con pidiendo un encuentro para intercambiar prisioneros?;;;;;;;;;;x
EVTDESCswapletteraccept;The prisoner exchange has been accepted!;L'échange de prisonniers a été accepté !;;;El intercambio de prisioneros ha sido aceptado!;;;;;;;;;;x
EVTNAMEWAYprisonerswap;Prisoner Exchange;Echange de prisonniers;;;Intercambio de prisioneros;;;;;;;;;;x
arrange_prisoner_swap;Arrange an exchange of hostages;Organiser un échange d'otages;;;Organizar un intercambio de rehenes;;;;;;;;;;x
arrange_prisoner_swap_desc;Arrange an exchange of hostages;Organiser un échange d'otages;;;Organizar un intercambio de rehenes;;;;;;;;;;x
EVTDESCswapletterprisoner;Your guard lets it slip that there may be a prisoner exchange soon...;Votre geôlier vous laisse entendre qu'il pourrait y avoir bientôt un échange de prisonniers...;;;Tu carcelero te da a entender que tal vez haya un intercambio de prisioneros pronto...;;;;;;;;;;x
EVTOPWAYswap3op1;Exchange all noble prisoners.;Echanger tous les prisonniers nobles.;;;Intercambiar todos los prisioneros nobles.;;;;;;;;;;x
bring_out_of_hiding;Call Court out of Hiding;Demander aux membres de votre cour de sortir de leur cachette;;;Pedir a los miembros de tu corte que salgan del escondite.;;;;;;;;;;x
bring_out_of_hiding_desc;The war is over, our castle is now safe. It is time to call my family and my court out of hiding.;La guerre est terminée, notre château est désormais un endroit sûr. Il est temps de demander à ma famille et à ma cour de sortir de leur cachette.;;;La guerra terminó, el castillo ya es seguro. Es tiempo de pedir a mi familia y a los demás cortesanos que salgan de su escondite.;;;;;;;;;;x
request_important_prisoners;Demand Important Prisoners;Exiger les prisonniers importants;;;Demandar prisioneros importantes de tus vasallos;;;;;;;;;;x
request_important_prisoners_named;Demand Important Prisoners From [Root.GetTitledFirstName];Exiger les prisonniers importants de [Root.GetTitledFirstName];;;Demandar prisioneros importantes de [Root.GetTitledFirstName];;;;;;;;;;x
request_important_prisoners_desc;Demand that enemy prisoners are transferred from [Root.Capital.GetName] to your custody in [From.Capital.GetName].;Exiger que les prisonniers ennemis soient transferés de [Root.Capital.GetName] à [From.Capital.GetName].;;;Demandar que los prisioneros enemigos sean transferidos de [Root.Capital.GetName] a tu custodia en [From.Capital.GetName].;;;;;;;;;;x
TOOLTIPdiplomatic.200;You send a message to [Root.GetTitledFirstName] demanding the following prisoners:;Vous envoyez un message à [Root.GetTitledFirstName] exigeant les prisonniers suivants : ;;;Envías un mensaje a [Root.GetTitledFirstName] demandando los siguientes prisioneros:;;;;;;;;;;x
TOOLTIPrequest_important_prisoners;[This.GetTitledFirstName] [This.GetDynName]\n;[This.GetTitledFirstName] [This.GetDynName]\n;;;[This.GetTitledFirstName] [This.GetDynName]\n;;;;;;;;;;x
EVTDESCdiplomatic.200;[Root.GetTitledFirstName], you currently have some high value prisoners under your control in [Root.Capital.GetName]. These people are enemies of [FromFrom.PrimaryTitle.GetName], and so I hereby command that you transfer them to my custody here in [FromFrom.Capital.GetName].\n\nSigned\n[FromFrom.GetTitledFirstNameoftheHouse];[Root.GetTitledFirstName], vous avez actuellement des prisonniers de grande valeur à [Root.Capital.GetName]. Ces personnes sont les ennemis de [FromFrom.PrimaryTitle.GetName], aussi je vous ordonne par la présente de les transférer à [FromFrom.Capital.GetName].\n\nSigné\n[FromFrom.GetTitledFirstName] de la maison [FromFrom.GetDynName];;;[Root.GetTitledFirstName], actualmente cuenta con algunos prisioneros importantes bajo su control en [Root.Capital.GetName]. Estas personas son enemigos del [FromFrom.PrimaryTitle.GetName], y por la presente ordeno que los transfiera a mi custodia en [FromFrom.Capital.GetName].\n\nFirmado\n[FromFrom.GetTitledFirstName] de la Casa [FromFrom.GetDynName];;;;;;;;;;x
EVTOPTAdiplomatic.200;As you command, [FromFrom.PrimaryTitle.GetFOA];A vos ordres, [FromFrom.PrimaryTitle.GetFOA];;;A sus órdenes, [FromFrom.PrimaryTitle.GetFOA];;;;;;;;;;x
EVTTOOLTIPprisreq;[This.GetTitledFirstName] [This.GetDynName] is moved to [FromFrom.Capital.GetName]\n;[This.GetTitledFirstName] [This.GetDynName] est déplacé à [FromFrom.Capital.GetName]\n;;;[This.GetTitledFirstName] [This.GetDynName] es trasladado a [FromFrom.Capital.GetName]\n;;;;;;;;;;x
EVTOPTCdiplomatic.200;No, they shall stay here!;Non, ils resteront ici !;;;No, ellos deben estar aquí!;;;;;;;;;;x
EVTDESCdiplomatic.201;[Root.PrimaryTitle.GetFOA], I will of course obey your command and transfer the prisoners to you in [Root.Capital.GetName] immediately.\n\nYours\n[From.GetTitledFirstNameoftheHouse];[Root.PrimaryTitle.GetFOA], je vais bien entendu obéir à vos ordres et immédiairement transférer les prisonniers vers [Root.Capital.GetName].\n\nCordialement\n[From.GetTitledFirstName] de la maison [From.GetDynName];;;[Root.PrimaryTitle.GetFOA], Por supuesto que obedeceré sus órdenes y le trasladaré los prisioneros a [Root.Capital.GetName] inmediatamente.\n\nSuyo\n[From.GetTitledFirstName] de la Casa [From.GetDynName];;;;;;;;;;x
EVTDESCdiplomatic.202;[Root.PrimaryTitle.GetFOA], I am afraid I cannot agree to this, these prisoners are rightfully in my custody and must remain here in [From.Capital.GetName].\n\nSigned\n[From.GetTitledFirstNameoftheHouse];[Root.PrimaryTitle.GetFOA], je crains de ne pouvoir accéder à votre demande, ces prisonniers sont sous ma garde et resteront ici à [From.Capital.GetName].\n\nSigné\n[From.GetTitledFirstName] de la maison [From.GetDynName];;;[Root.PrimaryTitle.GetFOA], Me temo que no estoy de acuerdo con su petición, esos prisioneros están legítimamente bajo mi custodia y deben permanecer aquí en [From.Capital.GetName].\n\nFirmado\n[From.GetTitledFirstName] de la Casa [From.GetDynName];;;;;;;;;;x
EVTOPTAdiplomatic.202;This is an outrage!;C'est un scandale !;;;Esto es un ultraje!;;;;;;;;;;x
opinion_refused_prisoner_transfer;Refused Prisoner Transfer;A refusé le transfert de prisonnier;;;Se negó a transferir un prisionero;;;;;;;;;;x
EVTDESCsiege_agot.29;I'm sending an emissary, we'll see if they surrender their castle;J'ai envoyé un émissaire, nous verrons s'ils livrent leur château;;;He enviado un emisario, veremos si rinden el castillo.;;;;;;;;;;x
EVTDESCsiege_agot.30;You are doomed, move out of your castle and you'll be unmolested;Vous êtes condamnés, évacuez votre château et aucun mal ne vous sera fait;;;Estáis condenados, evacuad el castillo y no se os hará ningún mal.;;;;;;;;;;x
EVTDESCsiege_agot.31;We Accept your proposal and deliver you the castle;Nous acceptons votre proposition et vous livrons le château;;;Aceptamos su propuesta, entregaremos el castillo.;;;;;;;;;;x
EVTDESCsiege_agot.32;Don't count on us acting as cowards, I will meet you on the walls;Ne comptez pas sur nous pour agir comme des lâches, je vous rencontrerai sur les murs;;;No somos unos cobardes, nos veremos en las murallas!;;;;;;;;;;x
EVTDESCsiege_agot.9;[Root.PrimaryTitle.GetFOA], I grieve to report that [From.GetTitledFirstName]'s men have caused much damage to the castle and countryside after their siege of [FromFrom.GetName].;[Root.PrimaryTitle.GetFOA], c'est avec peine que je dois vous apprendre que les hommes de [From.GetTitledFirstName] ont gravement endommagé le château et ravagé les campagnes après leur siège de [FromFrom.GetName].;;;[Root.PrimaryTitle.GetFOA], le informo que los hombres de [From.GetTitledFirstName] causaron mucho daño en el castillo y los campos después de su asedio en [FromFrom.GetName].;;;;;;;;;;x
EVTOPsiege_agot.9;This is bad news;Voilà une bien mauvaise nouvelle.;;;Malas noticias.;;;;;;;;;;x
EVTDESCsiege_agot.6;After [From.GetHerHis] merciless siege of [FromFrom.GetName], [From.GetTitledFirstName] has taken me prisoner!;Après le siège sans pitié de [FromFrom.GetName], [From.GetTitledFirstName] m'a fait prisonnier !;;;Tras el asedio de [FromFrom.GetName], ¡[From.GetTitledFirstName] me tomó como prisionero!;;;;;;;;;;x
EVTOPsiege_agot.6;Oh dear;Oh non !;;;¡Oh no!;;;;;;;;;;x
EVTDESCsiege_agot.7;After [From.GetHerHis] heroic siege of [FromFrom.GetName], [From.GetTitledFirstName] has decided to release you from prison.;Après son siège héroïque de [FromFrom.GetName], [From.GetTitledFirstName] a décidé de vous libérer de prison. ;;;Tras el asedio de [FromFrom.GetName], [From.GetTitledFirstName] decidió liberarme de prisión.;;;;;;;;;;x
EVTOPsiege_agot.7;Sweet freedom!;Liberté !;;;¡Dulce libertad!;;;;;;;;;;x
TOOLTIPmodifier_hidden;[This.GetFirstName] shall be taken into hiding\n;[This.GetFirstName] sera caché(e)\n;;;[This.GetFirstName] está escondido\n;;;;;;;;;;x
EVTOPTWAYsiegepulseDRAGON;I'll just fly away;Je vais juste m'envoler.;;;Simplemente me iré volando.;;;;;;;;;;x
TOOLTIPsiegepulseDRAGON;[Root.GetTitledFirstName] flys away on [Root.GetHerHis] Dragon to [This.GetName]\n;[Root.GetTitledFirstName] s'enfuit à [This.GetName] sur son dragon\n;;;[Root.GetTitledFirstName] vuela montado en su Dragón hacia [This.GetName]\n;;;;;;;;;;x
