#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_jade_sea;The Jade Sea;La Mer de Jade;;;El Mar de Jade;;;;;;;;;x
b_fort_qal;Fort Qal;Fort Qal;;;Fuerte Qal;;;;;;;;;x
b_west_qal;West Qal;Ouest Qal;;;Qal Occidental;;;;;;;;;x
b_east_qal;East Qal;Est Qal;;;Qal Oriental;;;;;;;;;x
b_qal_temple;Qal;Qal;;;Qal;;;;;;;;;x
c_saaleq;Saaleq;Saaleq;;;Saaleq;;;;;;;;;x
b_saaleq;Saaleq;Saaleq;;;Saaleq;;;;;;;;;x
b_saaleq_castle;Saaleq;Saaleq;;;Saaleq;;;;;;;;;x
b_saaleq_temple;Saaleq;Saaleq;;;Saaleq;;;;;;;;;x
oligarchy_emperor_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_ruler_consort_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_ruler_consort_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_foa_qartheen;Noble Pureborn;Noble Impollu;;;Noble Sangrepura;;;;;;;;;x
oligarchy_emperor_foa_qartheen;Noble Pureborn;Noble Impollu;;;Noble Sangrepura;;;;;;;;;x
oligarchy_emperor_title_prince_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_prince_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_prince_AGOT_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_prince_AGOT_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_queen_mother_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_title_ruler_consort_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_title_ruler_consort_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_foa_qartheen;Noble Pureborn;Noble Impollu;;;Noble Sangrepura;;;;;;;;;x
oligarchy_king_foa_qartheen;Noble Pureborn;Noble Impollu;;;Noble Sangrepura;;;;;;;;;x
oligarchy_king_title_prince_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_title_prince_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_title_prince_AGOT_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_title_prince_AGOT_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_king_title_queen_mother_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_prince_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_prince_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_prince_AGOT_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_prince_AGOT_female_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
oligarchy_emperor_title_queen_mother_qartheen;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
ANCIENT_CITY_OF;Ancient City of;Ancienne Cité de;;;Antigua Ciudad de;;;;;;;;;x
LP_ANCIENT_CITY_OF;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
LP_ANCIENT_CITY_OF_qartheen;Ancient City of;Ancienne Cité de;;;Antigua Ciudad de;;;;;;;;;x
nomadic_ANCIENT_CITY_OF_dothraki;Khas of;Khas de;;;Khas de;;;;;;;;;x
tribal_ANCIENT_CITY_OF_dothraki;Khalasar of;Khalasar de;;;Khalasar de;;;;;;;;;x
nomadic_ANCIENT_CITY_OF_jogos_nhai;Jhah of;Jhah de;;;Jhah de;;;;;;;;;x
tribal_ANCIENT_CITY_OF_jogos_nhai;Jhahanoc of;Jhahanoc de;;;Jhahanoc de;;;;;;;;;x
ANCIENT_CITY_OF_yi_ti_group;Principality of;Principauté de;;;Principado de;;;;;;;;;x
LP_ANCIENT_CITY_OF_yi_ti;Prefecture of;Préfecture de;;;Prefecturado de;;;;;;;;;x
ANCIENT_CITY_OF_hyrkoon_group;Patrimony of;Patrimoine de;;;Patrimonio de;;;;;;;;;x
city_count_qartheen;Master;Maître;;;Amo;;;;;;;;;x
city_duke_qartheen;Prince;Prince;;;Príncipe;;;;;;;;;x
city_king_qartheen;Grand Prince;Grand Prince;;;Gran Príncipe;;;;;;;;;x
city_king_foa_qartheen;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
city_kingdom_qartheen;Grand City;Cité Libre;;;Gran Ciudad;;;;;;;;;x
city_kingdom_of_qartheen;Grand City of;Cité Libre de;;;Gran Ciudad de;;;;;;;;;x
city_emperor_qartheen;Grand Prince;Grand Prince;;;Gran Príncipe;;;;;;;;;x
city_emperor_foa_qartheen;Your Magnificence;Votre Magnificence;;;Su Magnificencia;;;;;;;;;x
city_empire_qartheen;Empire;Empire;;;Imperio;;;;;;;;;x
city_empire_of_qartheen;Empire of;Empire de;;;Imperio de;;;;;;;;;x
family_palace_baron_qartheen;Merchant Prince;Prince Marchand;;;Príncipe Mercader;;;;;;;;;x
PUREBORN;Pureborn;Impollu;;;Sangrepura;;;;;;;;;x
PUREBORN_FOA;Noble Pureborn;Noble Impollu;;;Noble Sangrepura;;;;;;;;;x
WARLOCK;Chief Warlock;Chef Conjurateur;;;Jefe Brujo;;;;;;;;;x
WARLOCK_FOA;Chief Warlock;Chef Conjurateur;;;Jefe Brujo;;;;;;;;;x
k_ibben;Ibben;Ibben;;;Ibben;;;;;;;;;x
k_ibben_adj;Ibbenese;Ibbénien;;;Ibbenesa;;;;;;;;;x
d_portofibben;Port of Ibben;Port d'Ibben;;;Puerto de Ibben;;;;;;;;;x
c_port_of_ibben;Port of Ibben;Port d'Ibben;;;Puerto de Ibben;;;;;;;;;x
b_port_of_ibben;Port of Ibben;Port d'Ibben;;;Puerto de Ibben;;;;;;;;;x
b_port_of_ibben_city;Port of Ibben;Port d'Ibben;;;Puerto de Ibben;;;;;;;;;x
b_port_of_ibben_harbour;Sarak;Sarak;;;Sarak;;;;;;;;;x
b_port_of_ibben_lighthouse;Whalehouse;Baleinière;;;Ballenato;;;;;;;;;x
b_port_of_ibben_temple;Port of Ibben;Port d'Ibben;;;Puerto de Ibben;;;;;;;;;x
c_ib_lok;Ib Lok;Ib Lok;;;Ib Lok;;;;;;;;;x
b_ib_lok;Ib Lok;Ib Lok;;;Ib Lok;;;;;;;;;x
b_ib_lok_city;Ib Lok;Ib Lok;;;Ib Lok;;;;;;;;;x
b_ib_lok_temple;Ib Lok;Ib Lok;;;Ib Lok;;;;;;;;;x
c_spearhold;Spearhold;Priselance;;;Tierra de las Lanzas;;;;;;;;;x
b_spearhold;Spearhold;Priselance;;;Tierra de las Lanzas;;;;;;;;;x
b_spearhold_city;Spearhold;Priselance;;;Tierra de las Lanzas;;;;;;;;;x
b_spearhold_temple;Spearhold;Priselance;;;Tierra de las Lanzas;;;;;;;;;x
c_herse;Herse;Herse;;;Herse;;;;;;;;;x
b_herse;Herse;Herse;;;Herse;;;;;;;;;x
b_herse_city;Herse;Herse;;;Herse;;;;;;;;;x
b_herse_temple;Herse;Herse;;;Herse;;;;;;;;;x
d_iboss;Ib Oss;Ib Oss;;;Ib Oss;;;;;;;;;x
c_ib_oss;Ib Oss;Ib Oss;;;Ib Oss;;;;;;;;;x
b_ib_oss;Ib Oss;Ib Oss;;;Ib Oss;;;;;;;;;x
b_ib_oss_city;Ib Oss;Ib Oss;;;Ib Oss;;;;;;;;;x
b_ib_oss_temple;Ib Oss;Ib Oss;;;Ib Oss;;;;;;;;;x
c_ibbone;Ibbone;Ibbos;;;Ibbone;;;;;;;;;x
b_ibbone;Ibbone;Ibbos;;;Ibbone;;;;;;;;;x
b_ibbone_city;Ibbone;Ibbos;;;Puerto Ibbone;;;;;;;;;x
b_ibbone_temple;Ibbone;Ibbos;;;Ibbone;;;;;;;;;x
c_melten;Melten;Melten;;;Melten;;;;;;;;;x
b_melten;Melten;Melten;;;Melten;;;;;;;;;x
b_melten_city;Melten;Melten;;;Melten;;;;;;;;;x
b_melten_temple;Melten;Melten;;;Melten;;;;;;;;;x
d_ibnor;Ib Nor;Ib Nor;;;Ib Nor;;;;;;;;;x
c_ib_nor;Ib Nor;Ib Nor;;;Ib Nor;;;;;;;;;x
b_ib_nor;Ib Nor;Ib Nor;;;Ib Nor;;;;;;;;;x
b_ib_nor_city;Ib Nor;Ib Nor;;;Ib Nor;;;;;;;;;x
b_ib_nor_harbour;Ib Nor Harbour;Port d'Ib Nor;;;Puerto de Ib Nor;;;;;;;;;x
b_ib_nor_temple;Ib Nor;Ib Nor;;;Ib Nor;;;;;;;;;x
b_ib_nor_lighthouse;The Lighthouse;Le Phare;;;El Faro de Ib;;;;;;;;;x
c_geysert;Geysert;Geysert;;;Geysert;;;;;;;;;x
b_geysert;Geysert;Geysert;;;Geysert;;;;;;;;;x
b_geysert_city;Geysert;Geysert;;;Geysert;;;;;;;;;x
b_geysert_temple;Geysert;Geysert;;;Geysert;;;;;;;;;x
c_tuskbay;Tusk Bay;Baie de Tusk;;;Bahía de los Colmillos;;;;;;;;;x
b_tuskbay;Tusk Bay;Baie de Tusk;;;Bahía de los Colmillos;;;;;;;;;x
b_tuskbay_city;Tusk Bay;Baie de Tusk;;;Bahía de los Colmillos;;;;;;;;;x
b_tuskbay_temple;Tusk Bay;Baie de Tusk;;;Bahía de los Colmillos;;;;;;;;;x
c_ib_ess;Ib Ess;Ib Ess;;;Ib Ess;;;;;;;;;x
b_ib_ess;Ib Ess;Ib Ess;;;Ib Ess;;;;;;;;;x
b_ib_ess_city;Ib Ess;Ib Ess;;;Ib Ess;;;;;;;;;x
b_ib_ess_temple;Ib Ess;Ib Ess;;;Ib Ess;;;;;;;;;x
d_bayofwhales;Bay of Whales;Baie des Baleines;;;Bahía de las Ballenas;;;;;;;;;x
c_ibben_dol;Ibben Dol;Ibben Dol;;;Ibben Dol;;;;;;;;;x
b_ibben_dol;Ibben Dol;Ibben Dol;;;Ibben Dol;;;;;;;;;x
b_ibben_dol_city;Ibben Dol;Ibben Dol;;;Ibben Dol;;;;;;;;;x
b_ibben_dol_temple;Ibben Dol;Ibben Dol;;;Ibben Dol;;;;;;;;;x
c_ibben_zok;Ibben Zok;Ibben Zok;;;Ibben Zok;;;;;;;;;x
b_ibben_zok;Ibben Zok;Ibben Zok;;;Ibben Zok;;;;;;;;;x
b_ibben_zok_city;Ibben Zok;Ibben Zok;;;Ibben Zok;;;;;;;;;x
b_ibben_zok_temple;Ibben Zok;Ibben Zok;;;Ibben Zok;;;;;;;;;x
c_ibben_thrak;Ibben Thrak;Ibben Thrak;;;Ibben Thrak;;;;;;;;;x
b_ibben_thrak;Ibben Thrak;Ibben Thrak;;;Ibben Thrak;;;;;;;;;x
b_ibben_thrak_city;Ibben Thrak;Ibben Thrak;;;Ibben Thrak;;;;;;;;;x
b_ibben_thrak_temple;Ibben Thrak;Ibben Thrak;;;Ibben Thrak;;;;;;;;;x
c_ibben_hran;Ibben Hran;Ibben Hran;;;Ibben Hran;;;;;;;;;x
b_ibben_hran;Ibben Hran;Ibben Hran;;;Ibben Hran;;;;;;;;;x
b_ibben_hran_city;Ibben Hran;Ibben Hran;;;Ibben Hran;;;;;;;;;x
b_ibben_hran_temple;Ibben Hran;Ibben Hran;;;Ibben Hran;;;;;;;;;x
d_farib;Far Ib;Ib-de-Loin;;;Lejano Ib;;;;;;;;;x
c_ib_sar;Ib Sar;Ib Sar;;;Ib Sar;;;;;;;;;x
b_ib_sar;Ib Sar;Ib Sar;;;Ib Sar;;;;;;;;;x
b_ib_sar_city;Ib Sar;Ib Sar;;;Ib Sar;;;;;;;;;x
b_ib_sar_harbour;Ib Sar Harbour;Port d'Ib Sar;;;Puerto de Ib Sar;;;;;;;;;x
b_ib_sar_temple;Ib Sar;Ib Sar;;;Ib Sar;;;;;;;;;x
c_far_ib;Far Ib;Ib-de-Loin;;;Lejano Ib;;;;;;;;;x
b_far_ib;Far Ib;Ib-de-Loin;;;Lejano Ib;;;;;;;;;x
b_far_ib_city;Far Ib;Ib-de-Loin;;;Lejano Ib;;;;;;;;;x
b_far_ib_temple;Far Ib;Ib-de-Loin;;;Lejano Ib;;;;;;;;;x
d_ibbish;Ibbish;Ibbish;;;Ibbish;;;;;;;;;x
c_new_ibbish;New Ibbish;Neuve-Ibbish;;;Nuevo Ibbish;;;;;;;;;x
b_new_ibbish;New Ibbish;Neuve-Ibbish;;;Nuevo Ibbish;;;;;;;;;x
b_new_ibbish_city;New Ibbish;Neuve-Ibbish;;;Nuevo Ibbish;;;;;;;;;x
b_new_ibbish_harbour;New Ibbish Harbour;Port de Neuve-Ibbish;;;Puerto de Nuevo Ibbish;;;;;;;;;x
b_new_ibbish_temple;New Ibbish;Neuve-Ibbish;;;Nuevo Ibbish;;;;;;;;;x
c_ibbish;Ibbish;Ibbish;;;Ibbish;;;;;;;;;x
b_ibbish;Ibbish;Ibbish;;;Ibbish;;;;;;;;;x
b_ibbish1;Ibbish;Ibbish;;;Ibbish;;;;;;;;;x
b_ibbish2;Ibbish;Ibbish;;;Ibbish;;;;;;;;;x
b_ibbish3;Ibbish;Ibbish;;;Ibbish;;;;;;;;;x
b_ibbish4;Ibbish;Ibbish;;;Ibbish;;;;;;;;;x
emperor_ibbenese;God Emperor;Empereur-dieu;;;Dios Emperador;;;;;;;;;x
emperor_ibbenese_female;God Empress;Impératrice-déesse;;;Diosa Emperatriz;;;;;;;;;x
emperor_foa_ibbenese_group;Most Holy and Exalted One;Très saint et exalté;;;Santísimo y Excelso;;;;;;;;;x
emperor_foa_female_ibbenese_group;Most Holy and Exalted One;Très sainte et exaltée;;;Santísima y Excelsa;;;;;;;;;x
king_ibbenese;God King;Roi-Dieu;;;Rey Dios;;;;;;;;;x
king_ibbenese_female;God Queen;Reine-Déesse;;;Reina Diosa;;;;;;;;;x
king_foa_ibbenese_group;Most Holy and Exalted One;Très saint et exalté;;;Santísimo y Excelso;;;;;;;;;x
king_foa_female_ibbenese_group;Most Holy and Exalted One;Très sainte et exaltée;;;Santísima y Excelsa;;;;;;;;;x
city_empire_ibbenese;Empire;Empire;;;Imperio;;;;;;;;;x
city_empire_of_ibbenese;Empire of;Empire de;;;Imperio de;;;;;;;;;x
city_emperor_ibbenese;High Councillor;Haut Conseiller;;;Gran Consejero;;;;;;;;;x
city_emperor_female_ibbenese;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
city_emperor_foa_ibbenese;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
city_emperor_foa_female_ibbenese;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
city_kingdom_ibbenese;Nation;Nation;;;Nación;;;;;;;;;x
city_kingdom_of_ibbenese;Nation of;Nation de;;;Nación de;;;;;;;;;x
city_king_ibbenese;High Councillor;Haut Conseiller;;;Gran Consejero;;;;;;;;;x
city_king_female_ibbenese;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
city_king_foa_ibbenese_group;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
city_king_foa_female_ibbenese;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
family_palace_baron_ibbenese;Shadow Councillor;Conseiller de l'Ombre;;;Consejero de la Sombra;;;;;;;;;x
oligarchy_empire_ibbenese;Empire;Empire;;;Imperio;;;;;;;;;x
oligarchy_empire_of_ibbenese;Empire of;Empire de;;;Imperio de;;;;;;;;;x
oligarchy_emperor_ibbenese;High Councillor;Haut Conseiller;;;Gran Consejero;;;;;;;;;x
oligarchy_emperor_female_ibbenese;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_foa_ibbenese;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
oligarchy_emperor_foa_female_ibbenese;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
oligarchy_emperor_title_prince_ibbenese;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_title_prince_female_ibbenese;Lady;Conseiller;;;Señora;;;;;;;;;x
oligarchy_emperor_title_queen_mother_ibbenese;Lady;Conseiller;;;Señora;;;;;;;;;x
oligarchy_kingdom_ibbenese;Nation;Nation;;;Nación;;;;;;;;;x
oligarchy_kingdom_of_ibbenese;Nation of;Nation de;;;Nación de;;;;;;;;;x
oligarchy_king_ibbenese;High Councillor;Haut Conseiller;;;Gran Consejero;;;;;;;;;x
oligarchy_king_female_ibbenese;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_foa_ibbenese_group;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
oligarchy_king_foa_female_ibbenese;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
oligarchy_king_title_prince_ibbenese;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_title_prince_female_ibbenese;Lady;Conseiller;;;Señora;;;;;;;;;x
oligarchy_king_title_queen_mother_ibbenese;Lady;Conseiller;;;Señora;;;;;;;;;x
job_castellan_ibbenese;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
city_job_castellan_ibbenese;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
oligarchy_job_castellan_ibbenese;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
job_castellan_female_ibbenese;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
city_job_castellan_female_ibbenese;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
oligarchy_job_castellan_female_ibbenese;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
LP_job_castellan_ibbenese;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
oligarchy_job_castellan_ibbenese;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
city_duke_ibbenese;Shadow Councillor;Conseiller de l'Ombre;;;Consejero de la Sombra;;;;;;;;;x
city_count_ibbenese;Shadow Councillor;Conseiller de l'Ombre;;;Consejero de la Sombra;;;;;;;;;x
city_baron_ibbenese;Councillor;Conseiller;;;Consejero;;;;;;;;;x
k_lhazar;Lhazar;Lhazar;;;Lhazar;;;;;;;;;x
k_lhazar_adj;Lhazareen;Lhazaréen;;;Lhazareena;;;;;;;;;x
d_lhazosh;Lhazosh;Lhazosh;;;Lhazosh;;;;;;;;;x
c_lhazosh;Lhazosh;Lhazosh;;;Lhazosh;;;;;;;;;x
b_lhazosh;Lhazosh;Lhazosh;;;Lhazosh;;;;;;;;;x
b_lhazosh_temple;Lhazosh;Lhazosh;;;Lhazosh;;;;;;;;;x
b_lhazosh_castle;Lhazosh;Lhazosh;;;Lhazosh;;;;;;;;;x
c_hoshorak;Hoshorak;Hoshorak;;;Hoshorak;;;;;;;;;x
b_hoshorak;Hoshorak;Hoshorak;;;Hoshorak;;;;;;;;;x
b_hoshorak_castle;Hoshorak;Hoshorak;;;Hoshorak;;;;;;;;;x
b_hoshorak_temple;Hoshorak;Hoshorak;;;Hoshorak;;;;;;;;;x
d_hesh;Hesh;Hesh;;;Hesh;;;;;;;;;x
c_hesh;Hesh;Hesh;;;Hesh;;;;;;;;;x
b_hesh;Hesh;Hesh;;;Hesh;;;;;;;;;x
b_hesh_castle;Hesh;Hesh;;;Hesh;;;;;;;;;x
b_hesh_temple;Hesh;Hesh;;;Hesh;;;;;;;;;x
c_atakosh;Atakosh;Atakosh;;;Atakosh;;;;;;;;;x
b_atakosh;Atakosh;Atakosh;;;Atakosh;;;;;;;;;x
b_atakosh_castle;Atakosh;Atakosh;;;Atakosh;;;;;;;;;x
b_atakosh_temple;Atakosh;Atakosh;;;Atakosh;;;;;;;;;x
d_kosrak;Kosrak;Kosrak;;;Kosrak;;;;;;;;;x
c_kosrak;Kosrak;Kosrak;;;Kosrak;;;;;;;;;x
b_kosrak;Kosrak;Kosrak;;;Kosrak;;;;;;;;;x
b_kosrak_castle;Kosrak;Kosrak;;;Kosrak;;;;;;;;;x
b_kosrak_temple;Kosrak;Kosrak;;;Kosrak;;;;;;;;;x
c_virzosh;Virzosh;Virzosh;;;Virzosh;;;;;;;;;x
b_virzosh;Virzosh;Virzosh;;;Virzosh;;;;;;;;;x
b_virzosh_castle;Virzosh;Virzosh;;;Virzosh;;;;;;;;;x
b_virzosh_temple;Virzosh;Virzosh;;;Virzosh;;;;;;;;;x
c_olta_drogaki;Olta Drogaki;Olta Drogaki;;;Olta Drogaki;;;;;;;;;x
b_olta_drogaki;Olta Drogaki;Olta Drogaki;;;Olta Drogaki;;;;;;;;;x
b_olta_drogaki_castle;Olta Drogaki;Olta Drogaki;;;Olta Drogaki;;;;;;;;;x
