#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ironborn_reaving;Go on a Reaving;Partir pour un raid;;;Organizar una expedición de saqueo;;;;;;;;;x
EVTDESCraid_events.2C;[Root.GetFirstNameWithDynasty], I invite you to the pay the iron price by joining me on a reaving to the south in the Summer Sea, where we can target the weak Summer Islanders. I promise we will gain many salt wives and much plunder, as in the ways of old!\n\n Yours,\n[From.GetFirstNameWithDynasty];[Root.GetFirstNameWithDynasty], je vous invite à payer le fer-prix en rejoignant mon raid au-delà du Détroit. Je vous promet quantité de femme-sels et de butins, comme autrefois!\n\n Bien à vous,\n[From.GetFirstNameWithDynasty];;;[Root.GetFirstNameWithDynasty], os invito a pagar el precio del hierro uniéndoos a mi expedición de saqueo al Sur del Mar del Verano, donde atacaremos las débiles naves estiveñas. Os prometo gran cantidad de esposas de sal y botines, como las antiguas costumbres!\n\n Atentamente,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
EVTDESCraid_events.2D;[Root.GetFirstNameWithDynasty], I invite you to the pay the iron price by joining me on a reaving far to the east in Slaver's Bay. I promise we will gain many salt wives and much plunder, as in the ways of old!\n\n Yours,\n[From.GetFirstNameWithDynasty];[Root.GetFirstNameWithDynasty], je vous invite à payer le fer-prix en rejoignant mon raid au-delà du Détroit. Je vous promet quantité de femme-sels et de butins, comme autrefois!\n\n Bien à vous,\n[From.GetFirstNameWithDynasty];;;[Root.GetFirstNameWithDynasty], os invito a pagar el precio del hierro uniéndoos a mi expedición de saqueo al lejano oriente, en la Bahía de los Esclavos. Os prometo gran cantidad de esposas de sal y botines, como las antiguas costumbres!\n\n Atentamente,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTAraid_events.2;I shall join him!;Je vais le rejoindre!;;;Me uniré!;;;;;;;;;x
EVTOPTBraid_events.2;Reaving is not for me;Le raid n'est pas fait pour moi;;;El saqueo no es lo mio;;;;;;;;;x
EVTOPTCraid_events.2;I do not wish to go no any reavings ever!;Je ne veux plus jamais prendre part à aucun raid!;;;No participaré en ninguna expedición nunca!;;;;;;;;;x
TOOLTIPREAVINGDISPUTEDLANDS;You will join [From.GetFirstNameWithDynasty] on his reaving in the Disputed Lands. You will need a regent whilst away.\n;Vous allez vous joindre au raid de [From.GetFirstNameWithDynasty] sur les Terres Disputées. Vous allez avoir besoin d'un régent pendant votre absence.\n;;;Te unirás a la expedición de [From.GetFirstNameWithDynasty] en las Tierras de la Discordia. Necesitarás un regente durante tu ausencia.\n;;;;;;;;;x
TOOLTIPREAVINGNORTHESSOS;You will join [From.GetFirstNameWithDynasty] on his reaving in Northern Essos. You will need a regent whilst away.\n;Vous allez vous joindre au raid de [From.GetFirstNameWithDynasty] sur le Nord d'Essos. Vous allez avoir besoin d'un régent pendant votre absence.\n;;;Te unirás a la expedición de [From.GetFirstNameWithDynasty] en el norte de Essos. Necesitarás un regente durante tu ausencia.\n;;;;;;;;;x
TOOLTIPREAVINGSUMMERSEA;You will join [From.GetFirstNameWithDynasty] on his reaving in the Summer Sea. You will need a regent whilst away.\n;Vous allez vous joindre au raid de [From.GetFirstNameWithDynasty] en Mer d'Eté. Vous allez avoir besoin d'un régent pendant votre absence.\n;;;Te unirás a la expedición de [From.GetFirstNameWithDynasty] en el Mar del Verano. Necesitarás un regente durante tu ausencia.\n;;;;;;;;;x
TOOLTIPREAVINGSLAVERSBAY;You will join [From.GetFirstNameWithDynasty] on his reaving in Slaver's Bay. You will need a regent whilst away.\n;Vous allez vous joindre au raid de [From.GetFirstNameWithDynasty] dans la Baie des Serfs. Vous allez avoir besoin d'un régent pendant votre absence.\n;;;Te unirás a la expedición de [From.GetFirstNameWithDynasty] en la Bahía de los Esclavos. Necesitarás un regente durante tu ausencia.\n;;;;;;;;;x
EVTDESCraid_events.3;The men are ready, the longships prepared. Now we begin our journey across the Narrow Sea to pay the Iron Price!;Les hommes sont prêts, les boutres préparées. Enfin commence notre voyage au-delà du Détroit pour payer le fer-prix!;;;Los hombres están listos, los barcoluengos preparados. Por fin comienza nuestro viaje más allá del Mar Angosto para pagar el precio del hierro!;;;;;;;;;x
EVTOPTAraid_events.3;This will be most profitable;Cela va être très profitable;;;Será muy provechoso;;;;;;;;;x
EVTOPTBraid_events.3;The war makes this impossible;La guerre nous en empêche;;;La guerra hace que esto sea imposible;;;;;;;;;x
EVTDESCraid_events.4;The reaving has come to end. We have returned from across the Seas after abiding by the Old Way of reaving and pillaging like true Ironborn, we have gained much respect for our daring and ambition.;Le raid est achevé. Nous sommes revenus d'au-delà du Détroit après avoir observé l'Antique Voie de la razzia et du pillage comme de vrais Fer-nés, nous avons gagné beaucoup de respect pour notre audace et nos ambitions. ;;;La expedición de saqueo ha llegado a su fin. Hemos regresado de más allá del Mar Angosto tras seguir la Antigua Costumbre del saqueo y el pillaje como verdaderos Hijos del Hierro, hemos ganado mucho respeto por nuestra audacia y ambición. ;;;;;;;;;x
EVTOPTAraid_events.4;We are true Ironborn!;Nous sommes de vrais Fer-nés!;;;Somos verdaderos Hijos del Hierro!;;;;;;;;;x
EVTDESCraid_events.5;[From.GetFirstNameWithDynasty]'s reaving has come to end. We have returned from across the Narrows Sea after gaining much plunder and capturing many salt wives. ;Le raid de [From.GetFirstNameWithDynasty] est terminé. Nous sommes revenus d'au-delà du détroit après avoir amassé quantité de butins et capturé de nombreuses femme-sels. ;;;La expedición de [From.GetFirstNameWithDynasty] ha terminado. Hemos regresado de más allás del Mar Angosto tras conseguir grandes cantidades de botín y haber capturado numerosas esposas de sal. ;;;;;;;;;x
EVTDESCraid_events.6;Due to the war, [From.GetFirstNameWithDynasty]'s planned reaving across the Narrow Sea has been cancelled.;A cause de la guerre, le raid prévu par [From.GetFirstNameWithDynasty] a été annulé.;;;A causa de la guerra, la expedición de saqueo prevista por [From.GetFirstNameWithDynasty] ha sido cancelada.;;;;;;;;;x
EVTOPTAraid_events.6;There is always next year;Peut-être l'année prochaine;;;Quizás el año que viene.;;;;;;;;;x
opinion_on_reaving;On reaving;En raid;;;En una expedición de saqueo;;;;;;;;;x
opinion_went_reaving;Went reaving;A mené un raid;;;Lideró una expedición de saqueo;;;;;;;;;x
EVTDESCraid_events.7;A scout has spied a coastal fishing village, he says there is much plunder and many women to be found there.;Un éclaireur a repéré une village de pêcheurs, il dit que quantité de butins et de femme-sels nous y attendent.;;;Un explorador ha divisado una aldea de pescadores, dice que gran cantidad de botín y esposas de sal nos esperan.;;;;;;;;;x
EVTOPTAraid_events.7;Let the reaving begin!;Que le raid commence!;;;Que comience el saqueo!;;;;;;;;;x
EVTDESCraid_events.9;The raid was a roaring success. The screams of the [Root.GetPeasantNamePlural] and the crackle of fire were sweet music to the reaver's ears. We have gained much plunder and honour this day!;Le raid fut couronné de succès. Les gémissements des paysans et le crépitement des flammes sont les plus belles musiques du monde. Aujourd'hui nous avons gagné quantité de butins et d'honneur!;;;El saqueo fue un gran éxito. Los gemidios de los campesinos y el crepitar de las llamas son la mejor música del mundo. Hoy hemos ganado gran cantidad de botín y honor!;;;;;;;;;x
EVTOPTAraid_events.9;All fear the Ironborn!;Tous craignent les Fer-nés!;;;Todos temen a los Hijos del Hierro!;;;;;;;;;x
EVTDESCraid_events.10;The fight was hard fought and a few of our men were lost. But none can withstand the might of the ironborn and we have claimed our iron price today, winning our plunder from these weak people.;Le combat fut difficile et acharné et nous avons perdu quelques-uns de nos hommes. Mais personne ne peut résister à la force des fer-nés et nous avons revendiqué le fer-prix aujourd'hui, gagnant notre butin par le sang de ce peuple faible.;;;El combate fue dificil y perdimos algunos hombres. Pero no pudieron resistir la fuerza de los Hijos del Hierro y reivindicamos el precio del hierro, ganando nuestro botín por la sangre de este débil pueblo.;;;;;;;;;x
EVTOPTAraid_events.10;A successful raid;Un raid couronné de succès;;;Asalto exitoso;;;;;;;;;x
EVTDESCraid_events.11;These men who sow were more hardy than we thought. Our Ironborn managed to make a beachhead but were fought back. We have failed to claim our iron price today.;Ces hommes qui sèment étaient plus forts que nous le pensions. Nous avons bien réussit à mettre en place une tête de pont mais nous avons été repoussé. Nous avons échoué à revendiquer le fer-prix aujourd'hui.;;;Estos hombres que siembran son más fuertes de lo que pensábamos. Logramos establecer una cabeza de puente, pero fuimos rechazados. No hemos conseguido reclamar el precio del hierro hoy.;;;;;;;;;x
EVTOPTAraid_events.11;We shall be back;Nous reviendrons;;;Volveremos;;;;;;;;;x
opinion_failed_raid;Failed raid;Raid échoué;;;Asalto fracasado;;;;;;;;;x
EVTDESCraid_events.12;The raid was a resounding failiure, the men of the fields were much stronger than we thought. Many of our reavers were slain and the dishonour we have brought upon the Ironborn is plain to see..;Le raid fut un échec retentissant. Les hommes des champs étaient bien plus forts que nous ne l'avions pensé. Beaucoup de nos razzieurs ont été tué et nous avons déshonoré le nom de Fer-né;;;El asalto fue un rotundo fracaso. Los hombres de los campos eran más fuertes de lo que pensábamos. Muchos de nuestros hombres han muerto y hemos deshonrado el nombre de los Hijos del Hierro.;;;;;;;;;x
EVTOPTAraid_events.12;We are poor Ironborn;Nous sommes de piètres Fer-nés;;;No merecemos ser Hijos del Hierro;;;;;;;;;x
EVTDESCraid_events.13;The village was ripe for pillaging, and [From.GetFirstNameWithDynasty]'s attack was a roaring success. The screams of the [Root.GetPeasantNamePlural] and the crackle of fire were sweet music to the reaver's ears. We have much plunder and honour this day!;Le village était mûr pour le pillage et l'attaque de [From.GetFirstNameWithDynasty] fut un succès total. Les gémissements des paysans et le crépitement des flammes sont les plus belles musiques du monde. Aujourd'hui nous avons gagné quantité de butins et d'honneur!;;;La aldea estaba madura para el ataque y el asalto de [From.GetFirstNameWithDynasty] fue un éxito total. Los gemidos de los campesinos y el crepitar de las llamas son la mejor música del mundo. Hoy hemos ganado gran cantidad de botín y honor!;;;;;;;;;x
EVTDESCraid_events.14;[From.GetFirstNameWithDynasty]'s decision to attack a fishing village produced a fight that was hard fought and a few of our men were lost. But none can withstand the might of the ironborn and we have claimed our iron price today, winning our plunder from these weak people.;La décision de [From.GetFirstNameWithDynasty] d'attaquer le village de pêcheurs a résulté en un combat difficile et acharné et certains de nos hommes ont trouvé la mort. Mais personne ne peut résister à la force des fer-nés et nous avons revendiqué le fer-prix aujourd'hui, gagnant notre butin par le sang de ce peuple faible.;;;La decisión de [From.GetFirstNameWithDynasty] de atacar la aldea de pescadores resultó en un dificil combate y perdimos algunos hombres. Pero no pudieron resistir la fuerza de los Hijos del Hierro y reivindicamos el precio del hierro, ganando nuestro botín por la sangre de este débil pueblo.;;;;;;;;;x
EVTDESCraid_events.15;Most thought [From.GetFirstNameWithDynasty]'s raid upon the a village would be simple, but these men who sow were more hardy than we thought. Our Ironborn managed to make a beachhead but were fought back. We have failed to claim our iron price today.;Beaucoup pensait que le raid de [From.GetFirstNameWithDynasty] serait une simple formalité, mais ces hommes qui sèment étaient plus forts que nous le pensions. Nous avons bien réussit à mettre en place une tête de pont mais nous avons été repoussé. Nous avons échoué à revendiquer le fer-prix aujourd'hui.;;;Muchos pensaban que el asalto de [From.GetFirstNameWithDynasty] sería una simple formalidad pero estos hombres que siembran son más fuertes de lo que pensábamos. Logramos establecer una cabeza de puente, pero fuimos rechazados. No hemos conseguido reclamar el precio del hierro hoy.;;;;;;;;;x
EVTDESCraid_events.16;[From.GetFirstNameWithDynasty]'s raid upon a fishing village was a resounding failiure, the men of the fields were much stronger than we thought. Many of our reavers were slain and the dishonour we have brought upon the Ironborn is plain to see.;Le raid de [From.GetFirstNameWithDynasty] sur un village de pêcheurs fut un échec retentissant. Les hommes des champs étaient bien plus forts que nous ne l'avions pensé. Beaucoup de nos razzieurs ont été tué et nous avons déshonoré le nom de Fer-né.;;;El asalto de [From.GetFirstNameWithDynasty] a una aldea de pescadores fue un rotundo fracaso. Los hombres de los campos eran más fuertes de lo que pensábamos. Muchos de nuestros hombres han muerto y hemos deshonrado el nombre de los Hijos del Hierro.;;;;;;;;;x
opinion_sucessful_raid;Successful raid;Raid réussit;;;Asalto exitoso;;;;;;;;;x
opinion_salt_wife;Salt Wife;Femme-sel;;;Esposa de Sal;;;;;;;;;x
EVTDESCraid_events.17;This day I have proved myself a true Iron Islander, I have captured a salt wife! What shall be done with her?;Aujourd'hui, j'ai prouvé que j'étais un vrai Fer-né, j'ai capturé une femme-sel! Que dois-je faire d'elle maintenant?;;;Hoy, he demostrado que soy un verdadero Hijo del Hierro, he capturado a una esposa de sal! Qué debería hacer con ella?;;;;;;;;;x
EVTOPTAraid_events.17;I shall keep her;Je vais la garder;;;La mantendré;;;;;;;;;x
EVTOPTBraid_events.17;Kill her, she is not worthy;Mieux vaut la tuer, elle n'en est pas digne;;;La mataré, no es digna.;;;;;;;;;x
EVTDESCraid_events.18;[From.GetFirstNameWithDynasty] has proved himself worthy to be called Ironborn as he has captured himself a salt wife.;[From.GetFirstNameWithDynasty] a prouvé qu'il était digne d'être appelé Fer-né, il a capturé une femme-sel. ;;;[From.GetFirstNameWithDynasty] ha demostrado que es un digno Hijo del Hierro, ha capturado una esposa de sal.;;;;;;;;;x
EVTOPTAraid_events.18;Good [From.GetManWoman]!;Un Fer-né!;;;Buen hombre!;;;;;;;;;x
salt_wife;Salt wife;Femme-sel;;;Esposa de sal;;;;;;;;;x
salt_wife_desc;This character is someone's salt wife, captured by an Ironborn reaver.;Ce personnage est la femme-sel de quelqu'un, capturé par un razzieur Fer-né.;;;Este personaje es la esposa de sal de alguien, capturada en un saqueo de los Hijos del Hierro.;;;;;;;;;x
EVTDESCraid_events.20;The reaving party has been roving the coast, but a local patrol has spotted us and is attacking. Being [Root.Culture.GetName] we of course shall meet this challenge, but the leader of their band stands before me with but one thought to kill me...;Alors que la flotte longeait la côte, une patrouille locale nous a repéré et cherche à nous affronter. En tant que Fer-nés nous allons relever ce défi, mais leur chef se trouve face à moi avec une seule idée en tête: me tuer.;;;Mientras la flota bordeaba la costa, una patrulla local reparó en nosotros y se enfrentó con nosotros. Como Hijos del Hierro que somos aceptamos el desafío, pero su jefe se encuentra cara a cara conmigo con la única intención de matarme.;;;;;;;;;x
EVTOPTAraid_events.20;Charge!;A l'assaut!!;;;A la carga!;;;;;;;;;x
EVTOPTBraid_events.20;I'm getting out of here;Nous devons nous échapper;;;Debemos escapar;;;;;;;;;x
EVTDESCraid_events.22;The reaving party had been roving the coast when a local patrol headed by [FromFrom.GetFirstNameWithDynasty] attacked. We of course easily butchered these people, but the glory surely belongs to [From.GetFirstNameWithDynasty] who bested [FromFrom.GetFirstName] in single combat, swinging the battle in our favour. He now expects to be rewarded.;La flotte longeait les côtes lorsqu'une patrouille locale menée par [FromFrom.GetFirstNameWithDynasty] nous a attaqué. Nous avons, bien sûr, aisément massacré ces faiblards, mais la gloire revient surtout à [From.GetFirstNameWithDynasty] qui a terrassé [FromFrom.GetFirstName] en combat singulier, contribuant ainsi grandement à notre victoire. Il espère maintenant en être récompensé.  ;;;La flota bordeaba la costa cuando una patrulla local liderada por [FromFrom.GetFirstNameWithDynasty] nos atacó. Masacramos fácilmente a estos flojos oponentes, pero la gloria ha recaído en [From.GetFirstNameWithDynasty] que ha derrotado a [FromFrom.GetFirstName] en combate singular, contribuyendo decisivamente a nuestra victoria. Él espera ser recompensado. ;;;;;;;;;x
opinion_rewarded_reaving;Rewarded;Récompensé;;;Recompensado;;;;;;;;;x
opinion_denied_rewarded_reaving;Denied Reward;Pas récompensé;;;No recompensado;;;;;;;;;x
EVTDESCraid_events.23;The reaving party had been roving the coast when a local patrol headed by [From.GetFirstNameWithDynasty] attacked. We lost many men in the attack, [FromFrom.GetFirstNameWithDynasty] being among them, losing to [From.GetFirstName] in single combat. Our party survives however, to reave another day.;La flotte longeait la côte lorsqu'une patrouille locale menée par [From.GetFirstNameWithDynasty] nous a attaqué. Nombre de nos hommes sont morts dans l'attaque, [FromFrom.GetFirstNameWithDynasty] en fait parti, tué lors en combat singulier par [From.GetFirstName]. Notre flotte a cependant survécu, nous pourrons continuer de raider.;;;La flota bordeaba la costa cuando una patrulla local liderada por [FromFrom.GetFirstNameWithDynasty] nos atacó. Muchos de nuestros hombres murieron en el combate, entre ellos [FromFrom.GetFirstNameWithDynasty], muerto en combate singular contra [From.GetFirstName]. Sin embargo, nuestra flota sobrevivió, podremos continuar la expedición de saqueo.;;;;;;;;;x
EVTOPTAraid_events.22;Good for him;Bon travail;;;Buen trabajo;;;;;;;;;x
EVTOPTBraid_events.22;Very well, give him some plunder;Très bien, qu'il prenne une part du butin;;;Muy bien, que tome una parte del botín.;;;;;;;;;x
EVTOPTCraid_events.22;Reward? The glory is surely enough;Une récompense? La gloire est sûrement suffisante;;;Una recompensa? La gloria debería ser suficiente;;;;;;;;;x
EVTOPTAraid_events.23;He will be missed;Il va être regretté;;;Será añorado;;;;;;;;;x
TOOLTIPREAVINGDUEL;A duel will ensue with a local master at arms\n;Un duel s'ensuivra avec Maître-d'armes local\n;;;Un duelo tendrá lugar con el Maestro de Armas local\n;;;;;;;;;x
TOOLTIPREAVINGDUELVS;You will take [From.GetFirstNameWithDynasty]'s §YValyrian steel sword§! for your own\n;Vous ferez votre l'¤Yépée en acier Valyrien¤! de [From.GetFirstNameWithDynasty]\n;;;Harás tuya la §Yespada valyria de§! de [From.GetFirstNameWithDynasty]\n;;;;;;;;;x
EVTDESCraid_events.24;During the attack by our reavers I was somehow wounded by one of the enemy, but the Ironborn laugh in the face of flesh wounds surely?;Durant l'attaque, j'ai été blessé par un ennemi, mais un vrai Fer-né se rit des blessures superficielles, n'est-ce pas? ;;;Durante el ataque, fui herido por un enemigo, pero un verdadero Hijo del Hierro se rie de las heridas superficiales, no es así? ;;;;;;;;;x
EVTOPTAraid_events.24;Yes, I will reave some more!;Oui, j'ai encore de nombreuses contrées à razzier!;;;Sí, todavía tengo muchos lugares que saquear!;;;;;;;;;x
EVTOPTBraid_events.24;Actually, I think i should go home;Je crois que je vais rentrer chez moi;;;Creo que debería regresar a casa;;;;;;;;;x
EVTDESCraid_events.25;During the attack, [From.GetFirstNameWithDynasty] was wounded by an enemy fighter. But like a true Ironborn, he has chosen to stay with our band of reavers.;Durant l'attaque, [From.GetFirstNameWithDynasty] a été blessé par un combattant ennemi. Mais comme un véritable Fer-né, il a choisi de rester. ;;;Durante el ataque, [From.GetFirstNameWithDynasty] fue herido por un combatiente enemigo. Pero como un verdadero Hijo del Hierro, ha escogido quedarse.;;;;;;;;;x
EVTOPTAraid_events.25;Good [From.GetManWoman]!;Un véritable Fer-né!;;;Un verdadero Hijo del Hierro!;;;;;;;;;x
EVTDESCraid_events.26;During the attack, [From.GetFirstNameWithDynasty] was wounded by an enemy fighter. He has chosen to go back home as a consequence.;Durant l'attaque, [From.GetFirstNameWithDynasty] a été blessé par un combattant ennemi. Il a décidé de rentrer chez lui. ;;;Durante el ataque, [From.GetFirstNameWithDynasty] fue herido por un combatiente enemigo. Ha decidido regresar a casa.;;;;;;;;;x
EVTOPTAraid_events.26;That is a bit craven;Voilà qui est un peu couard;;;Eso es un poco cobarde;;;;;;;;;x
EVTDESCraid_events.27;During the attack the leader of our reaving party, [From.GetFirstNameWithDynasty], was wounded by an enemy fighter. He has chosen to go lead the group back home as a consequence, which the men do not approve of at all.;Durant l'attaque, le chef de notre raid, [From.GetFirstNameWithDynasty], a été blessé par un combattant ennemi. Il a décidé de mettre fin au raid et de ramener la flotte à la maison, ce que les hommes désapprouvent complètement.;;;Durante el ataque, [From.GetFirstNameWithDynasty] fue herido por un combatiente enemigo. Ha decidido poner fin a la expedición de saqueo y  regresar con la flota a casa, lo que los hombres desaprueban completamente.;;;;;;;;;x
EVTOPTAraid_events.27;Craven!;Lâche!;;;Cobarde!;;;;;;;;;x
EVTDESCraid_events.28;During the attack by our reavers I was grievously injured, but not before I hacked many a man to pieces!;Durant l'attaque, j'ai été gravement blessé, mais pas avant d'avoir taillé de nombreux ennemis en pièce!;;;Durante el ataque, fui gravemente herido, pero antes corté a muchos enemigos en pedazos!;;;;;;;;;x
EVTOPTAraid_events.28;I'm still fit to pillage!;J'ai toujours assez de force pour piller!;;;Todavía tengo fuerzas para saquear!;;;;;;;;;x
EVTOPTBraid_events.24;I should go home;Je crois que je vais rentrer chez moi;;;Debería regresar a casa;;;;;;;;;x
EVTDESCraid_events.29;This assault has ended badly for me, I have been struck down by our foe, never to rise again. But at least I died a true Ironborn, following the Old Way!;Cet assaut s'est très mal terminé pour moi, je suis tombé sous les coups de nos adversaires. Au moins je suis mort comme un vrai Fer-né, en suivant l'Antique Voie!;;;Este asalto ha acabado muy mal para mi, he muerto a manos de mis enemigos. Al menos he muerto como un verdadero Hijo del Hierro, siguiendo las Antiguas Costumbres!;;;;;;;;;x
EVTOPTBraid_events.29;What is dead may never die;Ce qui est mort ne saurait mourir;;;Lo que está muerto no puede morir.;;;;;;;;;x
EVTDESCraid_events.30;Like a true son of the Iron islands, [From.GetFirstNameWithDynasty] has been slain during the assault. We shall honour him by reaving boldly on!;Comme un vrai fils des Îles de Fer, [From.GetFirstNameWithDynasty] a trouvé la mort durant l'assaut. Nous devons l'honorer pour avoir vécu et trouvé la mort comme un véritable Fer-né! ;;;Como un verdadero hijo de las Islas del Hierro, [From.GetFirstNameWithDynasty] ha encontrado la muerte durante el asalto. Debemos honrarlo por haber vencido y haber muerto como un verdadero Hijo del Hierro! ;;;;;;;;;x
EVTDESCraid_events.31;Like a true son of the Iron islands, our leader [From.GetFirstNameWithDynasty] has been slain during the assault. Our reaving ends for now, but we shall honour his death by abiding by the Old Way!;"Comme un vrai fils des Îles de Fer; notre chef [From.GetFirstNameWithDynasty] a trouvé la mort durant l'assaut. Notre raid s'achève mais nous honorerons sa mort en continuant de suivre l'Antique Voie! ";;;Como un verdadero hijo de las Islas del Hierro, nuestro líder [From.GetFirstNameWithDynasty] ha encontrado la muerte durante el asalto. La expedición de saqueo finaliza pero honraremos su muerte continuando las Antiguas Costumbres!;;;;;;;;;x
EVTDESCraid_events.32;Ironborn longships cut through the water swift and sure, hence we have have successfully pursued a small merchant fleet. If we were to attack and pay our Iron Price for their cargo, we could gain much and more.;Les boutres fer-nées ont fendues l'eau claire et sûre, poursuivant avec succès une petite flotte marchande. Si nous attaquions et payions le fer-prix pour leurs cargaisons, nous pourrions remporter beaucoup de butin.;;;Los barcolunegos herreños hienden las aguas velozmente, persiguiendo con éxito una pequeña flota mercante. Si atacamos y pagamos el precio del hierro por sus cargamentos, podríamos ganar un gran botín.;;;;;;;;;x
EVTOPTAraid_events.32;Attack!;À l'attaque!;;;Al ataque!;;;;;;;;;x
EVTOPTBraid_events.32;Too risky;Trop risqué;;;Demasiado arriesgado;;;;;;;;;x
opinion_reaver_no_attack;Did not attack;N'a pas attaqué;;;No atacó;;;;;;;;;x
EVTDESCraid_events.33;The enemy crews were no match for the Ironborn. We sank their poorly manned escorts, siezed there cargo and slew or took captive many men. This is why we follow the Old Way!;L'équipage ennemi n'était que du menu fretin pour les Fer-nés. Nous avons coulé leur pitoyable escorte, pillé leur cargaison et capturé de nombreux hommes. Voilà pourquoi nous suivons l'Antique Voie! ;;;La tripulación enemiga no fue rival para los Hijos del Hierro. Hundimos sus escoltas poco tripulados, saqueamos su cargamento y capturamos a numerosos hombres. Por esto seguimos las Antiguas Costumbres!;;;;;;;;;x
EVTOPTAraid_events.33;Victory!;Victoire!;;;Victoria!;;;;;;;;;x
EVTDESCraid_events.34;The fleet was fairly well defended. We lost a few men siezing their ships as well as taking some damge to our longships, but in the end no one can resist our Ironborn reavers and much cargo as well many captives were taken.;La flotte était bien défendue. Nous avons perdu quelques hommes lorsque nous avons abordé leurs bateaux et certaines de nos boutres ont été endommagées. Mais à la fin, personne ne peut résister aux valeureux Fer-nés et nous nous sommes emparé de leur cargaison et avons fait de nombreux prisonniers. ;;;La flota estaba bien defendida. Perdimos algunos hombres cuando abordamos sus barcos y unos cuantos barcoluengos fueron dañados. Pero al final, nadie puede resistir a los valientes Hijos del Hierro y nos apoderamos de su cargamente y de numerosos prisioneros.;;;;;;;;;x
EVTOPTAraid_events.34;A price well paid;Un prix bien payé;;;Un precio bien pagado;;;;;;;;;x
