kingsguard;Kingsguard;Garde Royale;;;Guardia Real;;;;;;;;;x;
EVTDESCkingsguard.5;Many sons of powerful noble houses have gathered for you at [Root.Location.GetName]. After surveying their ranks, you believe you have found the best candidates for your Kingsguard.;Bien des fils de puissantes maisons nobles se sont réunis pour vous à [Root.Location.GetName]. Après avoir examiné le prestige de leurs maisons, vous pensez avoir trouver les meilleurs candidats pour la Garde Royale, sous votre commandement. ;;;Muchos hijos de las poderosas casas nobles se han reunido en [Root.Location.GetName]. Después de examinar el prestigio de sus casas, crees que has encontrado a los mejores candidatos para tu Guardia Real.;;;;;;;;;x;
EVTDESCkingsguard.5B;Many sons of powerful noble houses have gathered for you at [Root.Location.GetName]. After surveying their ranks, you believe you have found the best candidates for [FromFrom.GetTitledFirstNameNoRegnal]'s Kingsguard.;Bien des fils de puissantes maisons nobles se sont réunis pour vous à [Root.Location.GetName]. Après avoir examiné le prestige de leurs maisons, vous pensez avoir trouver les meilleurs candidats pour la Garde Royale, sous le commandement de [FromFrom.GetTitledFirstNameNoRegnal].;;;Muchos hijos de las poderosas casas nobles se han reunido en [Root.Location.GetName]. Después de examinar el prestigio de sus casas, crees que has encontrado a los mejores candidatos para la Guardia Real de [FromFrom.GetTitledFirstNameNoRegnal].;;;;;;;;;x;
EVTDESCkingsguard.6;The most powerful lords and ladies of Westeros have sent their sons and brothers to [Root.Location.GetName] to seek the honor of joining your Kingsguard. After some time, you believe you have identified the best warriors among them.;Les plus puissants lords et ladies de Westeros ont envoyé leurs fils et leurs frères à [Root.Location.GetName] d'en l'espoir qu'ils puissent avoir l'honneur de rejoindre la Garde Royale. Après un certain temps d'observation vous pensez avoir découvert les meilleurs d'entre eux à l'épée.;;;Los más poderosos señores y señoras de Poniente han enviado a sus hijos y hermanos a [Root.Location.GetName] para buscar el honor de unirse a la Guardia Real. Después de algún tiempo, crees que has identificado a los mejores guerreros entre ellos.;;;;;;;;;x;
EVTDESCkingsguard.7;The most powerful lords and ladies of Westeros have sent their sons and brothers to [Root.Location.GetName] to seek the honor of joining your Kingsguard. There are very few worthy knights in the realm, but the Kingsguard must have seven.;Les plus puissants lords et ladies de Westeros ont envoyé leurs fils et leurs frères à [Root.Location.GetName] d'en l'espoir qu'ils puissent avoir l'honneur de rejoindre la Garde Royale. Peu d'entre eux sont dignes d'en faire partie, mais la Garde Royale doit compter sept épées.;;;Los más poderosos señores y señoras de Poniente han enviado a sus hijos y hermanos a [Root.Location.GetName] para buscar el honor de unirse a la Guardia Real. Hay muy pocos caballeros dignos en el reino, pero la Guardia Real debe tener siete.;;;;;;;;;x;
EVTDESCkingsguard.7B;The most powerful lords and ladies of Westeros have sent their sons and brothers to [Root.Location.GetName] to seek the honor of joining [FromFrom.GetTitledFirstNameNoRegnal]'s Kingsguard. There are very few worthy knights in the realm, but the Kingsguard must have seven.;Les plus puissants lords et ladies de Westeros ont envoyé leurs fils et leurs frères à [Root.Location.GetName] d'en l'espoir qu'ils puissent avoir l'honneur de rejoindre la Garde Royale. Peu d'entre eux sont dignes d'en faire partie, mais la Garde Royale doit compter sept épées.;;;Los más poderosos señores y señoras de Poniente han enviado a sus hijos y hermanos a [Root.Location.GetName] para buscar el honor de unirse a la Guardia Real de [FromFrom.GetTitledFirstNameNoRegnal]. Hay muy pocos caballeros dignos en el reino, pero la Guardia Real debe tener siete.;;;;;;;;;x;
EVTDESCkingsguard.9;[From.GetTitledFirstNameWithDynasty] kneels. '[Root.PrimaryTitle.GetFOA],' [From.GetSheHe] says, 'It would be the highest honor to serve in your Kingsguard.';"[From.GetTitledFirstNameWithDynasty]  met un genou en terre. ""[Root.PrimaryTitle.GetFOA],"" dit-[From.GetSheHe], ""Ce serait un honneur que de servir dans votre Garde Royale.""";;;"[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pone una rodilla. ""[Root.PrimaryTitle.GetFOA]"", dijo ""Sería un honor servir en la Guardia Real.""";;;;;;;;;x;
EVTDESCkingsguard.9B;A vacancy has become available on the Kingsguard. Seven swords must guard the [Root.GetTitle] - and so your [FromFromFrom.GetLordLady] Regent [FromFromFrom.GetFirstNameWithDynasty] has chosen a replacement. [FromFromFrom.GetSheHeCap] chooses [From.GetTitledFirstNameWithDynasty], who now kneels before you, vowing to protect your person.;Une place s'est libérée dans la Garde Royale. Sept épées doivent défendre le(a) [Root.GetTitle]  - et votre régent [FromFromFrom.GetFirstNameWithDynasty] a choisi un remplaçant. [FromFromFrom.GetSheHeCap] a choisi [From.GetTitledFirstNameWithDynasty], qui s'agenouille maintenant devant vous, jurant de vous protéger.;;;Hay una vacante en la Guardia Real. Siete espadas deben defender al [Root.GetTitle], y tu regente [FromFromFrom.GetFirstNameWithDynasty] ha elegido a un sustituto, [From.GetTitledFirstNameWithDynasty] que se arrodilla ante ti, jurando proteger tu vida.;;;;;;;;;x;
EVTDESCkingsguard.9C;[From.GetTitledFirstNameWithDynasty] kneels before the [Root.TopLiege.GetTitle], with you beside the throne. '[Root.PrimaryTitle.GetFOA],' [From.GetSheHe] says, 'It would be the highest honor to serve my [Root.TopLiege.GetTitle] in the Kingsguard.';De votre place derrière le(a) [Root.TopLiege.GetTitle], vous voyez [From.GetTitledFirstNameWithDynasty] s'agenouiller. '[Root.PrimaryTitle.GetFOA],' dit-[From.GetSheHe], 'ce serait le plus grand des honneurs de servir dans votre Garde Royale.';;;[From.GetTitledFirstNameWithDynasty] se arrodilla ante el [Root.TopLiege.GetTitle], contigo al lado del trono. '[Root.PrimaryTitle.GetFOA],' dice, 'sería el más alto honor servir a mi [Root.TopLiege.GetTitle] en la Guardia Real.';;;;;;;;;x;
EVTDESCkingsguard.9D;[From.GetTitledFirstNameWithDynasty] kneels before the [Root.TopLiege.GetTitle], with you beside the throne. 'As [Root.TopLiegePrimaryTitle.GetFOA] commands,' [From.GetSheHe] says, 'I hereby renounce my inheritance, to serve as a knight of the Kingsguard.';De votre place derrière le(a) [Root.TopLiege.GetTitle], vous voyez [From.GetTitledFirstNameWithDynasty] s'agenouiller. 'Comme me le demande [Root.TopLiegePrimaryTitle.GetFOA]', dit-[From.GetSheHe], 'je renonce devant vous à mon héritage pour servir dans la Garde Royale.';;;[From.GetTitledFirstNameWithDynasty] se arrodilla ante el [Root.TopLiege.GetTitle], contigo al lado del trono. 'Como [Root.TopLiegePrimaryTitle.GetFOA] ordene,' dice, 'renuncio a mi herencia, y serviré como caballero de la Guardia Real.';;;;;;;;;x;
EVTTOOLTIPkingsguard.11;reacts to the news...;réagit à la nouvelle…;;;reacciona a las noticias …;;;;;;;;;x;
EVTDESCkingsguard.10;[From.GetTitledFirstNameWithDynasty] kneels. 'My apologies, [Root.PrimaryTitle.GetFOA],' [From.GetSheHe] says, 'I appreciate the offer, but I've never looked much good in white.';"[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] met un genou en terre. ""Pardonnez moi, [Root.PrimaryTitle.GetFOA],"" dit-[From.GetSheHe], "" Je suis honoré que vous me fassiez une telle offre, mais le blanc ne me sied point"".";;;"[From.GetTitledFirstNameWithDynasty] pone una rodilla en el suelo. ""Perdóneme, [Root.PrimaryTitle.GetFOA]"" dice, ""Me siento honrado de tal ofrecimiento, pero nunca he querido vestir la capa blanca"".";;;;;;;;;x;
EVTDESCkingsguard.11;When the steward told you that your [From.GetRootRelation] [From.GetFirstName] was looking for you, you weren't sure what you were expecting. Certainly, you weren't expecting to find [From.GetHerHim] wearing a white cloak! '[From.TopLiege.GetTitledFirstNameNoRegnal] has named me a Knight of the Kingsguard!' [FromFrom.GetSheHe] tells you happily.;"Lorsque l'intendant vous a prévenu que [FromFrom.GetFirstName] vous cherchait, vous ne vous attendiez pas à le(a) voir porter un manteau blanc ! ""Père,"" vous dit-[FromFrom.GetSheHe], rayonnant de fierté, ""[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] m'a fait Chevalier de la Garde Royale!""";;;Cuando el mayordomo te dijo que tu [From.GetRootRelation] [From.GetFirstName] te estaba buscando, no estabas seguro de lo que podría querer. 'Padre,' dice, sonriendo con orgullo, '[From.TopLiege.GetTitledFirstNameNoRegnal] me ha nombrado caballero de la Guardia Real!;;;;;;;;;x;
EVTDESCkingsguard.11B;When the steward told you that your [From.GetRootRelation] [From.GetFirstName] was looking for you, you weren't sure what you were expecting. Certainly, you weren't expecting to find [From.GetHerHim] wearing a white cloak! '[From.TopLiege.GetTitledFirstNameNoRegnal] has named me a Knight of the Kingsguard on the behest of [FromFromFrom.GetLordLady] Regent [FromFromFrom.GetFirstNameWithDynasty]!' [FromFrom.GetSheHe] tells you happily.;"Lorsque l'intendant vous a prévenu que [FromFrom.GetFirstName] vous cherchait, vous ne vous attendiez pas à le(a) voir porter un manteau blanc ! ""Père,"" vous dit-[FromFrom.GetSheHe], rayonnant de fierté, ""[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] m'a fait Chevalier de la Garde Royale!""";;;Cuando el mayordomo te dijo que tu [From.GetRootRelation] [From.GetFirstName] te estaba buscando, no estabas seguro de lo que podría querer. '[From.TopLiege.GetTitledFirstNameNoRegnal] me ha nombrado caballero de la Guardia Real  '[From.TopLiege.GetTitledFirstNameNoRegnal] has named me a Knight of the Kingsguard a instancias de su regente [FromFromFrom.GetFirstNameWithDynasty]!' ;;;;;;;;;x;
EVTDESCkingsguard.11C;[From.GetTitledFirstNameWithDynasty] has been appointed to the Kingsguard by [From.TopLiege.GetTitledFirstNameNoRegnal].;"Lorsque l'intendant vous a prévenu que [FromFrom.GetFirstName] vous cherchait, vous ne vous attendiez pas à le(a) voir porter un manteau blanc ! ""Père,"" vous dit-[FromFrom.GetSheHe], rayonnant de fierté, ""[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] m'a fait Chevalier de la Garde Royale!""";;;Cuando el mayordomo te dijo que tu [From.GetRootRelation] [From.GetFirstName] te estaba buscando, no estabas seguro de lo que podría querer. 'Padre,' dice, sonriendo con orgullo, '[From.TopLiege.GetTitledFirstNameNoRegnal] me ha nombrado caballero de la Guardia Real!;;;;;;;;;x;
EVTOPTAkingsguard.11;Do House [Root.GetOnlyDynastyName] proud, [From.GetTitledFirstName].;Quelle fierté pour la maison [Root.GetOnlyDynastyName], [FromFrom.GetFirstName].;;;Qué orgullo para la casa [Root.GetOnlyDynastyName], [FromFrom.GetFirstName].;;;;;;;;;x;
EVTOPTBkingsguard.11;WHAT?! Why wasn't I informed of this?!;QUOI ?! Personne ne m'a consulté !;;;¿¡Qué!? ¿¡Por qué no se me informó de esto!?;;;;;;;;;x;
EVTOPTCkingsguard.11;Let us hope this is a wise choice;;;;;;;;;;;;;x;
EVTDESCkingsguard.12;[FromFrom.GetTitledFirstName]'s [GetFromFromVsFromRelation], [From.GetTitledFirstNameWithDynastyNoRegnal], looked on with pride as the newest knight of your Kingsguard swore [FromFrom.GetHerHis] vows.;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] semblait fier lorsque le nouveau chevalier de votre Garde Royale a prononcé ses vœux.;;;El [GetFromFromVsFromRelation] de [FromFrom.GetTitledFirstName], [From.GetTitledFirstNameWithDynastyNoRegnal] parecía orgulloso cuando el nuevo caballero de la Guardia Real juró sus votos.;;;;;;;;;x;
EVTDESCkingsguard.13;[FromFrom.GetTitledFirstName]'s [GetFromFromVsFromRelation], [From.GetTitledFirstNameWithDynastyNoRegnal], is furious that [From.GetHerHis] [GetFromVsFromFromRelation] has joined the Kingsguard behind [From.GetHerHis] back.;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] est furieux que son fils ait rejoint la Garde Royale sans qu'il ne soit consulté.;;;El [GetFromFromVsFromRelation] de [FromFrom.GetTitledFirstName] , [From.GetTitledFirstNameWithDynastyNoRegnal], está furioso de que su [GetFromVsFromFromRelation] se haya unido a la Guardia Real sin ser consultado.;;;;;;;;;x;
EVTNAMEkingsguard.23;The White Book;Le Livre Blanc;;;El Libro Blanco;;;;;;;;;x;
EVTDESCkingsguard.23;In the throne room [From.GetTitledFirstNameWithDynasty] kneels before you to take up [From.GetHerHis] new duty of leading the Kingsguard, vowing anew to protect your person from all those who may harm you.;Dans la salle du trône, [From.GetFullName] s'agenouille devant vous, prêt à recevoir l'honneur de devenir le nouveau Lord Commandant de la Garde Royale.;;;En el salón del trono [From.GetTitledFirstNameWithDynasty] se arrodilla ante ti tomando su nuevo deber de dirigir a la Guardia Real, y prometió de nuevo protegerte de todos los peligros.;;;;;;;;;x;
EVTOPTAkingsguard.23;I'm certain [From.GetSheHe] will be loyal and true.;Je suis certain qu'[From.GetSheHe] sera loyal.;;;Estoy seguro de que [From.GetSheHe] será leal.;;;;;;;;;x;
EVTDESCkingsguard.24;As you marshal your forces for war, you cannot help but think what will happen to your kins[kingsguard_kin_while_at_war.GetManWoman] [kingsguard_kin_while_at_war.GetTitledFirstNameNoRegnal], trapped between duty as a kingsguard and duty to family.;Alors que vous rassemblez vos troupes pour la guerre, vous ne pouvez vous empêcher de penser à un certain pauvre chevalier de la Garde Royale, déchiré entre le devoir et la famille. ;;;Al reunir a sus tropas para la guerra, no se puede dejar de pensar en un pobre caballero de la Guardia Real, desgarrada entre el deber y la familia.;;;;;;;;;x;
EVTOPTAkingsguard.24;May [Root.Religion.GetRandomGodName] save us all.;Que [Root.Religion.GetRandomGodName] nous sauve tous!;;;¡Que [Root.Religion.GetRandomGodName] nos salve a todos!;;;;;;;;;x;
EVTDESCkingsguard.25;[From.GetTitledFirstNameWithDynastyNoRegnal]'s treason is one thing - but that a [From.GetOnlyDynastyName] stands beside the [Root.GetIronThroneThroneName], carrying the very sword sworn to defend your life... can [kingsguard_kin_while_at_war.GetTitledFirstNameNoRegnal] be trusted to honor [kingsguard_kin_while_at_war.GetHerHis] vows before [kingsguard_kin_while_at_war.GetHerHis] family?;La trahison de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] est une chose, mais qu'un [From.GetOnlyDynastyName] se tienne derrière le Trône de Fer, arborant une épée jurée à la défense de votre vie... comment être sûr qu'un tel chevalier fera passer ses voeux avant sa famille ?;;;La traición de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] es una cosa, pero una [From.GetOnlyDynastyName] para respaldar el Trono de Hierro, que habia jurado defender su vida  ¿ cómo estar seguros de que este caballero pensará en su deber antes que su familia?;;;;;;;;;x;
EVTOPTAkingsguard.25;[kingsguard_kin_while_at_war.GetSheHeCap] is a knight of the Kingsguard. [kingsguard_kin_while_at_war.GetSheHeCap] will do [kingsguard_kin_while_at_war.GetHerHis] duty.;Il est membre de la Garde Royale, il fera son devoir.;;;Él es un miembro de la Guardia Real, que cumplirá su deber.;;;;;;;;;x;
EVTOPTBkingsguard.25;Take [kingsguard_kin_while_at_war.GetHerHim] to the cells! I'll have no [From.GetOnlyDynastyName]s in this hall while that traitor still draws breath!;Au cachot ! Aucun [From.GetOnlyDynastyName] ne mettra un pied dans cette salle alors que ce traître respire toujours ! ;;;¡Al calabozo!  [From.GetOnlyDynastyName] no ponga un pie en la habitación, mientras que el traidor siga respirando!;;;;;;;;;x;
EVTOPTCkingsguard.25;Off with [kingsguard_kin_while_at_war.GetHerHis] head!;Qu'on m'amène sa tête !;;;¡Tráedme su cabeza!;;;;;;;;;x;
EVTDESCkingsguard.26;You've received word that your kinsman on the Kingsguard has chosen to honor [From.GetTitle] [From.GetFirstName] over his own flesh and blood!;Vous avez entendu dire que votre parent qui sert dans la Garde Royale a décidé de respecter ses vœux et de défendre [From.GetTitle] [From.GetFirstName] plutôt que de soutenir son propre sang ! ;;;Has recibido noticias de que tu pariente en la Guardia Real ha decidido honrar a [From.GetTitle] [From.GetFirstName] por encima de su propia sangre!;;;;;;;;;x;
EVTDESCkingsguard.27;You've received word that [From.GetTitledFirstNameNoRegnal] has thrown your kinsman of the Kingsguard into the Black Cells.;Vous avez entendu dire que [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a fait arrêter votre parent servant dans la Garde Royale et l'a jeté aux cachots. ;;;Has oído que [From.GetTitledFirstNameNoRegnal] ha arrestado a tu pariente de la Guardia Real y está detenido en las mazmorras.;;;;;;;;;x;
EVTDESCkingsguard.28;That bastard [From.GetTitledFirstNameWithDynastyNoRegnal] has had your kinsman on the Kingsguard executed as punishment for your treachery!;Ce(tte) chien(ne) de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a fait exécuter votre parent qui servait dans la Garde Royale pour le punir de votre trahison !;;;¡Ese bastardo de [From.GetTitledFirstNameWithDynastyNoRegnal] ha ejecutado a tu pariente en la Guardia Real como castigo por tu traición!;;;;;;;;;x;
EVTDESCkingsguard.33;When [From.GetHerHis] Sworn Brothers turned on [From.GetHerHim], your [From.GetRootRelation] [From.GetTitledFirstName] fought valiantly to escape. Alas, [From.GetSheHe] died in the attempt.;Lorsque ses frères jurés se sont retournés contre lui, votre [From.GetRootRelation] [From.GetFirstName] s'est vaillament défendu, tentant de s'échapper l'arme à la main. Malheureusement [From.GetSheHe] a trouvé la mort.;;;Cuando sus hermanos juramentados se volvieron contra él, tu [From.GetRootRelation] [From.GetTitledFirstName] se defendió valientemente, tratando de escapar con el arma en la mano. Lamentablemente murió.;;;;;;;;;x;
EVTDESCkingsguard.34;You rise at dawn to see your [From.GetRootRelation] [From.GetTitledFirstName] riding into [Root.Location.GetName] on a white horse, grinning and very much alive. [From.GetSheHeCap] says [From.GetHerHis] own Sworn Brothers tried to kill him at royal command, but [From.GetSheHe] fought his way free.;Le soleil vient à peine de se lever lorsque l'on vous annonce l'arrivée de votre [From.GetRootRelation] [From.GetFirstName], monté sur un cheval blanc, à [Root.Location.GetName]. Souriant et bien vivant, [From.GetSheHe] vous raconte comment [From.GetSheHe] s'est taillé un chemin l'arme à la main pour échapper à ses frères jurés qui venaient pour le tuer sur ordre de Sa Grâce. ;;;El sol apenas había salido cuando te anuncian la llegada de tu [From.GetRootRelation] [From.GetTitledFirstName], montado en un caballo blanco, a [Root.Location.GetName]. Sonriente y con vida, te cuenta cómo consiguió escapar de sus hermanos juramentados cuando fueron a matarlo por orden de Su Majestad.;;;;;;;;;x;
EVTDESCkingsguard.47;Your [FromFrom.GetRootRelation], [FromFrom.GetTitledFirstNameNoRegnal], is dead. They say [FromFrom.GetSheHe] was struck down by the gods themselves for breaking [FromFrom.GetHerHis] vows and trying to murder the [From.GetTitle]. But surely that rumor must be a lie... right?;Votre [From.GetRootRelation], [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], est mort(e). On raconte qu'[From.GetSheHe] a été terrassé par les Dieux eux-mêmes pour avoir brisé ses voeux et tenté de tuer le(a) [From.TopLiege.GetTitle]. Mais ces rumeurs sont sûrement d'ignobles calmonies... ;;;Tu [FromFrom.GetRootRelation], [From.GetTitledFirstNameNoRegnal], está muerto. Dicen que fue abatido por los propios dioses por violar su juramento y tratar de asesinar al [FromFrom.GetTitle]. Pero sin duda que el rumor debe ser una mentira ... ¿no?;;;;;;;;;x;
EVTDESCkingsguard.48;We have heard rumours from [Root.TopLiege.Location.GetName]. They say [From.GetTitledFirstNameWithDynasty] has broken [From.GetHerHis] vows and has slain the [FromFrom.GetTitle]! What could have drove [From.GetHerHim] to such dishonour and madness!;Nous avons entendu des rumeurs en provenance de [Root.TopLiege.Location.GetName], selon lesquelles [From.GetTitledFirstNameWithDynasty] aurait brisé ses voeux et tué le(a) [FromFrom.GetTitle]! Qsu'est-ce qui a bien pu le(a) pousser à une telle folie et un tel déshonneur ? ;;;Hemos oído rumores provenientes de [TopLiege.Location.GetName], según los cuales [From.GetTitledFirstName] habría roto sus votos y matado al [FromFrom.GetTitle]! Qué podría haberle llevado a cometer esa locura de acto deshonroso?;;;;;;;;;x;
EVTDESCkingsguard.43;You rise at dawn to see your [From.GetRootRelation], [From.GetTitledFirstName], riding into [Root.Location.GetName]. [From.GetSheHeCap] tells you of how the [FromFrom.GetTitle] turned on [From.GetHerHim], and [From.GetSheHe] was forced to break [From.GetHerHis] vows and fight back. 'My only regret,' [From.GetSheHe] says, 'is that I failed.';"Le soleil vient à peine de se lever lorsque vous apercevez votre [From.GetRootRelation], [From.GetFirstName], arrivant à [Root.Location.GetName]. [From.GetSheHeCap] vous raconte comment le(a) [From.TopLiege.GetTitle] a tenté de le tuer et comment [From.GetSheHe] a été forcé de briser ses voeux et de se défendre. ""Mon seul regret"", dit-[From.GetSheHe], ""c'est que j'ai échoué"". ";;;El sol apenas había salido cuando te anuncian la llegada de tu [From.GetRootRelation], [From.GetFirstName], llegando a [Root.Location.GetName]. Te cuenta cómo el [FromFrom.GetTitle] intentó matarle y que se vio obligado a romper sus votos y defenderse. 'Lo único que lamento', dice, 'es que fracasé.';;;;;;;;;x;
EVTDESCkingsguard.46;As the sun sets and the rain pours down, one of the guards calls out. Your [From.GetRootRelation], [From.GetFirstName] is riding into [Root.Location.GetName], [From.GetHerHis] fine white cloak painted in blood. When you ask [From.GetHerHim] why, [From.GetSheHe] only says, 'I had no choice.';"Le coucher de soleil embrase le ciel lorsque l'un de vos gardes entre dans vos appartements pour vous annoncer l'arrivée de votre [From.GetRootRelation], [From.GetFirstName] à [Root.Location.GetName]. Ce dernier a la mine sévère et son manteau blanc est couvert de sang. Lorsque vous lui demandez pourquoi [From.GetSheHe] vous répond simplement ""Je n'avais pas le choix"".";;;"La puesta de sol ilumina el cielo cuando uno de tus guardias entra en tus aposentos para anunciar la llegada de tu [From.GetRootRelation] [From.GetFirstName] a [Root.Location.GetName]. Tiene mala cara y su capa blanca está cubierta de sangre. Cuando le preguntas por qué, simplemente dice, ""no tenía otra opción.""";;;;;;;;;x;
EVTDESCkingsguard.50;Your [From.GetRootRelation], [From.GetTitledFirstNameNoRegnal], is dead. They say [From.GetSheHe] was killed by [From.GetHerHis] own Sworn Brothers, trying to kidnap one of the [From.TopLiege.GetTitle]'s children.;Votre [From.GetRootRelation], [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], est mort(e). On dit qu'[From.GetSheHe] a été tué par ses propres frères jurés alors qu'il tentait d'enlever l'un des enfants de [From.TopLiege.GetTitle].;;;Tu [From.GetRootRelation] [From.GetTitledFirstNameNoRegnal] está muerto. Se dice que fue asesinado por sus propios hermanos juramentados al intentar secuestrar a uno de los hijos de [From.TopLiege.GetTitle].;;;;;;;;;x;
