#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCfar_east.6;You are sat in your chambers one evening pondering to yourself about how to negotiate a complex trade deal when suddenly you hear repeated knocks at your door. You sigh and get up to open it only to see a servant with a note, you take the note and return to your chambers and open it to see that once again your Shadowmen neighbours have raided into your territory again, this time the filth from [unite_shadowlander_target.Capital.GetName].\nThose savages just do not know their place, you are the [Root.GetTitle] of [Root.PrimaryTitle.GetName] and these wild tribesmen are nothing compared to you. yet they do not realise this...\nMaybe you should make them? Unite all of The Shadows under your rule as their leader and reign over them as a noble of Asshai should do. They would never come peacefully though, but would it be worth it to finally unify the region?;;;;;;;;;;;;;x
EVTOPTAfar_east.6;The Shadowmen shall be subdued under my rule!;;;;;;;;;;;;;x
EVTOPTBfar_east.6;They are no concern of mine;;;;;;;;;;;;;x
TOOLTIPunite_shadowlands_next;[This.GetTitledFirstName] decides [This.GetHerHis] next action in [This.GetHerHis] unification of Asshai.;;;;;;;;;;;;;x
EVTDESCfar_east.7;You have finished your most recent war against the Shadowmen and were victorious. The measley tribesmen cannot stand against your might!;;;;;;;;;;;;;x
EVTOPTAfar_east.7;The next savage must be conquered;;;;;;;;;;;;;x
EVTOPTBfar_east.7;This is enough, there is no need for further bloodshed;;;;;;;;;;;;;x
EVTOPTCfar_east.7;All of Asshai is mine!;;;;;;;;;;;;;x
TOOLTIPunite_shadowlands_fail;All conquered lands shall be returned to the Shadowmen tribes and [This.GetTitledFirstName]'s quest to unify Asshai is over.;;;;;;;;;;;;;x
EVTTITLEfar_east.9;The Land of Shadows;;;;;;;;;;;;;x
EVTDESCfar_east.9;Asshai, "the pass beneath the shadow", a solemn place of quiet turmoil where the placid nights are only puncuated by the echoed screams of the demons beyond the mountains. Here no spell is forbidden, no torture too dark and no taboo forsaken.\nAnd I am their ruler!\n;;;;;;;;;;;;;x
EVTOPTAfar_east.9;I proclaim myself the Shadow King!;;;;;;;;;;;;;x
EVTOPTBfar_east.9;No, there has never been a single ruling family in Asshai, it would not be tolerated;;;;;;;;;;;;;x
crown_of_shadows;Crown of Shadows;;;;;;;;;;;;;x
crown_of_shadows_desc;The Crown of Shadows was forged to be the representation of the power held by the monarch of Asshai. To show their dominion of the shadows of their native lands and how they shall spread across all of the world.;;;;;;;;;;;;;x
EVTDESCfar_east.10;A man warn from the road speaking in whispers approaches you, he appears wildly foreign not covering his face as is the custom in Asshai.\n"My master, the descendant of the Yellow Emperors of Old and the true God Emperor of Yi Ti, brings you a proposal. Support him in his war for Yi Ti and you will be handsomly rewarded";;;;;;;;;;;;;x
EVTOPTAfar_east.10;Yi Ti shall know the might of Asshai;;;;;;;;;;;;;x
TOOLTIPfar_east.10;Upon victory in the war you will be rewarded with 250W¤ and 10 year long alliance with [From.GetTitledFirstName]\n;;;;;;;;;;;;;x
EVTOPTBfar_east.10;Begone beggar, your supposed "Sorcerer King" does not frighten me;;;;;;;;;;;;;x
