#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_CULTURE_CONVERSION_OFF_DESC;Province cultures will never be converted.;Les cultures provinciales ne seront jamais converties;;;Las culturas de las provincias nunca cambiaran.;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_NORMAL_DESC;Duel Outcomes will have a slight degree of randomness (e.g. A formidable warrior will have a §Y80%§! chance of winning against a trained warrior, all else being equal);Les résultats de duel auront une légère composante aléatoire ( Ex. : un guerrier redoutable aura §Y80%§! de chance de gagner contre un guerrier entrainé, toutes choses égales par ailleurs);;;Los resultados de los duelos tendrán un ligero grado de aleatoriedad (Por ejemplo, un guerrero formidable tendrá una probabilidad del §Y80%§! de ganar contra un guerrero entrenado, siendo igual todo lo demás);;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_VERY_LOW;Very Low;Très bas;;;Muy bajo;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_VERY_LOW_DESC;Duel Outcomes will have a very low degree of randomness (e.g. A formidable warrior will have a §Y98%§! chance of winning against a trained warrior, all else being equal);Les résultats de duel auront une très basse composante aléatoire ( Ex. : un guerrier redoutable aura §Y80%§! de chance de gagner contre un guerrier entrainé, toutes choses égales par ailleurs);;;Los resultados de los duelos tendrán un pequeñísimo grado de aleatoriedad (Por ejemplo, un guerrero formidable tendrá una probabilidad del §Y98%§! de ganar contra un guerrero entrenado, siendo igual todo lo demás);;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_LOW;Low;Bas;;;Bajo;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_LOW_DESC;Duel Outcomes will have a lower degree of randomness  (e.g. A formidable warrior will have a §Y90%§! chance of winning against a trained warrior, all else being equal);Les résultats de duel auront une plus basse composante aléatoire ( Ex. : un guerrier redoutable aura §Y90%§! de chance de gagner contre un guerrier entrainé, toutes choses égales par ailleurs);;;Los resultados de los duelos tendrán un pequeño grado de aleatoriedad (Por ejemplo, un guerrero formidable tendrá una probabilidad del §Y90%§! de ganar contra un guerrero entrenado, siendo igual todo lo demás);;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_HIGH;High;Haut;;;Alto;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_HIGH_DESC;Duel Outcomes will have a higher degree of randomness  (e.g. A formidable warrior will have a §Y66%§! chance of winning against a trained warrior, all else being equal);Les résultats de duel auront une haute composante aléatoire ( Ex. : un guerrier redoutable aura §Y66%§! de chance de gagner contre un guerrier entrainé, toutes choses égales par ailleurs);;;Los resultados de los duelos tendrán un alto grado de aleatoriedad (Por ejemplo, un guerrero formidable tendrá una probabilidad del §Y66%§! de ganar contra un guerrero entrenado, siendo igual todo lo demás);;;;;;;;;x
RULE_NOMAD_INVASIONS;§RAGoT:§! Nomad Invasions;Invasions nomades;;;Invasiones Nómadas;;;;;;;;;x
RULE_NOMAD_INVASIONS_NORMAL_DESC;Nomads are limited to invading members of their own culture unless they have taken the mantle Greatest of Khals or Jhattar of the Jogos Nhai.;Les nomades sont limités à l'invasion des membres de leur propre culture à moins qu’ils aient pris la dignité de Grand Khal ou de Jhattar des Jogos Nhai.;;;Los nómadas se limitan a invadir a miembros de su propia cultura a menos que hayan adcendido a Gran Khal o Jhattar de los Jogos Nhai.;;;;;;;;;x
RULE_NOMAD_INVASIONS_UNRESTRICTED_DESC;Nomads are §RNOT§! restrcited in whether they can invade or not.;Les nomades ne sont §RPAS§! limités dans ce qu'ils peuvent envahir.;;;Los nómadas §RNO§! están limitados en lo que pueden invadir.;;;;;;;;;x
RULE_HL_CREATION_REQUIREMENT;§RAGoT:§! High Lordship Creation Requirement;Besoin de créer une Haute-seigneurie;;;Requisitos para la Creación de Gran Señorío;;;;;;;;;x
RULE_HL_CREATION_REQUIREMENT_ON_DESC;You must directly own at least one province in a High Lordship to be able to create the title.;Vous devez directement posséder au moins une province dans une Haute-seigneurie pour être capable de créer le titre.;;;Debéis poseer directamente al menos una provincia en un Gran Señorío para poder crear el título.;;;;;;;;;x
RULE_HL_CREATION_REQUIREMENT_OFF_DESC;You do §RNOT§! need to directly own a province in a High Lordship to be able to create the title.;Vous n'avez §RPAS§! besoin de posséder directement une province dans une Haute-seigneurie pour être capable de créer le titre.;;;§RNO§! necesitáis tener directamente una provincia en un Gran Señorío para poder crear el título.;;;;;;;;;x
RULE_DISINHERITANCE_DECISIONS;§RAGoT:§! Disinheritance Decisions ;Décisions de déshériter;;;Decisiones para Desheredar;;;;;;;;;x
RULE_DISINHERITANCE_DECISIONS_NORMAL_DESC;Disinheritance decisions can only be taken under certain circumstances.;Les décisions de déshériter ne peuvent être prises que dans certaines circonstances;;;Las decisiones de desheredamiento solo pueden tomarse en ciertas circunstancias.;;;;;;;;;x
RULE_DISINHERITANCE_DECISIONS_UNRESTRICTED_DESC;Disinheritance decisions can be taken at §Rany§! time.;Les décisions de déshériter peuvent être prises à tout moment;;;Las decisiones de desheredamiento se pueden tomar en §Rcualquier§! momento.;;;;;;;;;x
RULE_ABDICATION;§RAGoT:§! Abdication;Abdication;;;Abdicación;;;;;;;;;x
RULE_ABDICATION_OFF_DESC;Rulers cannot voluntarily abdicate.;Les souverains ne peuvent pas abdiquer volontairement;;;Los gobernantes no pueden abdicar voluntariamente.;;;;;;;;;x
RULE_ABDICATION_ON_DESC;Rulers §Rcan§! voluntarily abdicate.;Les souverains peuvent volontairement abdiquer;;;Los gobernantes §Rpueden§! abdicar voluntariamente.;;;;;;;;;x
RULE_COLINISATION_COST;§RAGoT:§! Colonisation Cost;Coût de colonisation;;;Costo de Colonización;;;;;;;;;x
RULE_COLINISATION_COST_NORMAL_DESC;The cost to colonise a province is §Y1000§!¤ for normal colonies, and §Y500§!¤ for nomadic provinces.;Le coût pour coloniser une province est de §Y1000§! pièces d'or.;;;El costo de colonizar una provincia es de §Y1000§!¤ para las colonias normales, y §Y500§!¤ para las provincias nómadas.;;;;;;;;;x
RULE_COLINISATION_COST_CHEAP;Cheap;Bas;;;Barato;;;;;;;;;x
RULE_COLINISATION_COST_CHEAP_DESC;The cost to colonise a province is §Y400§!¤ for normal colonies, and §Y200§!¤ for nomadic provinces.;Le coût pour coloniser une province est de §Y400§! pièces d'or.;;;El costo de colonizar una provincia es de §Y400§!¤ para las colonias normales, y §Y200§!¤ para las provincias nómadas.;;;;;;;;;x
RULE_COLINISATION_COST_EXPENSIVE;Expensive;Cher;;;Costoso;;;;;;;;;x
RULE_COLINISATION_COST_EXPENSIVE_DESC;The cost to colonise a province is §Y1600§!¤ for normal colonies, and §Y800§!¤ for nomadic provinces.;Le coût pour coloniser une province est de §Y1600§! pièces d'or.;;;El costo para colonizar una provincia es de §Y1600§!¤ para las colonias normales, y de §Y800§!¤ para las provincias nómadas.;;;;;;;;;x
RULE_COLINISATION_TIME;§RAGoT:§! Colonisation Time;Temps pour coloniser;;;Tiempo de Colonización;;;;;;;;;x
RULE_COLINISATION_TIME_NORMAL_DESC;The time to colonise a province is unchanged. (A medium sized colony will take on average §Y50§! years to complete.);Le temps pour coloniser une province est inchangé;;;El tiempo para colonizar una provincia no es cambiado. (Una colonia de tamaño mediano tardará §Y50§! años en completarse);;;;;;;;;x
RULE_COLINISATION_TIME_SHORT;Short;Court;;;Corto;;;;;;;;;x
RULE_COLINISATION_TIME_SHORT_DESC;The time to colonise a province is decreased by a factor of two. (A medium sized colony will take on average §Y25§! years to complete.);Le temps pour coloniser une province est réduit d'un facteur 2;;;El tiempo para colonizar una provincia se reduce en un factor de dos. (Una colonia de tamaño mediano tomará §Y25§! años para completarse);;;;;;;;;x
RULE_COLINISATION_TIME_LONG;Long;Long;;;Largo;;;;;;;;;x
RULE_COLINISATION_TIME_LONG_DESC;The time to colonise a province is increased by a factor of two. (A medium sized colony will take on average §Y100§! years to complete.);Le temps pour coloniser une province est augmenté d'un facteur 2;;;El tiempo para colonizar una provincia aumenta en un factor de dos. (Una colonia de tamaño mediano tomará §Y100§! años para completarse.);;;;;;;;;x
RULE_BATTLEFIELD_DUELS;§RAGoT:§! Battlefield Duel Occurence;Survenance d'un duel sur le champ de bataille;;;Frecuencia de los Duelos en el Campo de Batalla;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_NORMAL_DESC;The occurence of battlefield duels is unchanged.;La survenance d'un duel sur le champ de bataille est inchangée;;;Los duelos que ocurren en el campo de batalla con frecuencia normal.;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_MORE_FREQUENT;More Frequent;Plus fréquent;;;Más frecuente;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_MORE_FREQUENT_DESC;The occurence of battlefield duels is increased by a factor of five.;La survenance d'un duel sur le champ de bataille est accrue d'un facteur 5;;;La Frecuencia con la que los duelos ocurren en el campo de batalla aumenta en un factor de cinco.;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_RARE_DESC;The occurence of battlefield duels is decreased by a factor of five.;La survenance d'un duel sur le champ de bataille est diminuée d'un facteur 5;;;La Frecuencia con la que los duelos ocurren en el campo de batalla se reduce en un factor de cinco.;;;;;;;;;x
RULE_SHATTERED_REALMS;§RAGoT:§! Shattered Realms;Domaines divisés;;;Reinos Desmenuzados;;;;;;;;;x
RULE_SHATTERED_REALMS_OFF_DESC;The world will not be shattered into smaller realms.;Le monde ne sera pas divisé en petits domaines;;;El mundo no se dividirá en Reinos más pequeños.;;;;;;;;;x
RULE_SHATTERED_REALMS_COUNTIES;Counties;Comtés;;;Condados;;;;;;;;;x
RULE_SHATTERED_REALMS_COUNTIES_DESC;The world §Rwill§! be shattered into individual §Ycounties§!.;Le monde §Rsera§! divisé en §Jcomtés§! individuels;;;El mundo §Rse§! dividirá en §YCondados§! individuales.;;;;;;;;;x
RULE_SHATTERED_REALMS_DUCHIES;Duchies;Duchés;;;Ducados;;;;;;;;;x
RULE_SHATTERED_REALMS_DUCHIES_DESC;The world §Rwill§! be shattered into individual §Yduchies§!.;Le monde §Rsera§! divisé en §Jduchés§! individuels;;;El mundo §Rse§! dividirá en §YDucados§! individuales.;;;;;;;;;x
RULE_SHATTERED_REALMS_KINGDOMS;Kingdoms;Royaumes;;;Reinos;;;;;;;;;x
RULE_SHATTERED_REALMS_KINGDOMS_DESC;The world §Rwill§! be shattered into individual §Ykingdoms§!.;Le monde §Rsera§! divisé en §Jroyaumes§! individuels;;;El mundo §Rse§! dividirá en §YReinos§! individuales.;;;;;;;;;x
RULE_SYMMETRICAL_START;§RAGoT:§! Symmetrical Start;Démarrage symétrique;;;Inicio Simétrico;;;;;;;;;x
RULE_SYMMETRICAL_START_OFF_DESC;Different provinces will start off with different base values to indicate the level of the castle/city.;Différentes provinces démarrent avec différentes valeurs de base pour indiquer le niveau du château/ de la cité;;;Las diferentes provincias comenzarán con diferentes valores base para indicar el nivel del castillo/ciudad.;;;;;;;;;x
RULE_SYMMETRICAL_START_ON_DESC;All provinces will start off with §Rno§! base value, the world starts off on a level playing field.;Toutes les provinces démarrent §Rsans§! valeur de base, le monde démarre sur la même base;;;Todas las provincias comenzarán §Rsin§! valor base, el mundo comienza en igualdad de condiciones.;;;;;;;;;x
RULE_AMBITION_INVASION;§RAGoT:§! Expand Realm Ambition Invasions;Ambition d'expansion territoriale par invasion;;;Ambición de Expandir Reinos en Invasiones;;;;;;;;;x
RULE_AMBITION_INVASION_NORMAL_DESC;The Expand Realm ambition will allow rulers to invade if they meet the criteria to take the ambition and are one of ambitious, ruthless or greedy.;L'ambition d'expansion territoriale autorise les seigneurs à envahir s'ils rencontrent le critère pour parvenir à l'ambition qui sont l'un parmi ambitieux, sans pitié, cupide;;;La ambición de Expandir Reinos permitirá a los gobernantes invadir si cumplen los criterios para asumir la ambición y son ambiciosos, despiadados o codiciosos.;;;;;;;;;x
RULE_AMBITION_INVASION_OFF_DESC;The Expand Realm ambition is §Rdisabled§! for all rulers.;L'ambition d'expansion territoriale est §Rdésactivée§! pour tous les seigneurs.;;;La ambición Expandir Reinos será deshabilitada para todos los gobernantes.;;;;;;;;;x
RULE_AMBITION_INVASION_UNRESTRICTED_DESC;Rulers are able to freely invade foreign realms without restriction.;Les seigneurs sont autorisés à envahir les territoires étrangers sans restriction.;;;Los gobernantes pueden invadir libremente reinos extranjeros sin restricción.;;;;;;;;;x
RULE_AI_FEMALE_MARRIAGE_CORRECTION;§RAGoT:§! Enhanced Marriage AI;IA mariage des femmes étendu;;;Matrimonio de la IA Mejorado;;;;;;;;;x
RULE_AI_FEMALE_MARRIAGE_CORRECTION_ON_DESC;AI Marriages for female rulers/heirs, deserters, outbreeding, divine blood, nomad and landless claimants are managed. The AI may be forced to get another marriage or cancel the agreement if AI is deemed illogical.;L'IA de mariage pour les femmes souveraines, héritières ou des familles en succession cognatique est gérée. L'IA peut être forcée d'admettre un autre mariage matrilinéaire ou de divorcer l'époux pour préserver leur dynastie.;;;Los matrimonios de la IA para mujeres gobernantes/herederas, desertoras, exogamia, sangre divina, nómadas y reclamantes sin tierras serán gestionados. Puede que la IA sea forzada a conseguir otro matrimonio o a cancelar el actual si el comportamiento de la IA es considerado ilógico.;;;;;;;;;x
RULE_AI_FEMALE_MARRIAGE_CORRECTION_CUSTOM_DESC;At the start of the game you will select which types of AI marriage to manage.;L'IA de mariage pour les femmes souveraines, héritières ou des familles en succession cognatique n'est §RPAS§! gérée. L'IA accepte tout mariage ou fiançailles tels qu'originellement proposés.;;;Al comienzo del juego podrás elegir los tipos de matrimonio de la IA que se gestionarán.;;;;;;;;;x
RULE_AI_FEMALE_MARRIAGE_CORRECTION_OFF_DESC;AI Marriages are §RNOT§! managed. The AI will accept any marriage or betrothal as originally proposed.;L'IA de mariage pour les femmes souveraines, héritières ou des familles en succession cognatique n'est §RPAS§! gérée. L'IA accepte tout mariage ou fiançailles tels qu'originellement proposés.;;;Los matrimonios de la IA §RNO§! Serán gestionados.La IA aceptará cualquier boda o compromiso como originalmente se propuso.;;;;;;;;;x
RULE_OPTION_CUSTOM;Custom;;;;Personalizado;;;;;;;;;x
RULE_EDUCATION_COSTS;§RAGoT:§! Education Costs;Coût d'éducation;;;Costos de educación;;;;;;;;;x
RULE_EDUCATION_COSTS_NORMAL_DESC;Educating a child will cost the normal amount of gold.;L'éducation d'un enfant coûte le montant normal en or.;;;La educación de un niño cuesta la cantidad normal de oro.;;;;;;;;;x
RULE_EDUCATION_COSTS_LOW;Low;Bas;;;Baja;;;;;;;;;x
RULE_EDUCATION_COSTS_LOW_DESC;Educating a child will cost a low amount of gold.;L'éducation d'un enfant coûte un faible montant en or.;;;La educación de un niño cuesta una pequeña cantidad de oro.;;;;;;;;;x
RULE_EDUCATION_COSTS_NONE;None;Sans;;;Nada;;;;;;;;;x
RULE_EDUCATION_COSTS_NONE_DESC;Educating a child will cost no gold. Mod education specialisations will still be used if Conclave DLC is inactive.;L'éducation d'un enfant ne coûte rien.;;;Educar a un niño no costará oro. Las educaciones especiales del Mod seguirán siendo usadas aunque el DLC Conclave esté inactivo.;;;;;;;;;x
RULE_TRADITIONAL_DYNASTIC_CLAIMS;§RAGoT:§! Traditional Dynastic Claims;Prétentions dynastiques traditionnelles;;;Reclamaciones Dinásticas Tradicionales;;;;;;;;;x
RULE_TRADITIONAL_DYNASTIC_CLAIMS_ON_DESC;The bloodlines of Great Houses may have claims on their traditional lands unless they grant them to a new House themselves.;Les grandes maisons de Westeros ont toujours des prétentions sur leur territoires traditionnels jusqu'à ce qu'elles les accordent elles-mêmes à une nouvelle maison.;;;Los Linajes de las Grandes Casas de Poniente siempre tendrán reclamaciones en sus tradicionales tierras a menos que se las cedan a una Casa nueva ellos mismos.;;;;;;;;;x
RULE_TRADITIONAL_DYNASTIC_CLAIMS_OFF_DESC;The bloodlines of Great Houses will §RNOT§! have claims on their traditional lands.;es grandes maisons de Westeros n'ont §RPAS§! de prétentions sur leur territoires traditionnels.;;;Los Linajes de las Grandes Casas de Poniente §RNO§! tendrán reclamamaciones en sus tradicionales tierras.;;;;;;;;;x
RULE_DOD_SPOILER_REMOVER;§RAGoT:§! Dance of Dragons Spoiler Remover;Retrait de spoilers sur la Danse des Dragons;;;Quitar spoilers de Danza de Dragones;;;;;;;;;x
RULE_DOD_SPOILER_REMOVER_OFF_DESC;DISABLED: If you want to avoid certain A Dance with Dragons spoilers in pre-AFFC scenarios §Genable§! this option.;ANNULER : si vous voulez annuler certains spoilers de A Dance with Dragons dans les scénarios pré-AFFC §GActiver§! Cette option.;;;DESACTIVADO: Si §RNO§! queréis evitar ciertos spoilers de Danza de dragones en los escenarios previos a AFFC §GDesactivad§! esta opción.;;;;;;;;;x
RULE_DOD_SPOILER_REMOVER_ON_DESC;§GENABLED§!: If you want to avoid certain A Dance with Dragons spoilers in pre-AFFC scenarios §Genable§! this option.;§GACTIVER§! : si vous voulez annuler certains spoilers de A Dance with Dragons dans les scénarios pré-AFFC §GActiver§! Cette option.;;;§GACTIVADO§!: Si queréis evitar algunos spoilers de Danza de dragones en escenarios previos a AFFC §GActivad§! esta opción.;;;;;;;;;x
RULE_DYNASTIC_STABILITY;§RAGoT:§! Dynastic Stability;Stabilité dynastique;;;Estabilidad Dinástica;;;;;;;;;x
RULE_DYNASTIC_STABILITY_OFF_DESC;Characters will not change dynasty upon inheriting a title an ancestor previously held.;Un personnage ne change pas de dynastie lorsqu'il hérite d'un titre porté anciennement par un de ses ancêtres;;;Los personajes no cambiarán de dinastía al heredar un título que un antepasado tenía anteriormente.;;;;;;;;;x
RULE_DYNASTIC_STABILITY_ON_DESC;Allows a character to §Radopt the dynasty§! of an ancestor when they gain a title if the ancestor held it in the past, as long as they are not already heir or pretender to another title that is in their current dynasty.;Autorise un personnage à §Radopter la dynastie§! d'un ancêtre quand il gagne un titre porté par cet ancêtre dans le passé, aussi longtemps qu'il n'y a pas héritage ou prétention à un autre titre qui est dans l'actuelle dynastie.;;;Autoriza a un personaje a §RAdoptar la Dinastía§! de un antepasado cuando gana un título usado por ese antepasado en el pasado, siempre que no sea herederoo pretendiente de otro título que esté en su dinastía actual.;;;;;;;;;x
RULE_R_L_J;§RAGoT:§! R+L=J;R+L=J;;;R+L=J;;;;;;;;;x
