#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WARDEN2OPTE;I don't like him, it should be some other Lord;Je ne l'aime pas, la charge devrait revenir à un autre seigneur;;;No me gusta, debe haber algún otro Señor.;;;;;;;;;x
WARDEN2OPTF;The Warden shall be a proper soldier;Le Gouverneur doit être un bon soldat;;;El Guardián debe ser un buen soldado.;;;;;;;;;x
WARDEN2OPTG;I will pick someone later;Je choisirai quelqu'un plus tard;;;Elegiré a alguien más tarde;;;;;;;;;x
WARDEN3DESC;Which of these Lords shall have the honour of being my Warden?;Lequel de ces seigneurs aura l'honneur d'être mon Gouverneur ?;;;¿Cuál de estos Señores tendrá el honor de ser mi Guardián?;;;;;;;;;x
WARDEN3OPTA;[candidate_1.GetTitledFirstNameWithDynastyNoRegnal];;;;[candidate_1.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;x
WARDEN3OPTB;[candidate_2.GetTitledFirstNameWithDynastyNoRegnal];;;;[candidate_2.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;x
WARDEN3OPTC;[candidate_3.GetTitledFirstNameWithDynastyNoRegnal];;;;[candidate_3.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;x
WARDEN3OPTD;[candidate_4.GetTitledFirstNameWithDynastyNoRegnal];;;;[candidate_4.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;x
WARDEN4DESC;Which of these fine soldiers shall have the honour of being my Warden?;Lequel de ces talentueux soldats aura l'honneur d'être mon Gouverneur ?;;;¿Cuál de estos buenos soldados tendrá el honor de ser mi Guardián?;;;;;;;;;x
WARDEN5DESC;[Root.GetFirstNameWithDynasty], I have decided to bestow upon you the title Warden of the North. You are hereby charged with the defence of the North in the event of any foreign threat.\n\nYours, [From.GetTitledFirstName], [From.GetTitle] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm;[Root.GetFirstNameWithDynasty], j'ai décidé de vous accorder le titre de Gouverneur du Nord. Par la présente vous êtes chargé de la défense du Nord en cas de menace étrangère.\n\nBien à vous, [From.GetTitledFirstName], [From.GetTitle] des Andals, du Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;[Root.GetFirstNameWithDynasty], he decidido otorgaros el título de Guardián del Norte. Os encargaréis de la defensa del Norte en caso de cualquier amenaza extranjera. \n\nAtentamente, [From.GetTitledFirstName], [From.GetTitle] de los Ándalos, los Rhoynar y los Primeros Hombres, Señor de los Siete Reinos y Protector del Reino.;;;;;;;;;x
WARDEN6DESC;[Root.GetFirstNameWithDynasty], I have decided to bestow upon you the title Warden of the East. You are hereby charged with the defence of the East in the event of any foreign threat.\n\nYours, [From.GetTitledFirstName], [From.GetTitle] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm;[Root.GetFirstNameWithDynasty], j'ai décidé de vous accorder le titre de Gouverneur de l'Est. Par la présente vous êtes chargé de la défense de l'Est en cas de menace étrangère.\n\nBien à vous, [From.GetTitledFirstName], [From.GetTitle] des Andals, du Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;[Root.GetFirstNameWithDynasty], he decidido otorgaros el título de Guardián del Este. Os encargaréis de la defensa del Este en caso de cualquier amenaza extranjera. \n\nAtentamente, [From.GetTitledFirstName], [From.GetTitle] de los Ándalos, los Rhoynar y los Primeros Hombres, Señor de los Siete Reinos y Protector del Reino.;;;;;;;;;x
WARDEN7DESC;[Root.GetFirstNameWithDynasty], I have decided to bestow upon you the title Warden of the West. You are hereby charged with the defence of the West in the event of any foreign threat.\n\nYours, [From.GetTitledFirstName], [From.GetTitle] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm;[Root.GetFirstNameWithDynasty], j'ai décidé de vous accorder le titre de Gouverneur de l'Ouest. Par la présente vous êtes chargé de la défense de l'Ouest en cas de menace étrangère.\n\nBien à vous, [From.GetTitledFirstName], [From.GetTitle] des Andals, du Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;[Root.GetFirstNameWithDynasty], he decidido otorgaros el título de Guardián del Oeste. Os encargaréis de la defensa del Oeste en caso de cualquier amenaza extranjera. \n\nAtentamente, [From.GetTitledFirstName], [From.GetTitle] de los Ándalos, los Rhoynar y los Primeros Hombres, Señor de los Siete Reinos y Protector del Reino.;;;;;;;;;x
WARDEN8DESC;[Root.GetFirstNameWithDynasty], I have decided to bestow upon you the title Warden of the South. You are hereby charged with the defence of the South in the event of any foreign threat.\n\nYours, [From.GetTitledFirstName], [From.GetTitle] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm;[Root.GetFirstNameWithDynasty], j'ai décidé de vous accorder le titre de Gouverneur du Sud. Par la présente vous êtes chargé de la défense du Sud en cas de menace étrangère.\n\nBien à vous, [From.GetTitledFirstName], [From.GetTitle] des Andals, du Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;[Root.GetFirstNameWithDynasty], he decidido otorgaros el título de Guardián del Sur. Os encargaréis de la defensa del Suren caso de cualquier amenaza extranjera. \n\nAtentamente, [From.GetTitledFirstName], [From.GetTitle] de los Ándalos, los Rhoynar y los Primeros Hombres, Señor de los Siete Reinos y Protector del Reino.;;;;;;;;;x
WARDEN5OPTA;A great honour;Un grand honneur;;;Un gran honor;;;;;;;;;x
WARDEN9DESC;[Root.PrimaryTitle.GetFOA], despite you being the rightful holder, [From.GetTitledFirstName] has chosen not to name you the Warden of the region.;[Root.PrimaryTitle.GetFOA], bien que vous en soyez le détenteur légitime, [From.GetTitledFirstName] a choisi de ne pas vous nommer Gouverneur de la région. ;;;[Root.PrimaryTitle.GetFOA], a pesar de ser el titular legítimo, [From.GetTitledFirstName] ha optado por no nombraros Guardián de la región.;;;;;;;;;x
WARDEN9OPTA;But it's traditionally mine!;Mais ce titre est traditionnellement le nôtre !;;;¡Pero el título es tradicionalmente mío!;;;;;;;;;x
opinion_warden_north;Warden of the North;Gouverneur du Nord;;;Guardián del Norte;;;;;;;;;x
opinion_warden_east;Warden of the East;Gouverneur de l'Est;;;Guardián del Este;;;;;;;;;x
opinion_warden_west;Warden of the West;Gouverneur de l'Ouest;;;Guardián del Oeste;;;;;;;;;x
opinion_warden_south;Warden of the South;Gouverneur du Sud;;;Guardián del Sur;;;;;;;;;x
opinion_denied_traditional_title;Denied Traditional Title;Titre traditionnel refusé;;;Ha denegado un título tradicional.;;;;;;;;;x
WARDEN10DESC;The war has ended, and now the Wardens shall reassume their positions in defence of the realm.;La guerre est terminée, et maintenant les Gouverneurs assumeront à nouveau leur rôle dans la défense du royaume.;;;La guerra ha terminado, y ahora los Guardianes reasumirán sus tareas en la defensa del reino.;;;;;;;;;x
WARDEN10OPTA;They will defend us;Ils nous défendront;;;Ellos nos defendarán.;;;;;;;;;x
TOOLTIPWARDENSELFASSIGN;You will be able to assign the wardenship to anyone via honourary title\n;Vous allez pouvoir accorder le titre de Gouverneur via les titres honorifiques\n;;;Se pueden asignar títulos de Guardián mediante títulos honoríficos\n;;;;;;;;;x
TOOLTIPWARDENREGENT;As [This.GetTitledFirstName] is your regent you have no choice in the matter\n;Puisque [This.GetTitledFirstName] est votre régent(e), vous n'avez pas le choix\n;;;Como [This.GetTitledFirstName] es vuestro regente no podéis opinar en este asunto\n;;;;;;;;;x
